,composant,laboratoire,medicament,molecule
0,>  ibuprofène  400mg,Titulairedel'autorisation:ACTAVISGROUPPTCEHF,"IBUPROFENE ACTAVIS 400 mg, comprimé pelliculé",IBUPROFENE ACTAVIS 400
1,>  ibuprofène  200mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE ALMUS 200 mg, comprimé pelliculé",IBUPROFENE ALMUS 200
2,>  ibuprofène  400mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE ALMUS 400 mg, comprimé pelliculé",IBUPROFENE ALMUS 400
3,>  ibuprofène  200mg,Titulairedel'autorisation:ARROWGENERIQUES,"IBUPROFENE ARROW 200 mg, comprimé enrobé",IBUPROFENE ARROW 200
4,>  ibuprofène  400mg,Titulairedel'autorisation:ARROWGENERIQUES,"IBUPROFENE ARROW 400 mg, comprimé pelliculé",IBUPROFENE ARROW 400
5,>  ibuprofène  5g,Titulairedel'autorisation:ARROWGENERIQUES,"IBUPROFENE ARROW 5 %, gel",IBUPROFENE ARROW 5 %
6,>  ibuprofène  400mg,Titulairedel'autorisation:ARROWGENERIQUES,"IBUPROFENE ARROW CONSEIL 400 mg, comprimé pelliculé",IBUPROFENE ARROW CONSEIL 400
7,>  ibuprofène  200mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE BIOGARAN 200 mg, comprimé pelliculé",IBUPROFENE BIOGARAN 200
8,>  ibuprofène  400mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE BIOGARAN 400 mg, comprimé pelliculé",IBUPROFENE BIOGARAN 400
9,>  ibuprofène  200mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE BIOGARAN CONSEIL 200 mg, comprimé pelliculé",IBUPROFENE BIOGARAN CONSEIL 200
10,>  ibuprofène  400mg,Titulairedel'autorisation:BIOGARAN,"IBUPROFENE BIOGARAN CONSEIL 400 mg, comprimé pelliculé",IBUPROFENE BIOGARAN CONSEIL 400
11,>  ibuprofène  5g,Titulairedel'autorisation:LaboratoiresCHEMINEAU,"IBUPROFENE CHEMINEAU 5%, solution pour application cutanée",IBUPROFENE CHEMINEAU 5%
12,>  ibuprofène  5g,Titulairedel'autorisation:LaboratoiresCHEMINEAU,"IBUPROFENE CHEMINEAU 5%, solution pour application cutanée en flacon pressurisé",IBUPROFENE CHEMINEAU 5%
13,>  ibuprofène  200mg,Titulairedel'autorisation:CRISTERS,"IBUPROFENE CRISTERS 200 mg, comprimé enrobé",IBUPROFENE CRISTERS 200
14,>  ibuprofène  200mg,Titulairedel'autorisation:CRISTERS,"IBUPROFENE CRISTERS 200 mg, comprimé pelliculé",IBUPROFENE CRISTERS 200
15,>  ibuprofène  400mg,Titulairedel'autorisation:CRISTERS,"IBUPROFENE CRISTERS 400 mg, comprimé pelliculé",IBUPROFENE CRISTERS 400
16,">  ibuprofène  5,00g",Titulairedel'autorisation:MERCKMEDICATIONFAMILIALESAS,"IBUPROFENE DU SAINT BERNARD 5 %, gel pour application locale",IBUPROFENE DU SAINT BERNARD 5 %
17,>  ibuprofène  200mg,Titulairedel'autorisation:EGLABO-LaboratoiresEuroGenerics,"IBUPROFENE EG 200 mg, comprimé pelliculé",IBUPROFENE EG 200
18,>  ibuprofène  400mg,Titulairedel'autorisation:EGLABO-LaboratoiresEuroGenerics,"IBUPROFENE EG 400 mg, comprimé pelliculé",IBUPROFENE EG 400
19,>  ibuprofène  400mg,Titulairedel'autorisation:EVOLUPHARM,"IBUPROFENE EVOLUGEN 400 mg, comprimé pelliculé",IBUPROFENE EVOLUGEN 400
20,>  ibuprofène  400mg,Titulairedel'autorisation:EVOLUPHARM,2,NA
21,>  ibuprofène  400mg,Titulairedel'autorisation:EVOLUPHARM,3,NA
