,Region,Prix,Version,Year,Km,Phone,Pro,Argus,Prix plus haut que l'Argus,Lien vers l'annonce
0,provence_alpes_cote_d_azur,12990.0,ZEN,2015,4750.0,,True,10467.0,True,http://www.leboncoin.fr/voitures/1006686148.htm?ca=21_s
1,provence_alpes_cote_d_azur,12900.0,INTENS,2015,8000.0,0484320215,True,10650.0,True,http://www.leboncoin.fr/voitures/1035061511.htm?ca=21_s
2,provence_alpes_cote_d_azur,15590.0,INTENS,2016,10.0,0422170122,True,10650.0,True,http://www.leboncoin.fr/voitures/1033965507.htm?ca=21_s
3,provence_alpes_cote_d_azur,10850.0,LIFE,2014,7628.0,0805805802,True,10121.0,True,http://www.leboncoin.fr/voitures/1021931789.htm?ca=21_s
4,provence_alpes_cote_d_azur,10850.0,LIFE,2014,7628.0,0805805802,True,10121.0,True,http://www.leboncoin.fr/voitures/998166680.htm?ca=21_s
5,provence_alpes_cote_d_azur,12500.0,INTENS,2014,3500.0,,False,10650.0,True,http://www.leboncoin.fr/voitures/1032374552.htm?ca=21_s
6,provence_alpes_cote_d_azur,12500.0,INTENS,2015,4695.0,0481072130,True,10650.0,True,http://www.leboncoin.fr/voitures/1008357343.htm?ca=21_s
7,provence_alpes_cote_d_azur,11900.0,LIFE,2015,3666.0,0422170199,True,10121.0,True,http://www.leboncoin.fr/voitures/1031005909.htm?ca=21_s
8,provence_alpes_cote_d_azur,10000.0,,2013,20000.0,,False,,,http://www.leboncoin.fr/voitures/1028630240.htm?ca=21_s
9,provence_alpes_cote_d_azur,17000.0,,2016,20.0,,False,,,http://www.leboncoin.fr/voitures/1028038955.htm?ca=21_s
10,provence_alpes_cote_d_azur,12490.0,INTENS,2014,13243.0,06.18.40.20.10,True,10650.0,True,http://www.leboncoin.fr/voitures/999433750.htm?ca=21_s
11,provence_alpes_cote_d_azur,12500.0,ZEN,2015,8000.0,0484320215,True,10467.0,True,http://www.leboncoin.fr/voitures/912875293.htm?ca=21_s
12,provence_alpes_cote_d_azur,13490.0,LIFE TYPE 2,2016,10.0,0673895460,True,10175.0,True,http://www.leboncoin.fr/voitures/1022436896.htm?ca=21_s
13,provence_alpes_cote_d_azur,8990.0,ZEN,2013,46145.0,0490789523,True,10467.0,False,http://www.leboncoin.fr/voitures/984040634.htm?ca=21_s
14,provence_alpes_cote_d_azur,11990.0,INTENS,2014,11269.0,0422170108,True,10650.0,True,http://www.leboncoin.fr/voitures/1019814026.htm?ca=21_s
15,provence_alpes_cote_d_azur,9900.0,INTENS,2013,32154.0,0494110548,True,10650.0,False,http://www.leboncoin.fr/voitures/997770279.htm?ca=21_s
16,provence_alpes_cote_d_azur,11990.0,LIFE,2015,7090.0,0422170122,True,10121.0,True,http://www.leboncoin.fr/voitures/1014684696.htm?ca=21_s
17,provence_alpes_cote_d_azur,5600.0,,2014,23000.0,04.94.38.51.04,True,,,http://www.leboncoin.fr/voitures/1012986129.htm?ca=21_s
18,provence_alpes_cote_d_azur,11500.0,,2014,9400.0,,False,,,http://www.leboncoin.fr/voitures/1009434544.htm?ca=21_s
19,provence_alpes_cote_d_azur,9200.0,,2013,37500.0,,False,,,http://www.leboncoin.fr/voitures/983972030.htm?ca=21_s
20,aquitaine,14000.0,LIFE TYPE 2,2016,6000.0,,False,10175.0,True,http://www.leboncoin.fr/voitures/1033849358.htm?ca=2_s
21,aquitaine,9500.0,ZEN,2013,39000.0,,False,10467.0,False,http://www.leboncoin.fr/voitures/1031537756.htm?ca=2_s
22,aquitaine,9490.0,LIFE,2014,24000.0,,False,10121.0,False,http://www.leboncoin.fr/voitures/1002949161.htm?ca=2_s
23,aquitaine,12900.0,INTENS,2015,5297.0,,True,10650.0,True,http://www.leboncoin.fr/voitures/1028508605.htm?ca=2_s
24,aquitaine,11990.0,LIFE,2015,12905.0,0531081450,True,10121.0,True,http://www.leboncoin.fr/voitures/1028667705.htm?ca=2_s
25,aquitaine,8990.0,ZEN,2013,36562.0,,True,10467.0,False,http://www.leboncoin.fr/voitures/1027252459.htm?ca=2_s
26,aquitaine,13700.0,LIFE TYPE 2,2016,1073.0,0776041488,True,10175.0,True,http://www.leboncoin.fr/voitures/962043226.htm?ca=2_s
27,aquitaine,9990.0,LIFE,2013,6840.0,,True,10121.0,False,http://www.leboncoin.fr/voitures/996452736.htm?ca=2_s
28,aquitaine,13200.0,LIFE TYPE 2,2016,2000.0,0516066013,True,10175.0,True,http://www.leboncoin.fr/voitures/999620596.htm?ca=2_s
29,aquitaine,18900.0,LIFE TYPE 2,2016,1500.0,0516066014,True,10175.0,True,http://www.leboncoin.fr/voitures/1019356561.htm?ca=2_s
30,aquitaine,8900.0,LIFE,2013,37173.0,0531081574,True,10121.0,False,http://www.leboncoin.fr/voitures/997275466.htm?ca=2_s
31,aquitaine,12490.0,ZEN,2015,6346.0,0531081574,True,10467.0,True,http://www.leboncoin.fr/voitures/997696810.htm?ca=2_s
32,aquitaine,8990.0,LIFE,2014,24000.0,,True,10121.0,False,http://www.leboncoin.fr/voitures/1018657709.htm?ca=2_s
33,aquitaine,14500.0,LIFE TYPE 2,2016,2000.0,0516066011,True,10175.0,True,http://www.leboncoin.fr/voitures/952223451.htm?ca=2_s
34,aquitaine,9500.0,INTENS,2013,46000.0,,False,10650.0,False,http://www.leboncoin.fr/voitures/1018237458.htm?ca=2_s
35,aquitaine,12490.0,LIFE,2015,10139.0,0531081450,True,10121.0,True,http://www.leboncoin.fr/voitures/1015174133.htm?ca=2_s
36,aquitaine,18900.0,LIFE TYPE 2,2016,2000.0,0524449110,True,10175.0,True,http://www.leboncoin.fr/voitures/969730090.htm?ca=2_s
37,aquitaine,14700.0,ZEN TYPE 2,2016,2500.0,0516066011,True,10519.0,True,http://www.leboncoin.fr/voitures/991073210.htm?ca=2_s
38,ile_de_france,23512.0,INTENS,2016,2500.0,0183799570,True,10650.0,True,http://www.leboncoin.fr/voitures/1035061660.htm?ca=12_s
39,ile_de_france,9600.0,INTENS,2013,30000.0,,False,10650.0,False,http://www.leboncoin.fr/voitures/1034575248.htm?ca=12_s
40,ile_de_france,16890.0,ZEN TYPE 2,2016,100.0,0183799570,True,10519.0,True,http://www.leboncoin.fr/voitures/1035061272.htm?ca=12_s
41,ile_de_france,10190.0,ZEN,2014,17791.0,0176455461,True,10467.0,False,http://www.leboncoin.fr/voitures/1021894763.htm?ca=12_s
42,ile_de_france,17100.0,INTENS,2016,1000.0,0805805802,True,10650.0,True,http://www.leboncoin.fr/voitures/1021932515.htm?ca=12_s
43,ile_de_france,21490.0,LIFE TYPE 2,2016,2000.0,0805805802,True,10175.0,True,http://www.leboncoin.fr/voitures/1021932499.htm?ca=12_s
44,ile_de_france,17100.0,INTENS,2016,1000.0,0805805802,True,10650.0,True,http://www.leboncoin.fr/voitures/996062730.htm?ca=12_s
45,ile_de_france,21490.0,LIFE TYPE 2,2016,2000.0,0805805802,True,10175.0,True,http://www.leboncoin.fr/voitures/996062702.htm?ca=12_s
46,ile_de_france,13490.0,LIFE TYPE 2,2016,10.0,0182714652,True,10175.0,True,http://www.leboncoin.fr/voitures/1006229113.htm?ca=12_s
47,ile_de_france,8800.0,INTENS,2013,26800.0,06.85.05.88.14,True,10650.0,False,http://www.leboncoin.fr/voitures/1029542209.htm?ca=12_s
48,ile_de_france,15490.0,INTENS,2016,3000.0,0805805802,True,10650.0,True,http://www.leboncoin.fr/voitures/1032643293.htm?ca=12_s
49,ile_de_france,8690.0,INTENS,2013,40595.0,0174704406,True,10650.0,False,http://www.leboncoin.fr/voitures/1009339474.htm?ca=12_s
50,ile_de_france,12800.0,LIFE,2016,1700.0,,False,10121.0,True,http://www.leboncoin.fr/voitures/1032393144.htm?ca=12_s
51,ile_de_france,10490.0,,2013,18679.0,01.47.80.23.22,True,,,http://www.leboncoin.fr/voitures/1031948599.htm?ca=12_s
52,ile_de_france,8990.0,ZEN,2013,27689.0,0174704406,True,10467.0,False,http://www.leboncoin.fr/voitures/988625609.htm?ca=12_s
