,Brand,Quantity,Forme,Molecule
0,ACTAVIS,400, comprim? pellicul?,IBUPROFENE
1,ALMUS,200, comprim? pellicul?,IBUPROFENE
2,ALMUS,400, comprim? pellicul?,IBUPROFENE
3,ARROW,200, comprim? enrob?,IBUPROFENE
4,ARROW,400, comprim? pellicul?,IBUPROFENE
5,ARROW,5, gel,IBUPROFENE
6,ARROW CONSEIL,400, comprim? pellicul?,IBUPROFENE
7,BIOGARAN,200, comprim? pellicul?,IBUPROFENE
8,BIOGARAN,400, comprim? pellicul?,IBUPROFENE
9,BIOGARAN CONSEIL,200, comprim? pellicul?,IBUPROFENE
10,BIOGARAN CONSEIL,400, comprim? pellicul?,IBUPROFENE
11,CHEMINEAU,5, solution pour application cutan?e,IBUPROFENE
12,CHEMINEAU,5, solution pour application cutan?e en flacon pressuris?,IBUPROFENE
13,CRISTERS,200, comprim? enrob?,IBUPROFENE
14,CRISTERS,200, comprim? pellicul?,IBUPROFENE
15,CRISTERS,400, comprim? pellicul?,IBUPROFENE
16,DU SAINT BERNARD,5, gel pour application locale,IBUPROFENE
17,EG,200, comprim? pellicul?,IBUPROFENE
18,EG,400, comprim? pellicul?,IBUPROFENE
19,EVOLUGEN,400, comprim? pellicul?,IBUPROFENE
20,ISOMED,200, comprim? enrob?,IBUPROFENE
21,MYLAN,200, comprim? enrob?,IBUPROFENE
22,MYLAN,400, comprim? effervescent,IBUPROFENE
23,MYLAN,400, comprim? pellicul?,IBUPROFENE
24,MYLAN CONSEIL,400, comprim? pellicul?,IBUPROFENE
25,NEPENTHES,200, comprim? pellicul?,IBUPROFENE
26,NEPENTHES,400, comprim? pellicul?,IBUPROFENE
27,PHR LAB,400, comprim? pellicul?,IBUPROFENE
28,QUALIMED,200, comprim? enrob?,IBUPROFENE
29,RANBAXY MEDICATION OFFICINALE,200, comprim? pellicul?,IBUPROFENE
30,RANBAXY MEDICATION OFFICINALE,400, comprim? pellicul?,IBUPROFENE
31,RATIOPHARM,200, comprim? enrob?,IBUPROFENE
32,RATIOPHARM CONSEIL,200, comprim? enrob?,IBUPROFENE
33,RPG,400, comprim? pellicul?,IBUPROFENE
34,SANDOZ,200, comprim? enrob?,IBUPROFENE
35,SANDOZ,400, comprim? enrob?,IBUPROFENE
36,SANDOZ,400, comprim? pellicul?,IBUPROFENE
37,SANDOZ CONSEIL,200, comprim? enrob?,IBUPROFENE
38,SANDOZ CONSEIL,400, comprim? pellicul?,IBUPROFENE
39,TEVA,200, comprim? enrob?,IBUPROFENE
40,TEVA,400, comprim? pellicul?,IBUPROFENE
41,TEVA CONSEIL,200, comprim? enrob?,IBUPROFENE
42,TEVA CONSEIL,400, comprim? pellicul?,IBUPROFENE
43,TEVA SANTE,400, comprim? pellicul?,IBUPROFENE
44,URGO,5, gel,IBUPROFENE
45,ZF,400, comprim? pellicul?,IBUPROFENE
46,ZYDUS,200, comprim? enrob?,IBUPROFENE
47,ZYDUS,400, comprim? pellicul?,IBUPROFENE
48,ZYDUS FRANCE,200, comprim? pellicul?,IBUPROFENE
49,ZYDUS FRANCE,400, comprim? pellicul?,IBUPROFENE
