exe_spe;l_exe_spe
1;01-Médecine générale
2;02-Anesthésiologie - Réanimation chirurgicale
3;03-Pathologie cardio-vasculaire
4;04-Chirurgie générale
5;05-Dermatologie et vénérologie
6;06-Radiodiagnostic et imagerie médicale
7;07-Gynécologie obstétrique
8;08-Gastro-entérologie et hépatologie
9;09-Médecine interne
10;10-Neurochirurgie
11;11-Oto-rhino laryngologie
12;12-Pédiatrie
13;13-Pneumologie
14;14-Rhumatologie
15;15-Ophtalmologie
16;16-Chirurgie urologique
17;17-Neuropsychiatrie
18;18-Stomatologie
19;19-Chirurgie dentaire
20;20-Réanimation médicale
21;21-Sages-femmes
22;22-Spécialistes en médecine générale avec diplôme
23;23-Spécialistes en médecine générale recpnnu par l'ordre
24;24-Infirmier
26;26-Masseur-kinésithérapeute
27;27-Pédicure podologue
28;28-Orthophoniste
29;29-Orthoptiste
30;30-Laboratoire
31;31-Médecine physique et de réanimation
32;32-Neurologie
33;33-Psychiatrie générale
34;34-Gériatrie
35;35-Néphrologie
36;36-Chirurgie dentaire spécialistes
37;37-Anatomie-cytologie-pathologique
38;38-Médecin biologiste
39;39-Laboratoire polyvalent
40;40-Laboratoire anatomo-pathologiste
41;41-Chirurgie orthopédique et traumatologie
42;42-Endocrinologie
43;43-Chirurgie infantile
44;44-Chirurgie maxillo-faciale
45;45-Chirurgie maxillo-faciale et stomatologie
46;46-Chirurgie plastique reconstructrice et esthétique
47;47-Chirurgie thoracique et cardio-vasculaire
48;48-Chirurgie vasculaire
49;49-Chirurgie viscérale et digestive
50;50-Pharmacie indifférenciée
53;53-Chirurgie orale dentaire
54;54-Médecine bucco-dentaire
55;55-Ambulancier
56;56-Taxi
57;57-Autre transporteur
59;99-Spécialité Inconnue
60;60-Titre I, titre II ch. 4, titre IV société
61;61-Titre I, titre II chapitre 4, titre IV artisan
62;62-Titre I, titre II chapitre 4, titre IV association
63;63-Titre II, chapitre. I orthèses
64;64-Titre II, chapitre. 2 optique médicale
65;65-Titre II, chapitre. 3 audioprothèses
67;67-Titre II, chapitre. 6 podo-orthèses
68;68-Titre II, chapitre. 7 ortho-prothèses
70;70-Gynécologie médicale
71;71-Hémathologie
72;72-Médecine nucléaire
73;73-Oncologie médicale
74;74-Oncologie radiothérapique
75;"75-Psychiatrie de l""enfant et de l""adolescent"
76;76-Radiothérapie
77;77-Obstétrique
78;78-Génétique médicale
79;79-Gynécologie obstétricale
80;80-Santé publique et Médecine Sociale
92;92-Centre de santé
99;00-Sans objet
