prs_nat;l_prs_nat
0;SANS OBJET
1111;CONSULTATION COTEE C
1112;CONSULTATION COTEE CS
1113;CONSULTATION COTEE CNP
1114;CONSULTATION SPECIFIQUE CARDIOLOGIE
1115;CONSULTATION BILAN
1116;MAJORATION FORFAITAIRE TRANSITOIRE
1117;CONSULTATION DES SPECIALISTES COTEE C2
1118;CONSULTATION DES PSYCHIATRES COTEE C2,5
1119;MAJORATION TRANSITOIRE SPECIFIQUE
1120;COMPLEMENT CONSULTATION SPECIALISTE
1121;HONORAIRE DE SURVEILLANCE
1122;EXAMEN SPECIAL (PROTOCOLE)
1123;SUITE D EXAMEN DE SANTE
1124;REMUNERATION MEDECIN TRAITANT PAR PATIENT EN ALD
1125;MAJORATION DE COORDINATION DES GENERALISTES
1126;MAJORATION DE COORDINATION SPECIALISTES
1127;MAJORATION DE COORDINATION CARDIOLOGUES
1128;DIFFERENTIEL REFERENT TRAITANT
1129;MAJORATION FORFAITAIRE TRANSITOIRE (POUR LES MOINS DE 16 ANS)
1130;FORFAIT MEDECIN TRAITANT
1131;MAJORATION CONSULTATION APPAREILLAGE
1132;MAJORATION CONSULTATION ENDOCRINO
1133;MAJORATION GENERALISTE ENFANT
1134;MAJORATION PREMIERE CONSULTATION FAMILLE
1135;MAJORATION CONSULTATION ANNUELLE FAMILLE
1136;MAJORATION ANNUELLE DE SYNTHESE
1137;MAJORATION NOURRISSON
1138;REMUNERATION ADDITIONNELLE CAPI
1139;REMUNERATION DES ADHERENTS AU CAPI
1140;CONSULTATION SPECIFIQUE DE DEPISTAGE
1141;MAJORATION PEDIATRE ENFANT
1142;REMUNERATION ADHESION SOPHIA (SOINS DE VILLE)
1143;REMUNERATION RENOUVELLEMENT SOPHIA (SOINS DE VILLE)
1144;REMUNERATION FORFAITAIRE POUR LE SUIVI DES PATIENTS EN POST ALD
1145;REMUNERATION OBJECTIF MEDECIN
1146;REMUNERATION OBJECTIF MEDECIN COMPLEMENT
1147;CONTESTATION FORFAIT MEDECIN TRAITANT
1148;REMUNERATION FORFAITAIRE PAR CONSULTATION POUR LE SUIVI DES PERSONNES AGEES
1149;CONTESTATION REMUNERATION SUIVI PERSONNES AGEES
1150;REMUNERATION PRATICIENS TERRITORIAUX DE MEDECINE GENERALE
1152;MAJORATION SUIVI DES ENFANTS GRANDS PREMATURES OU ATTEINTS DE PATHOLOGIE CONGENITALE GRAVE
1153;MAJORATION CONSULTATION POUR INSUFFISANT CARDIAQUE APRES HOSPITALISATION
1154;MAJORATION CONSULTATION SUIVI APRES HOSPITALISATION PATIENTS A FORTE COMORBIDITE
1155;REMU CAS COTISATIONS SOCIALES
1156;CONT. CAS COT.SOC.
1211;VISITE COTEE V
1212;VISITE COTEE VS
1213;VISITE COTEE VNP
1214;VISITE LONGUE ET COMPLEXE
1221;VISITE D URGENCE
1222;VISITE URGENCE VU/MU
1223;MAJORATION MAINTIEN A DOMICILE
1224;MD (CRITERES MEDICAUX)
1225;MDE ( CRITERES ENVIRONNEMENTAUX)
1226;MD DE NUIT
1227;MD DE MILIEU NUIT
1228;MD DE DIMANCHE ET JOUR FERIES
1229;MDE DE NUIT
1231;MDE MILIEU DE NUIT
1232;MDE DIMANCHE ET JOUR FERIES
1311;ACTES EN K CHIRURGICAL
1312;ACTES DE SPECIALITE EN K
1313;ACTES EN K D URGENCE
1314;FORFAIT CHIRURGIE 1
1315;FORFAIT CHIRURGIE 2
1316;ACTES DE DIAGNOSTIC COTES KE
1317;ACTES EN KCC: ACTES SPECIFIQUES DES CHIRURGIENS
1318;ACTE DE PHONIATRIE PAR MEDECIN
1319;MAJORATION FORFAIT ACCOUCHEMENT
1320;FORFAIT RADIOGRAPHIE,ECHOGRAPHIE
1321;ACTE DE CHIRURGIE CCAM
