Estimation de population au 1er janvier, par r‚gion, sexe et grande classe d'ƒge;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ann‚e 2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
R‚gions;Ensemble;;;;;;Hommes;;;;;;Femmes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;0 … 19 ans;20 … 39 ans;40 … 59 ans;60 … 74 ans;75 ans et plus;Total;0 … 19 ans;20 … 39 ans;40 … 59 ans;60 … 74 ans;75 ans et plus;Total;0 … 19 ans;20 … 39 ans;40 … 59 ans;60 … 74 ans;75 ans et plus;Total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alsace-Champagne-Ardenne-Lorraine;1 314 940;1 333 921;1 532 514;871 455;507 575;5 560 405;674 823;670 655;759 423;417 816;190 261;2 712 978;640 117;663 266;773 091;453 639;317 314;2 847 427;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aquitaine-Limousin-Poitou-Charentes;1 310 200;1 276 925;1 605 873;1 044 291;667 554;5 904 843;672 146;635 540;788 604;494 764;259 655;2 850 709;638 054;641 385;817 269;549 527;407 899;3 054 134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Auvergne-Rh“ne-Alpes;1 946 672;1 904 454;2 098 795;1 206 429;718 236;7 874 586;996 941;950 654;1 040 369;573 130;274 684;3 835 778;949 731;953 800;1 058 426;633 299;443 552;4 038 808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bourgogne-Franche-Comt‚;658 303;620 303;757 087;486 132;299 217;2 821 042;338 888;312 675;376 324;233 808;114 232;1 375 927;319 415;307 628;380 763;252 324;184 985;1 445 115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bretagne;791 945;731 661;880 645;545 166;344 885;3 294 302;405 569;371 238;439 769;258 283;127 831;1 602 690;386 376;360 423;440 876;286 883;217 054;1 691 612;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Centre-Val-de-Loire;619 140;561 988;693 920;434 807;272 519;2 582 374;317 164;279 822;342 651;207 625;106 130;1 253 392;301 976;282 166;351 269;227 182;166 389;1 328 982;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Corse;67 159;77 130;91 185;57 017;34 407;326 898;34 938;38 044;44 880;27 543;13 978;159 383;32 221;39 086;46 305;29 474;20 429;167 515;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
×le-de-France;3 133 357;3 430 843;3 193 560;1 507 433;808 721;12 073 914;1 596 455;1 669 332;1 560 254;706 962;303 674;5 836 677;1 536 902;1 761 511;1 633 306;800 471;505 047;6 237 237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Languedoc-Roussillon-Midi-Pyr‚n‚es;1 327 444;1 319 552;1 546 114;983 636;615 119;5 791 865;681 014;655 041;755 957;467 362;241 925;2 801 299;646 430;664 511;790 157;516 274;373 194;2 990 566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nord - Pas-de-Calais-Picardie;1 585 367;1 485 155;1 589 489;865 710;481 132;6 006 853;811 079;740 011;785 502;406 055;171 165;2 913 812;774 288;745 144;803 987;459 655;309 967;3 093 041;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Normandie;819 017;752 184;895 081;544 169;324 206;3 334 657;419 800;375 494;440 617;258 672;120 189;1 614 772;399 217;376 690;454 464;285 497;204 017;1 719 885;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pays de la Loire;947 767;854 548;977 296;579 351;357 106;3 716 068;484 178;430 899;485 373;274 683;136 593;1 811 726;463 589;423 649;491 923;304 668;220 513;1 904 342;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Provence-Alpes-C“te d'Azur;1 142 994;1 131 608;1 333 119;854 058;527 656;4 989 435;586 381;558 231;642 975;398 798;204 846;2 391 231;556 613;573 377;690 144;455 260;322 810;2 598 204;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
France m‚tropolitaine;15 664 305;15 480 272;17 194 678;9 979 654;5 958 333;64 277 242;8 019 376;7 687 636;8 462 698;4 725 501;2 265 163;31 160 374;7 644 929;7 792 636;8 731 980;5 254 153;3 693 170;33 116 868;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guadeloupe ;107 664;79 517;122 286;61 159;29 506;400 132;54 301;35 395;55 092;27 726;11 579;184 093;53 363;44 122;67 194;33 433;17 927;216 039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
