version,annee,km,prix,prix lacentrale,comparaison lacentrale,phone number,vendeur,ref
intens,2013,17000,10000,,,,part,1035894717
zen,2015,4750,12990,12472,+,,pro,1006686148
intens,2015,8000,12900,12629,+,,pro,1035061511
intens,2016,10,15590,,,,pro,1033965507
life,2014,7628,10850,,,,pro,1021931789
life,2014,7628,10850,,,,pro,998166680
intens,2014,3500,12500,,,,part,1032374552
intens,2013,20000,10000,,,,part,1028630240
,2016,20,17000,,,,part,1028038955
intens,2014,13243,12490,,,,pro,999433750
zen,2015,8000,12500,12472,+,,pro,912875293
life,2016,10,13490,,,,pro,1022436896
zen,2013,46145,8990,,,,pro,984040634
intens,2014,11269,11990,,,,pro,1019814026
intens,2013,32154,9900,,,,pro,997770279
life,2015,7090,11990,12012,-,,pro,1014684696
zen,2014,23000,5600,,,,pro,1012986129
intens,2014,9400,11500,,,,part,1009434544
intens,2013,37500,9200,,,,part,983972030
zen,2015,19500,12000,11870,+,,part,1036491233
intens,2016,2500,23512,,,,pro,1035061660
intens,2013,30000,9600,,,,part,1034575248
zen,2016,100,16890,,,,pro,1035061272
zen,2014,17791,10190,,,,pro,1021894763
intens,2016,1000,17100,,,,pro,1021932515
life,2016,2000,21490,,,,pro,1021932499
life,2015,7569,11290,12012,-,,pro,990328036
intens,2016,1000,17100,,,,pro,996062730
life,2016,2000,21490,,,,pro,996062702
life,2016,10,13490,,,,pro,1006229113
intens,2016,3000,15490,,,,pro,1032643293
life,2016,1700,12800,,,,part,1032393144
zen,2013,18679,10490,,,,pro,1031948599
zen,2013,27689,8990,,,,pro,988625609
intens,2014,42000,12000,,,,part,1030748149
intens,2013,53800,9790,,,,pro,1030496042
life,2015,24600,10980,12000,-,,pro,1006593533
life,2015,11480,11720,11434,+,,pro,1029606565
zen,2016,6000,16500,,,,pro,1029113352
life,2015,22000,10800,11825,-,,part,976192388
zen,2016,1,13990,,,,pro,1028687174
intens,2013,25000,8950,,,,part,1028001099
zen,2016,100,20000,,,,pro,1027119232
intens,2015,2350,20900,12629,+,,pro,1003980024
life,2016,100,19700,,,,pro,1026233921
intens,2015,17979,12500,12713,-,,pro,1026235016
zen,2015,12800,12700,12152,+,,part,1025724071
zen,2013,21500,9990,,,,pro,1002404906
life,2016,14,12990,,,,pro,1024057804
zen,2013,24973,10490,,,,pro,1002044191
zen,2016,100,14800,,,,pro,1023692772
life,2015,13195,10990,11444,-,,pro,1001259838
zen,2013,62434,8400,,,,pro,1022574878
intens,2013,7700,11490,,,,pro,1000566875
life,2014,7297,9970,,,,pro,1000205618
life,2016,10,12820,,,,pro,1018969287
intens,2014,17885,11900,,,,pro,1019359181
intens,2016,10,14464,,,,pro,1018969305
intens,2013,15400,10950,,,,part,1018931643
intens,2016,200,14464,,,,pro,1018969268
life,2016,200,13290,,,,pro,953653115
zen,2016,100,15600,,,,pro,946608083
zen,2015,7975,12990,12152,+,,pro,953171498
zen,2014,37240,9480,,,,pro,966409096
zen,2015,8214,12590,12408,+,,pro,1013296781
intens,2014,100,20000,,,,pro,1012873366
life,2015,11494,10990,11716,-,,pro,990711542
life,2016,6000,14000,,,,part,1033849358
zen,2013,39000,9500,,,,part,1031537756
life,2014,24000,9490,,,,part,1002949161
intens,2015,5297,12900,12114,+,,pro,1028508605
life,2015,12905,11990,11824,+,,pro,1028667705
zen,2013,36562,8990,,,,pro,1027252459
life,2016,1073,13700,,,,pro,962043226
life,2016,2000,13200,,,,pro,999620596
life,2016,1500,18900,,,,pro,1019356561
life,2014,24000,8990,,,,pro,1018657709
life,2016,2000,14500,,,,pro,952223451
intens,2013,46000,9500,,,,part,1018237458
life,2015,10139,12490,11734,+,,pro,1015174133
life,2016,2000,18900,,,,pro,969730090
zen,2016,2500,14700,,,,pro,991073210
