,exe_spe,departement,dep_mon,densite
0,1,1,4141,213.8
1,1,10,2030,250.0
2,1,11,2101,303.8
3,1,12,1674,295.6
4,1,13,8271,370.6
5,1,14,3261,334.6
6,1,15,890,336.2
7,1,16,1924,280.4
8,1,17,3261,339.6
9,1,18,2828,220.6
10,1,19,2102,311.6
11,1,2,2602,228.6
12,1,20,3913,311.5
13,1,21,3466,322.6
14,1,22,2762,288.2
15,1,23,1072,303.2
16,1,24,2367,276.4
17,1,25,3079,338.2
18,1,26,3936,305.2
19,1,27,4259,209.6
20,1,28,3578,213.2
21,1,29,3459,335.4
22,1,3,2165,284.6
23,1,30,3885,301.2
24,1,31,4710,351.2
25,1,32,1715,299.6
26,1,33,6079,358.8
27,1,34,4555,371.2
28,1,35,3855,317.4
29,1,36,2295,243.8
30,1,37,3814,324.6
31,1,38,7097,318.2
32,1,39,2323,299.0
33,1,4,2082,373.2
34,1,40,1840,323.2
35,1,41,2976,254.8
36,1,42,3811,323.2
37,1,43,2066,275.2
38,1,44,5818,327.6
39,1,45,4398,237.2
40,1,46,1286,327.2
41,1,47,1685,267.6
42,1,48,678,288.6
43,1,49,3203,302.6
44,1,5,1879,472.0
45,1,50,2553,279.6
46,1,51,3038,309.6
47,1,52,1472,291.6
48,1,53,1847,225.4
49,1,54,3086,349.8
50,1,55,1411,276.0
51,1,56,2939,308.0
52,1,57,5422,266.6
53,1,58,1580,244.2
54,1,59,12523,332.0
55,1,6,6646,371.8
56,1,60,4407,237.8
57,1,61,1604,271.0
58,1,62,5689,280.6
59,1,63,3783,317.0
60,1,64,4651,366.0
61,1,65,1514,392.4
62,1,66,3103,366.0
63,1,67,6094,342.4
64,1,68,5158,280.4
65,1,69,9012,351.0
66,1,7,2461,255.2
67,1,70,1538,291.4
68,1,71,3338,258.0
69,1,72,2924,240.8
70,1,73,3652,376.4
71,1,74,6829,301.4
72,1,75,17096,489.4
73,1,76,6247,301.0
74,1,77,8766,212.2
75,1,78,10031,254.8
76,1,79,1917,279.6
77,1,8,1591,263.2
78,1,80,2511,341.6
79,1,81,1707,304.2
80,1,82,1984,281.6
81,1,83,6027,333.8
82,1,84,4253,323.2
83,1,85,2991,249.8
84,1,86,2679,325.2
85,1,87,2130,395.4
86,1,88,1864,291.6
87,1,89,3738,251.2
88,1,9,996,342.4
89,1,90,1391,281.2
90,1,91,8455,240.2
91,1,92,13265,321.0
92,1,93,8715,244.2
93,1,94,9410,272.0
94,1,95,7973,236.6
95,1,97,17786,249.2
96,2,1,1922,8.5
97,2,10,521,12.7
98,2,11,1029,20.0
99,2,12,414,12.2
100,2,13,2346,32.2
101,2,14,852,22.6
102,2,15,195,18.5
103,2,16,1433,11.6
104,2,17,1127,16.1
105,2,18,904,10.3
106,2,19,737,12.6
107,2,2,1383,10.1
108,2,20,1362,15.45
109,2,21,1180,25.6
110,2,22,436,15.8
111,2,23,462,10.9
112,2,24,1061,8.4
113,2,25,605,24.5
114,2,26,1294,14.2
115,2,27,1138,6.9
116,2,28,1034,12.2
117,2,29,439,18.9
118,2,3,851,16.3
119,2,30,1846,19.7
120,2,31,1544,30.9
121,2,32,539,8.4
122,2,33,2651,27.1
123,2,34,1720,32.6
124,2,35,722,22.5
125,2,36,519,12.0
126,2,37,1306,23.200000000000006
127,2,38,2324,22.0
128,2,39,669,12.0
129,2,4,585,12.3
130,2,40,1311,13.4
131,2,41,679,9.9
132,2,42,1348,22.4
133,2,43,474,8.8
134,2,44,1404,21.9
135,2,45,1586,16.099999999999998
136,2,46,586,16.1
137,2,47,760,14.1
138,2,48,305,14.4
139,2,49,1362,20.4
140,2,5,288,27.0
141,2,50,503,14.2
142,2,51,1675,22.5
143,2,52,458,13.9
144,2,53,384,9.7
145,2,54,1099,28.8
146,2,55,423,8.9
147,2,56,781,17.1
148,2,57,982,17.8
149,2,58,565,10.9
150,2,59,6870,21.7
151,2,6,2325,31.8
152,2,60,1606,9.4
153,2,61,430,12.9
154,2,62,3086,12.9
155,2,63,753,28.1
156,2,64,2200,24.6
157,2,65,605,21.5
