;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille;Rennes;Reims;Le Havre;Saint-Etienne;Toulon;Grenoble;Dijon;Nmes;Angers;Villeurbanne;Le Mans;Aix-en-Provence;Clermont-Ferrand;Brest;Limoges;Tours;Amiens;Perpignan;Metz
Paris;0.0;775147.0;465838.0;679426.0;932197.0;385168.0;491901.0;747845.0;584537.0;219312.0;354713.0;144400.0;195688.0;523713.0;839080.0;575642.0;315165.0;712322.0;296200.0;471142.0;208715.0;760774.0;424645.0;591442.0;392320.0;239611.0;144429.0;848304.0;330848.0
Marseille;774927.0;0.0;313685.0;402891.0;199463.0;985435.0;798380.0;170370.0;645148.0;999852.0;1051571.0;798019.0;965208.0;332616.0;66513.0;305613.0;504625.0;121541.0;905386.0;317633.0;891774.0;33840.0;473724.0;1279804.0;690328.0;797446.0;918295.0;317271.0;766090.0
Lyon;466053.0;314190.0;0.0;537075.0;471240.0;685227.0;487680.0;304554.0;555681.0;690978.0;742444.0;489145.0;656334.0;62757.0;378123.0;111391.0;195751.0;251365.0;596259.0;8594.0;582647.0;299817.0;164597.0;970677.0;409926.0;488319.0;609421.0;451455.0;457216.0
Toulouse;678904.0;403446.0;537518.0;0.0;560496.0;584963.0;968785.0;242511.0;244676.0;894415.0;703761.0;812669.0;858904.0;535588.0;467379.0;529446.0;671672.0;290491.0;642452.0;541466.0;681173.0;389073.0;375964.0;881821.0;289856.0;586845.0;825128.0;205475.0;933137.0
Nice;932341.0;204861.0;471099.0;560305.0;0.0;1142850.0;784866.0;327784.0;802563.0;1157266.0;1208986.0;955433.0;1122623.0;490031.0;149787.0;463027.0;662040.0;278955.0;1062801.0;475047.0;1049188.0;176499.0;631139.0;1437219.0;847743.0;954861.0;1075709.0;474686.0;923505.0
Nantes;384542.0;985868.0;685084.0;585999.0;1142918.0;0.0;865808.0;824934.0;346928.0;600053.0;113409.0;518307.0;384270.0;664242.0;1049802.0;793075.0;638071.0;872913.0;90720.0;690279.0;184229.0;971496.0;535755.0;295308.0;326345.0;215653.0;505795.0;787897.0;704755.0
Strasbourg;490232.0;799552.0;492813.0;970962.0;784276.0;865646.0;0.0;789916.0;968927.0;524658.0;835191.0;350429.0;698625.0;548119.0;863486.0;575192.0;329865.0;736727.0;776677.0;482846.0;689192.0;785180.0;630898.0;1071920.0;731973.0;694129.0;525990.0;936818.0;165141.0
Montpellier;747998.0;169037.0;303110.0;242383.0;326087.0;824928.0;787805.0;0.0;484641.0;963510.0;917787.0;787444.0;927999.0;322041.0;232971.0;295037.0;494050.0;56083.0;771603.0;307058.0;757990.0;154665.0;332402.0;1121786.0;424180.0;663662.0;894222.0;156764.0;755515.0
Bordeaux;590492.0;645494.0;555983.0;245625.0;802545.0;353408.0;968338.0;484560.0;0.0;806003.0;472206.0;724257.0;691212.0;535141.0;709428.0;663975.0;671225.0;532540.0;410897.0;561178.0;449618.0;631122.0;375517.0;650266.0;227291.0;355290.0;736716.0;447523.0;930423.0
Lille;225194.0;1000932.0;691624.0;894913.0;1157982.0;600654.0;525123.0;963331.0;800023.0;0.0;570200.0;206487.0;316166.0;749498.0;1064865.0;801427.0;501246.0;938107.0;511686.0;696927.0;424201.0;986559.0;640132.0;758737.0;607807.0;455097.0;143532.0;1063791.0;363854.0
