,name,mean star
0,GrahamCampbell,101.09
1,fabpot,63.67
2,weierophinney,5.53
3,rkh,30.20
4,josh,61.47
5,SamyPesse,477.00
6,rstacruz,31.53
7,tmm1,25.97
8,michalbe,5.40
9,andrew,4.27
10,Ocramius,4.33
11,c9s,5.53
12,steipete,470.80
13,feross,71.60
14,afc163,2.57
15,ornicar,9.03
16,afollestad,506.88
17,KrauseFx,5.17
18,tmcw,43.50
19,bevacqua,25.97
20,mikermcneil,1.80
21,taylorotwell,62.00
22,phodal,131.17
23,gdi2290,1.10
24,benbalter,10.73
25,dcramer,63.23
26,HugoGiraudel,83.73
27,mrmrs,252.67
28,hadley,53.40
29,alex,4.33
30,mbostock,23.07
31,atmos,34.30
32,DataTables,141.87
33,yyx990803,5.30
34,kevinsawicki,6.33
35,mdo,422.90
36,jonathanong,18.83
37,nvie,6.90
38,JedWatson,139.80
39,michaelklishin,15.63
40,orta,53.70
41,frsyuki,4.57
42,steveklabnik,5.43
43,josegonzalez,7.43
44,josephmisiti,554.27
45,nicolasgramlich,133.37
46,zcbenz,78.59
47,pippinsplugins,6.50
48,robrix,12.83
49,parkr,7.30
50,paulcbetts,5.17
51,jdalton,17.09
52,markstory,29.80
53,donnemartin,987.96
54,dsyer,1.07
55,mgechev,243.90
56,radar,6.37
57,JakeWharton,890.73
58,jverkoey,316.80
59,josevalim,180.56
60,gaearon,37.73
61,nixzhu,211.37
62,kripken,447.13
63,joshaber,66.07
64,suissa,7.80
65,geerlingguy,43.17
66,stefanpenner,0.97
67,springmeyer,10.77
68,dlew,40.10
69,EisenbergEffect,20.50
70,numbbbbb,24.07
71,vladikoff,2.60
72,rafaelfranca,0.83
73,paulmillr,241.37
74,Raynos,7.67
75,zenorocha,770.10
76,Urigo,129.20
77,remy,29.20
78,overtrue,135.33
79,eduardolundgren,17.77
80,davidsonfellipe,193.33
81,notwaldorf,64.43
82,JaviSoto,3.13
83,dominictarr,4.70
84,substack,22.80
85,ashfurrow,32.80
86,kylef,56.33
87,yiminghe,22.83
88,soffes,39.00
89,mattdesl,8.80
90,willdurand,83.43
91,jedisct1,54.53
92,cvrebert,14.57
93,soyjavi,5.60
94,technoweenie,81.07
95,brianleroux,4.23
96,Seldaek,3.67
97,barretlee,47.33
98,rauchg,46.40
99,mitsuhiko,43.73
100,indutny,33.47
101,CamDavidsonPilon,379.97
102,sahat,2.77
103,mafintosh,36.63
104,kytrinyx,18.00
105,staltz,6.13
106,jeremy,1.97
107,FezVrasta,564.43
108,yihui,71.47
109,fzaninotto,381.37
110,ai,172.50
111,jnunemaker,82.63
112,jfrazelle,0.0
113,liu21st,113.00
114,zilongshanren,5.70
115,Shougo,298.57
116,soumith,92.07
117,dougwilson,6.07
118,tomchristie,291.03
119,arunoda,3.73
120,madskristensen,9.07
121,mrdoob,1174.77
122,ericholscher,25.83
123,pedrovgs,402.53
124,kentcdodds,14.03
125,mikepenz,201.80
126,ashleygwilliams,3.57
127,mathiasbynens,6.43
128,bbatsov,84.60
129,muan,76.90
130,brentvatne,2.03
131,mitchellh,165.80
132,weaverryan,0.67
133,jgm,182.50
134,ddollar,7.30
135,jakiestfu,327.80
136,pkrumins,16.67
137,mattn,14.77
138,Unknwon,175.70
139,ebidel,144.40
140,samdark,4.97
141,alloy,14.73
142,jamesward,1.80
143,indragiek,128.83
144,tokuhirom,6.87
145,schwa,159.23
146,thomasdavis,144.73
147,curran,1.60
148,amasad,0.57
149,torvalds,12940.33
150,drnic,13.50
151,leafo,17.83
152,rwaldron,1.00
153,benjamn,11.63
154,Caged,29.60
155,jessesquires,403.80
156,chjj,547.80
157,mcollina,20.73
158,mjackson,14.13
159,swannodette,14.87
160,tqchen,63.31
161,simurai,16.47
162,jlord,11.70
163,domenic,43.13
164,marijnh,77.30
165,appleboy,1.13
166,vhf,0.27
167,sferik,15.53
168,QuincyLarson,4.76
169,prakhar1989,604.87
170,angusshire,198.00
171,nzakas,164.53
172,kittens,1.93
173,StephenGrider,10.60
174,thejameskyle,3.00
175,kriskowal,11.17
176,kevva,18.93
177,gorhill,528.65
178,creationix,10.17
179,hemanth,15.70
180,ibdknox,21.60
181,chenglou,6.10
182,ChenYilong,454.67
183,ericelliott,291.70
184,Haacked,16.37
185,ekmett,17.07
186,davecheney,5.70
187,kazuho,6.90
188,rdegges,48.10
189,shiffman,17.90
190,tylermcginnis,5.50
191,apotonick,134.57
192,lihaoyi,232.73
193,chrisjenx,197.47
194,aaronpk,5.00
195,evanw,86.43
196,purcell,4.97
197,leebyron,21.00
198,agentzh,30.27
199,jskeet,14.50
200,samuelclay,219.67
201,maxogden,207.27
202,samccone,0.50
203,swankjesse,5.00
204,jamesmontemagno,7.93
205,jiyinyiyong,0.57
206,mourner,25.57
207,drakeet,241.73
208,wbond,190.23
209,jennschiffer,7.50
210,willianjusten,136.43
211,tekkub,17.77
212,kohsuke,22.30
213,passy,66.67
214,gitster,85.67
215,stof,1.00
216,ankane,105.70
217,ericdouglas,23.00
218,hueniverse,179.45
219,olivergierke,9.70
220,kishikawakatsumi,122.57
221,balupton,8.97
222,jamztang,104.20
223,be5invis,45.37
224,grp,19.10
225,mjhea0,2.63
226,ammeep,6.70
227,kartik-v,104.40
228,SamSaffron,18.83
229,weavejester,50.57
230,cyanogen,7.12
231,AllenDowney,7.90
232,mariotaku,2.90
233,webmozart,34.63
234,cheeaun,11.90
235,sebastianbergmann,181.83
236,addyosmani,388.43
237,rasbt,334.53
238,azat-co,43.20
239,davidfowl,14.57
240,fnando,60.13
241,macournoyer,28.70
242,robdodson,13.83
243,toddmotto,388.00
244,paulirish,46.37
245,juliangruber,8.80
246,bkeepers,166.67
247,mli,1.58
248,walkor,174.63
249,zpao,1.50
250,una,140.50
251,tj,312.90
252,johnpapa,781.17
253,amueller,8.97
254,AdamBien,27.13
255,akrabat,6.43
