,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille,Rennes,Reims,Le Havre,Saint-Étienne,Toulon,Grenoble,Dijon,Nîmes,Angers,Villeurbanne,Le Mans,Saint-Denis (La Réunion),Aix-en-Provence,Clermont-Ferrand,Brest,Limoges,Tours,Amiens,Perpignan,Metz
Paris,0.0,775.147,465.838,679.426,932.197,385.174,491.901,747.845,584.539,219.312,354.713,144.4,195.688,523.713,839.08,575.642,315.165,712.322,296.2,471.142,208.715,,760.774,424.645,591.442,392.32,239.611,144.429,848.304,330.848
Marseille,774.927,0.0,313.685,402.891,199.463,985.435,798.38,170.37,645.148,999.852,1051.571,798.019,965.208,332.616,66.513,305.613,504.625,121.541,905.386,317.633,891.774,,33.84,473.724,1279.804,690.328,797.446,918.295,317.271,766.09
Lyon,466.053,314.19,0.0,537.075,471.24,685.234,487.68,304.554,555.681,690.978,742.444,489.145,656.334,62.756,378.123,111.391,195.751,251.365,596.259,8.594,582.647,,299.817,164.597,970.677,409.926,488.319,609.421,451.455,457.216
Toulouse,678.904,403.446,537.518,0.0,560.496,584.963,968.785,242.511,244.676,894.415,703.761,812.669,858.904,535.588,467.379,529.446,671.672,290.491,642.452,541.466,681.173,,389.073,375.964,881.821,289.856,586.845,825.128,205.475,933.137
Nice,932.341,204.861,471.099,560.305,0.0,1142.85,784.866,327.784,802.563,1157.266,1208.986,955.433,1122.623,490.031,149.787,463.027,662.04,278.955,1062.801,475.047,1049.188,,176.499,631.139,1437.219,847.743,954.86,1075.709,474.686,923.505
Nantes,384.542,985.868,685.084,585.999,1142.918,0.0,865.808,824.934,346.929,600.053,113.068,518.307,383.929,664.242,1049.802,793.075,638.071,872.913,90.72,690.279,184.229,,971.496,535.755,294.963,326.345,215.653,505.795,787.897,704.755
Strasbourg,490.232,799.552,492.813,970.962,784.275,865.652,0.0,789.916,968.927,524.658,835.191,350.429,698.625,548.119,863.486,575.192,329.865,736.727,776.677,482.846,689.192,,785.18,630.898,1071.92,731.973,694.129,525.99,936.818,165.141
Montpellier,747.998,169.037,303.11,242.383,326.087,824.928,787.805,0.0,484.641,963.51,917.787,787.444,927.999,322.041,232.971,295.037,494.05,56.083,771.603,307.058,757.99,,154.665,332.402,1121.786,424.18,663.662,894.222,156.764,755.515
Bordeaux,590.492,645.494,555.983,245.625,802.545,353.408,968.338,484.56,0.0,806.003,472.206,724.257,691.212,535.141,709.428,663.975,671.225,532.54,410.897,561.178,449.618,,631.122,375.517,650.266,227.291,355.29,736.716,447.523,930.423
Lille,225.194,1000.932,691.624,894.913,1157.982,600.661,525.123,963.331,800.025,0.0,570.2,206.487,316.166,749.498,1064.865,801.427,501.245,938.107,511.686,696.927,424.201,,986.559,640.132,758.737,607.807,455.097,143.532,1063.791,363.854
Rennes,349.31,1046.616,738.598,699.146,1203.666,106.746,830.577,912.468,460.077,564.822,0.0,483.075,277.417,717.756,1110.549,846.59,617.452,983.791,126.777,743.793,153.292,,1032.243,589.269,244.047,439.492,252.806,433.91,901.044,669.523
Reims,143.303,798.628,489.319,812.975,955.678,518.723,351.821,788.992,718.088,204.607,488.262,0.0,350.97,547.194,862.561,599.123,298.94,735.803,429.749,494.623,342.264,,784.255,558.194,724.991,525.869,373.16,178.335,935.893,190.767
Le Havre,197.165,965.003,655.695,848.355,1122.053,383.773,699.929,916.773,654.409,317.865,278.702,352.291,0.0,722.061,1028.936,765.498,505.021,902.178,297.66,660.998,211.257,,950.63,593.574,466.493,561.248,309.481,181.503,1017.232,538.875
Saint-Étienne,523.988,331.984,62.746,536.714,489.034,664.233,547.441,322.348,534.68,748.912,721.443,547.08,714.269,0.0,395.917,152.447,253.686,269.159,575.258,66.694,561.646,,317.611,143.596,949.676,388.925,467.318,667.356,469.249,515.151
Toulon,839.301,65.126,378.059,467.265,149.044,1049.809,862.754,234.744,709.522,1064.226,1115.945,862.393,1029.582,396.99,0.0,369.986,568.999,185.915,969.76,382.007,956.148,,83.459,538.098,1344.178,754.702,861.82,982.669,381.645,830.464
Grenoble,574.835,306.221,114.319,529.106,463.271,790.772,573.274,296.585,661.219,799.76,883.818,597.927,765.117,153.586,370.155,0.0,304.533,243.396,701.798,103.557,688.185,,291.848,270.136,1076.216,515.465,593.858,718.203,443.486,565.999
Dijon,314.572,503.91,194.602,672.75,660.96,639.385,330.656,494.274,670.716,500.795,623.555,298.962,504.853,252.476,567.843,304.405,0.0,441.085,550.411,199.905,477.556,,489.537,332.687,860.284,433.762,421.439,474.523,641.175,267.033
Nîmes,712.916,122.674,251.674,289.961,279.724,872.505,736.369,57.44,532.218,937.841,989.56,736.008,903.198,270.606,186.607,243.602,442.614,0.0,843.376,255.622,829.763,,108.301,411.713,1169.363,577.398,735.435,856.284,204.341,704.08
Angers,296.586,905.145,597.128,636.839,1062.196,91.823,777.852,770.998,397.769,512.097,131.865,430.351,329.411,576.286,969.079,705.12,550.115,842.32,0.0,602.323,96.274,,890.773,447.799,377.267,349.151,127.698,417.839,838.737,616.799
Villeurbanne,471.226,319.769,8.036,542.654,476.819,688.491,482.232,310.133,558.938,696.151,745.701,494.318,661.507,68.336,383.703,105.751,200.924,256.944,599.516,0.0,585.903,,305.396,167.854,973.934,413.183,491.576,614.594,457.034,462.389
Le Mans,209.109,895.403,587.386,685.591,1052.454,185.867,690.375,761.256,446.522,424.62,160.439,342.874,241.894,566.544,959.337,695.378,477.251,832.578,96.893,592.581,0.0,,881.031,438.057,397.168,339.409,101.594,330.322,861.715,529.322
Saint-Denis (La Réunion),,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,
Aix-en-Provence,759.066,31.927,297.824,387.03,179.343,969.574,782.519,154.509,629.287,983.991,1035.71,782.158,949.347,316.755,86.226,289.752,488.764,105.68,889.525,301.772,875.913,,0.0,457.863,1263.944,674.467,781.585,902.434,301.41,750.229
Clermont-Ferrand,423.878,474.622,166.604,378.69,631.672,536.457,634.116,332.176,376.655,639.39,593.667,557.643,603.879,145.762,538.555,274.596,337.003,411.797,447.482,171.799,433.87,,460.249,0.0,821.901,230.901,339.542,570.102,432.635,598.468
Brest,591.903,1279.761,971.743,882.585,1436.811,295.286,1073.169,1121.52,643.515,759.857,243.209,725.668,467.001,950.901,1343.694,1079.735,860.045,1169.5,377.38,976.938,395.885,,1265.388,822.414,0.0,622.931,495.399,623.494,1084.483,912.116
Limoges,393.552,690.942,411.217,291.073,847.992,319.328,729.776,423.412,221.122,609.064,438.127,527.317,573.553,390.375,754.876,519.209,432.663,577.988,352.61,416.412,338.997,,676.57,230.751,616.186,0.0,244.67,539.776,492.971,733.484
Tours,240.195,797.997,489.98,588.185,955.048,216.929,695.998,663.85,349.116,455.706,259.118,373.96,340.915,469.138,861.931,597.972,421.962,735.172,127.955,495.175,99.321,,783.625,340.651,495.847,242.003,0.0,386.419,764.309,580.126
Amiens,141.144,916.896,607.588,820.025,1073.946,505.868,526.715,888.443,725.137,144.651,435.098,179.076,180.319,665.463,980.83,717.391,473.834,854.071,416.894,612.891,330.492,,902.524,565.244,622.89,532.918,380.209,0.0,988.903,365.661
