,Modele,Annee,Km,Prix,Cote,Type,Tel,GoodDeal
0,Life,2016,6000,14000,13743,Particulier,NA,False
1,Zen,2013,39000,9500,10458,Particulier,NA,False
2,Life,2014,24000,9490,NA,Particulier,NA,False
3,Life,2015,12905,11990,12266,Professionnel,0531081450,True
4,Zen,2013,36562,8990,NA,Professionnel,NA,False
5,Intens,2015,Electrique,11500,12921,Particulier,NA,True
6,Life,2016,1073,13700,13743,Professionnel,0776041488,True
7,Life,2013,6840,9990,NA,Professionnel,NA,False
8,Life,2016,2000,13200,13743,Professionnel,0516066013,True
9,Life,2016,1500,18900,13743,Professionnel,0516066014,False
10,Life,2013,37173,8900,NA,Professionnel,0531081574,False
11,Zen,2015,6346,12490,12856,Professionnel,0531081574,True
12,Life,2016,2000,14500,13743,Professionnel,0516066011,False
13,Intens,2013,46000,9500,10640,Particulier,NA,False
14,Life,2015,10139,12490,12395,Professionnel,0531081450,False
15,Life,2016,2000,18900,13743,Professionnel,0524449110,False
16,Zen,2016,2500,14700,14219,Professionnel,0516066011,False
