,Modele,Annee,Km,Prix,Cote,Type,Tel,GoodDeal
0,Intens,2016,2500,23512,NA,Professionnel,0183799570,False
1,Intens,2013,30000,9600,10640,Particulier,NA,False
2,Zen,2016,100,16890,14219,Professionnel,0183799570,False
3,Zen,2014,17791,10190,11595,Professionnel,0176455461,True
4,Intens,2016,1000,17100,14575,Professionnel,0805805802,False
5,Life,2016,2000,21490,13743,Professionnel,0805805802,False
6,Intens,2016,1000,17100,14575,Professionnel,0805805802,False
7,Life,2016,2000,21490,13743,Professionnel,0805805802,False
8,Life,2016,10,13490,13743,Professionnel,0182714652,True
9,Intens,2016,3000,15490,14575,Professionnel,0805805802,False
10,Life,2016,1700,12800,NA,Particulier,NA,False
11,Zen,2013,27689,8990,NA,Professionnel,0174704406,False
12,Intens,2013,53800,9790,NA,Professionnel,0139754280,False
13,Life,2015,24600,10980,12266,Professionnel,0160625056,True
14,Life,2015,11480,11720,12432,Professionnel,0175448151,True
15,Zen,2016,6000,16500,NA,Professionnel,0184040214,False
16,Life,2015,22000,10800,12432,Particulier,NA,True
17,Zen,2016,1,13990,NA,Professionnel,0160625056,False
18,Intens,2013,25000,8950,10692,Particulier,NA,False
19,Zen,2016,100,20000,NA,Professionnel,0184030570,False
20,Intens,2015,2350,20900,12921,Professionnel,0175448643,False
21,Life,2016,100,19700,13743,Professionnel,0184030570,False
22,Intens,2015,17979,12500,13081,Professionnel,0175448151,True
23,Zen,2013,21500,9990,NA,Professionnel,0171025422,False
24,Life,2016,14,12990,13743,Professionnel,NA,True
25,Zen,2013,24973,10490,NA,Professionnel,0170176498,False
26,Zen,2016,100,14800,NA,Professionnel,0184030570,False
27,Life,2015,13195,10990,12432,Professionnel,0174704406,True
28,Zen,2013,62434,8400,10458,Professionnel,NA,False
29,Intens,2013,7700,11490,10640,Professionnel,0623550699,False
30,Life,2014,7297,9970,11212,Professionnel,0178769520,False
31,Life,2016,10,12820,NA,Professionnel,0143240835,False
32,Intens,2014,17885,11900,11798,Professionnel,0175448151,False
33,Intens,2016,10,14464,NA,Professionnel,0143240835,False
34,Intens,2013,15400,10950,NA,Particulier,NA,False
35,Intens,2016,200,14464,NA,Professionnel,0143240835,False
36,Life,2016,200,13290,13743,Professionnel,0148763773,True
37,Zen,2016,100,15600,NA,Professionnel,0184030570,False
38,Zen,2015,7975,12990,12921,Professionnel,0174730257,False
39,Zen,2014,37240,9480,NA,Professionnel,0139754280,False
40,Zen,2015,8214,12590,12856,Professionnel,0174704406,True
41,Intens,2014,100,20000,11798,Professionnel,0184030570,False
42,Intens,2016,1490,16990,14575,Professionnel,0164895656,False
43,Life,2015,11494,10990,12498,Professionnel,0174704406,True
44,Life,2015,7569,11290,12395,Professionnel,0175448159,True
