DONNEES - Effectifs des m?decins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANNEE - 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPECIALITE - Ensemble des sp?cialit?s d'exercice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEXE - Ensemble tous sexes confondus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGE - Ensemble tous ?ges confondus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECT.ACTIVITE,ENSEMBLE,h?pital public,?tablissement priv? ESPIC,?tablissement priv? lucratif,centre de sant?,cabinet individuel,"cabinet de groupe, soci?t?",pr?vention,autres secteurs,activit?s exerc?es par des rempla?ants,?tablissement public de sant?,h?pitaux militaires,?tablissement priv? ESPIC,?tablissement priv? lucratif,centres de sant?,autres structures du SSA,cabinet individuel,cabinet de groupe,exercice en soci?t?,transport sanitaire,entreprise d'int?rim,?tablissement de soins et pr?vention,pr?vention et soins en entreprise,?tablissement scolaire & universitaire,P.M.I Planification familiale,?tablissement pour handicap?s,?tablissement personnes ?g?es,?tablissement aide ? la famille,?tablissement d'enseignement,?tablissement protection enfance,?tablissement h?bergement r?adaptation,recherche,assurances priv?es,organisme de S?curit? Sociale,laboratoire de biologie m?dicale (LBM),minist?re & services d?concentr?s,collectivit?s territoriales,association et organisme humanitaire,LABM,autre ?tablissement sanitaire,r?partition distribution m?dicament DM,Fab. Exploit. Import. M?d. DM,pharmacie d'officine,centre de dialyse,para-pharmacie,centre anti-cancer,centre de transfusion sanguine,pharmacie mini?re,pharmacie mutualiste,secteur priv? PH temps plein,autre secteur d'activit?,appareillage m?dical,secteur non d?fini,recrutement et gestion RH,Com/Marketing/Consulting/Media,r?partition distribution m?dicament DM et fabrication exploitation Im,incendies et secours,entreprises industrielles et tertiaires hors indus,entit? d'un TOM,structures d'urgence hors ?tablissement d'hospitalisation,r?seau de sant?,"maison de sant?, p?le de sant?",si?ge social d'ES r?pertori?s dans FINESS,"centre de d?pistage (cancers, SIDA etc.)",activit?s exerc?es par les rempla?ants
REGION ACTIVITE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCE ENTIERE,223571,62366,5521,7042,3615,44822,52860,10148,24099,13098,62278,88,5521,7042,3615,145,44822,41790,11070,2,2,432,5380,1538,2798,2294,2711,263,53,122,548,334,173,2338,1190,1250,1333,91,178,1199,10,598,0,154,2,1817,917,0,0,3305,108,16,1091,1,32,27,258,1398,1,5,87,1,0,45,13098
FRANCE M?tropolitaine,218010,60377,5473,6923,3598,43618,51719,9913,23723,12666,60290,87,5473,6923,3598,143,43618,40992,10727,2,2,416,5311,1483,2703,2254,2683,260,52,121,541,332,173,2293,1170,1213,1297,90,171,1183,10,598,0,139,2,1817,890,0,0,3258,108,16,1061,1,32,27,254,1397,0,5,84,1,0,43,12666
Alsace-Champagne-Ardenne-Lorraine,17753,5077,589,395,141,3652,4029,825,2046,999,5059,18,589,395,141,3,3652,3087,942,0,1,56,453,132,184,215,234,10,1,6,55,21,4,215,95,71,57,11,11,79,0,19,0,19,0,146,88,0,0,434,5,0,102,0,1,0,15,120,0,4,3,0,0,1,999
Aquitaine-Limousin-Poitou-Charentes,19717,5272,298,745,71,3918,5211,844,2179,1179,5267,5,298,745,71,0,3918,4097,1114,0,0,49,446,136,213,242,302,25,5,17,49,21,19,246,126,100,116,7,15,94,1,9,0,13,0,86,99,0,0,377,8,0,62,0,0,0,23,103,0,0,8,0,0,6,1179
Auvergne-Rh?ne-Alpes,26472,7428,996,801,232,5100,6287,1355,2759,1514,7416,12,996,801,232,6,5100,4783,1504,0,1,49,775,180,351,235,333,35,9,15,57,31,20,252,113,129,155,9,26,134,2,28,0,28,0,207,118,0,0,443,12,8,132,0,0,6,37,158,0,0,15,0,0,5,1514
Bourgogne-Franche-Comt?,8346,2672,79,286,62,1633,1864,398,970,382,2672,0,79,286,62,1,1633,1482,382,0,0,24,209,82,83,102,153,6,0,10,23,3,1,100,35,41,63,8,1,59,0,5,0,4,0,57,41,0,0,158,1,0,25,0,0,0,10,57,0,1,3,0,0,2,382
Bretagne,10418,3053,371,367,37,1539,2839,462,1070,680,3051,2,371,367,37,1,1539,2311,528,0,0,16,258,83,105,104,168,18,0,4,16,3,2,142,38,66,72,1,11,38,0,2,0,10,0,60,67,0,0,156,2,0,19,0,0,5,11,46,0,0,5,0,0,3,680
Centre-Val de Loire,6891,2197,42,181,27,1357,1783,319,693,292,2197,0,42,181,27,0,1357,1372,411,0,0,17,205,39,58,59,116,4,0,3,16,5,6,94,45,26,37,0,8,13,0,1,0,10,0,0,46,0,0,126,2,0,18,0,0,0,8,40,0,0,6,0,0,4,292
Corse,981,245,0,48,0,346,177,41,74,50,245,0,0,48,0,0,346,151,26,0,0,1,17,7,16,5,7,2,1,0,1,0,0,13,11,9,5,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,2,0,0,0,1,3,0,0,0,0,0,0,50
