DONNEES - Effectifs des m?decins,,,,,
ANNEE - 2016,,,,,
SEXE - Ensemble tous sexes confondus,,,,,
AGE - Ensemble tous ?ges confondus,,,,,
,,,,,
MODE EXERCICE,Ensemble des modes d'exercice,Lib?raux exclusifs,Mixtes,Salari?s hospitaliers,Autres salari?s
SPECIALITE,,,,,
Ensemble des sp?cialit?s d'exercice,223571,105872,24134,66596,26969
Sp?cialistes,121272,44570,16933,48345,11424
Anatomie et cytologie pathologiques,1592,609,133,796,54
Anesth?sie-r?animation,11278,3885,601,6513,279
Biologie m?dicale,2975,1134,45,1237,559
Cardiologie et maladies vasculaires,6996,3231,1698,1914,153
Chirurgie g?n?rale,3610,991,513,2006,100
Chirurgie maxillo-faciale et stomatologie,1165,756,228,134,47
Chirurgie orthop?dique et traumatologie,3241,1690,728,784,39
Chirurgie infantile,312,43,75,185,9
Chirurgie plastique reconstructrice et esth?tique,883,573,214,92,4
Chirurgie thoracique et cardio-vasculaire,450,124,124,195,7
Chirurgie urologique,1228,626,295,288,19
Chirurgie vasculaire,542,250,125,158,9
Chirurgie visc?rale et digestive,1007,376,191,427,13
Dermatologie et v?n?r?ologie,4003,2580,771,508,144
Endocrinologie et m?tabolisme,1865,548,292,945,80
G?n?tique m?dicale,248,7,4,218,19
G?riatrie,1756,62,47,1332,315
Gyn?cologie m?dicale,3146,2036,586,344,180
Gyn?cologie-obst?trique,4724,1745,1077,1817,85
H?matologie,616,23,24,543,26
Gastro-ent?rologie et h?patologie,3692,1419,750,1420,103
M?decine du travail,5524,55,14,550,4905
M?decine interne,2437,248,153,1902,134
M?decine nucl?aire,712,216,183,296,17
M?decine physique et r?adaptation,2114,334,142,1379,259
N?phrologie,1672,305,187,997,183
Neurochirurgie,544,124,84,325,11
Neurologie,2470,492,385,1528,65
ORL et chirurgie cervico-faciale,3076,1461,863,651,101
Oncologie option m?dicale,968,163,53,722,30
Ophtalmologie,5927,3904,1202,592,229
P?diatrie,8007,2212,922,4091,782
Pneumologie,3009,799,466,1626,118
Psychiatrie,15171,4814,1733,7483,1141
Radiodiagnostic et imagerie m?dicale,8736,5083,1366,2091,196
Radioth?rapie,858,318,122,399,19
R?animation m?dicale,361,27,8,322,4
Recherche m?dicale,12,0,0,7,5
Rhumatologie,2624,1282,523,701,118
Sant? publique et m?decine sociale,1721,25,6,827,863
G?n?ralistes,102299,61302,7201,18251,15545
M?decine g?n?rale,102299,61302,7201,18251,15545
