"SECT.ACTIVITE - ENSEMBLE"
"DONNEES - Effectifs des médecins"
"ANNEE - 2016"
"SEXE - Ensemble tous sexes confondus"
"AGE - Ensemble tous âges confondus"

SPECIALITE,"Anatomie et cytologie pathologiques","Anesthésie-réanimation","Biologie médicale","Cardiologie et maladies vasculaires","Chirurgie générale","Chirurgie maxillo-faciale et stomatologie","Chirurgie orthopédique et traumatologie","Chirurgie infantile","Chirurgie plastique reconstructrice et esthétique","Chirurgie thoracique et cardio-vasculaire","Chirurgie urologique","Chirurgie vasculaire","Chirurgie viscérale et digestive","Dermatologie et vénéréologie","Endocrinologie et métabolisme","Génétique médicale","Gériatrie","Gynécologie médicale","Gynécologie-obstétrique","Hématologie","Gastro-entérologie et hépatologie","Médecine du travail","Médecine interne","Médecine nucléaire","Médecine physique et réadaptation","Néphrologie","Neurochirurgie","Neurologie","ORL et chirurgie cervico-faciale","Oncologie option médicale","Ophtalmologie","Pédiatrie","Pneumologie","Psychiatrie","Radiodiagnostic et imagerie médicale","Radiothérapie","Réanimation médicale","Recherche médicale","Rhumatologie","Santé publique et médecine sociale","Médecine générale"
"REGION ACTIVITE",
"Alsace-Champagne-Ardenne-Lorraine",110,932,227,582,332,44,269,24,65,37,101,45,82,292,119,22,161,197,435,28,281,486,230,60,215,133,47,181,225,62,418,607,236,982,701,72,40,1,190,132,8350
"Aquitaine-Limousin-Poitou-Charentes",144,967,262,637,303,92,298,19,55,44,106,51,90,347,146,18,126,307,333,53,312,447,196,60,174,118,38,212,249,72,498,506,218,1284,741,80,22,0,193,134,9765
"Auvergne-Rhône-Alpes",183,1427,306,748,442,142,416,36,96,45,149,75,97,420,220,33,205,326,560,79,399,724,277,71,239,195,81,295,319,113,678,901,343,1802,1008,106,22,3,348,215,12328
"Bourgogne-Franche-Comté",62,407,102,229,130,33,146,12,27,17,53,20,58,133,56,8,70,77,158,23,144,196,94,41,68,63,22,102,100,46,180,240,125,488,297,32,13,0,88,72,4114
"Bretagne",63,503,130,307,132,20,150,17,25,23,60,27,62,163,66,8,86,110,201,33,193,266,90,32,141,69,20,107,127,39,267,314,153,624,356,41,8,0,127,72,5186
"Centre-Val de Loire",47,301,93,221,117,32,104,8,20,11,47,20,32,114,51,9,68,80,157,26,113,175,85,25,50,56,18,59,94,26,162,243,86,410,280,41,10,0,91,42,3267
"Corse",4,42,13,34,13,6,15,2,4,0,9,3,6,14,7,0,3,12,13,0,19,19,7,4,11,6,4,7,14,4,28,28,13,57,40,3,0,0,8,2,507
"Guadeloupe",8,37,20,35,13,2,14,3,3,1,10,3,7,12,9,2,6,16,36,1,16,14,11,3,8,14,5,13,16,2,33,42,8,55,35,3,1,0,9,9,534
"Guyane",3,26,8,8,10,0,5,0,2,0,3,0,2,11,0,0,1,5,30,0,5,6,8,0,2,3,1,0,3,1,6,26,2,14,15,0,2,0,0,14,361
"Ile-de-France",405,2332,771,1657,814,320,618,68,275,118,208,79,179,1093,479,73,480,1008,1043,176,863,1241,708,162,352,376,113,611,791,297,1511,2292,654,4415,2066,183,118,6,658,490,18123
"La Réunion",11,160,32,78,24,11,24,8,7,8,15,7,12,30,20,3,8,18,88,5,34,38,25,4,24,36,7,20,34,2,54,147,31,134,89,8,3,0,11,29,1386
"Languedoc-Roussillon-Midi-Pyrénées",154,1086,255,621,282,122,318,24,75,42,114,46,105,367,228,16,142,251,364,48,324,454,194,58,257,163,55,232,295,66,531,668,291,1287,804,74,33,0,278,161,9737
"Martinique",5,61,12,20,17,3,17,4,6,2,6,2,2,18,8,1,5,12,23,1,10,15,12,2,15,12,2,8,14,3,35,44,10,64,36,6,1,0,9,9,499
"Mayotte",0,11,1,2,5,0,2,0,1,0,0,0,0,0,0,0,0,2,7,0,1,1,5,0,0,1,0,0,1,0,1,14,3,7,4,0,0,0,0,0,119
"Nord-Pas-de-Calais-Picardie",94,844,198,532,337,84,252,24,39,32,114,41,70,239,150,15,153,243,398,51,295,436,137,67,187,125,43,225,202,56,418,610,289,955,730,60,31,0,170,92,8955
"Normandie",63,457,120,264,182,63,127,13,19,18,57,28,52,148,63,7,85,112,202,22,173,225,86,27,72,86,28,104,151,40,230,334,148,534,371,44,9,0,114,60,4753
"Pays de la Loire",73,538,129,271,149,64,159,14,35,20,61,32,61,163,70,12,69,108,217,32,175,316,103,36,93,80,21,101,128,52,274,293,123,626,343,40,24,0,105,54,5320
"Provence-Alpes-Côte d’Azur",163,1147,296,750,308,127,307,36,127,32,115,62,90,438,173,21,88,262,459,38,335,465,169,60,206,136,39,193,313,87,603,698,276,1432,820,65,24,2,225,134,8995
