product_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13
Gouda vieux,Contient du lait (avec lactose),,,,,,,,,,,,,
Thé de Noël aromatisé orange-cannelle,fruits à coque,sésame,moutarde,gluten,lait,oeuf,soja,sulfites,,,,,,
Barres Goût Miel Amandes,Noisette,,,,,,,,,,,,,
Swiss Dark Chocolate,Nuts,Milk,Soya,,,,,,,,,,,
Almonds,fruits à coque,,,,,,,,,,,,,
4 stonebread garlic breads,lait de vache,lait,blé,orge,gluten,,,,,,,,,
Cheesy Pizza,Milk,Wheat,Gluten,,,,,,,,,,,
FLAPJACK Mini Bites,lait,soja,avoine,gluten,Fruits à coque,,,,,,,,,
Honey Roasted Cashews & Peanuts,fruits à coque,,,,,,,,,,,,,
Unsalted Butter,Milk,,,,,,,,,,,,,
Melton Mowbray Pork Pie,Gluten,,,,,,,,,,,,,
Double chocolate muffin mix,sésame,fruits à coques,,,,,,,,,,,,
fairtrade brazil nut cookies,Fruits à coque,Lait,Blé,Gluten,,,,,,,,,,
Full on flavour - Four cheese & red onion,Gluten,cèleri,,,,,,,,,,,,
Roast potato seasoning,Wheat,Gluten,Sesame,,,,,,,,,,,
croustillant goût fromage,arachides,céleri,oeufs,crustacés,,,,,,,,,,
JAVA CURRY SAUCE MIX,Soja,Blé,Lait,Cacahuètes,,,,,,,,,,
"Ham, Mushroom & Mascarpone - Pasta Melt",lait,blé,gluten,,,,,,,,,,,
traditional British porridge oat,Avoine,Gluten,Fruits à coque,Sésame,,,,,,,,,,
Super wholefood salad with a creamy lemon and mint dressing,Gluten,Milk,,,,,,,,,,,,
4 cholesterol lowering fat free yogurts,nuts,,,,,,,,,,,,,
Dark Chocolate with italian orange,Soya,Nuts,Milk,,,,,,,,,,,
Turrón blando,Otros frutos secos,,,,,,,,,,,,,
Green & Black's Organic Milk Chocolate 37% Cocoa,nuts,,,,,,,,,,,,,
Madiran 2010,Sulfites,,,,,,,,,,,,,
"Chocolate Chunk, Milk Chocolate Macadamia",Lait,fruits à coque,soja,oeuf,gluten (blé),,,,,,,,,
Chocolate CHUNK white chocolate macadamia,lait,oeufs,soja,fruits à coque,gluten (blé),,,,,,,,,
Pistachios,autres noix,,,,,,,,,,,,,
Pistaches grillées sans sel Wonderful,autres fruits à coque,,,,,,,,,,,,,
Reflets de France - Confiture au lait de Normandie,Fruits à coque,,,,,,,,,,,,,
Côte du Rhône Village,sulfites,,,,,,,,,,,,,
Tartare Sauce,Milk,egg,Mustard,Barley Gluten,Sulphites,,,,,,,,,
Sweet Chilli Dipping Sauce,peanuts,nuts,sesame,,,,,,,,,,,
Silver Balls,wheat,gluten,peanuts,nuts,milk,,,,,,,,,
