song,number_of_views,number_of_likes,number_of_dislikes,indicator
Beyoncé - Halo - YouTube,434580309,1478805,47137,3.29436923476
Beyoncé - Crazy In Love ft. JAY Z - YouTube,260215495,771757,29831,2.85119838847
Beyoncé - Sorry - YouTube,140262215,1228824,101331,8.03846566946
Beyoncé - Hold Up - YouTube,36919647,610202,40325,15.435602621
Beyoncé - Single Ladies (Put a Ring on It) - YouTube,520697992,1278904,72786,2.31634847557
Beyoncé - 7/11 - YouTube,375650626,1811615,210766,4.2615368888
Beyoncé - Listen (GRAMMYs on CBS) - YouTube,19984313,63297,2075,3.06350285847
Beyoncé - If I Were A Boy - YouTube,256017217,762069,24387,2.88137652867
Beyoncé - Run the World (Girls) - YouTube,330657213,1213871,156057,3.1991257363
Beyoncé - Drunk in Love (Explicit) ft. JAY Z - YouTube,389927236,1439038,135553,3.34289292887
Beyoncé - If I Were A Boy - YouTube,256017217,762069,24387,2.88137652867
Beyoncé - Pretty Hurts - YouTube,156090520,1028944,34368,6.37178990755
Beyoncé - Deja Vu ft. Jay-Z - YouTube,55921767,128027,4597,2.20719062758
Beyoncé - Love On Top (Live at Roseland) - Video - YouTube,17000989,91547,2213,5.25463548032
Beyoncé - Crazy In Love ft. JAY Z - YouTube,260215495,771757,29831,2.85119838847
Intro (Live) - YouTube,126061,79,9,0.555286726267
Move (Highlights Version) - YouTube,171450,389,10,2.21055701371
Single Ladies (Put a Ring on It) - YouTube,7833,22,4,2.29797012639
Halo (Olli Collins & Fred Portelli Remix) - YouTube,1770,6,3,1.69491525424
Beyoncé - Crazy In Love ft. JAY Z - YouTube,260215495,771757,29831,2.85119838847
