song,number_of_views,number_of_likes,number_of_dislikes,indicator
Rihanna - Work (Explicit) ft. Drake - YouTube,752798084,4393497,432660,5.26148655819
Rihanna - Diamonds - YouTube,885118620,2951091,172086,3.13969781813
Rihanna - Needed Me - YouTube,108379006,1301687,79094,11.2807179649
"💕 Rihanna ~ ""Love On The Brain"" (Lyrics) ❤ - YouTube",4904484,28402,828,5.62220205021
Rihanna - Stay ft. Mikky Ekko - YouTube,553485661,1955312,105312,3.34245334677
Rihanna - We Found Love ft. Calvin Harris - YouTube,639868604,1787774,110349,2.62151477587
Rihanna - Kiss It Better (Explicit) - YouTube,103995967,809161,44675,7.35111199072
Rihanna - What's My Name? ft. Drake - YouTube,580172690,1316350,72704,2.14357900921
Rihanna - Umbrella (Orange Version) ft. JAY-Z - YouTube,273682306,783931,37669,2.72674551346
Rihanna - Only Girl (In The World) - YouTube,531594257,1236673,57395,2.21837987238
Phresh Out The Runway (Edited) - YouTube,4792,36,6,6.26043405676
Rihanna - Umbrella (Orange Version) ft. JAY-Z - YouTube,273682306,783931,37669,2.72674551346
Rihanna - S&M - YouTube,81166282,510064,49697,5.67189957032
Consideration - YouTube,11137379,55521,1956,4.80947986057
Rihanna - You Da One - YouTube,180734895,708418,44183,3.67518956425
Rihanna - SOS - YouTube,84539790,148499,5420,1.69244565192
Mad House - YouTube,214326,325,13,1.45572632345
Rihanna - Pon de Replay (Internet Version) - YouTube,72328868,222793,6584,2.9892490506
Rihanna - Umbrella (Orange Version) ft. JAY-Z - YouTube,273682306,783931,37669,2.72674551346
Rihanna - Don't Stop The Music - YouTube,309630159,519791,19528,1.61567917549
