PC,old_price,new_price,discount
DELL LATITUDE E5420 CORE I5 2520M 8GO 250GO,349.99,299.0,14.5689876854
DELL- Latitude 3550/Core i5,744.0,744.0,0.0
Ordinateur portable Dell Latitude E6400,249.0,159.0,36.1445783133
Ordinateur portable Dell Latitude E6220 I7 Disque ,547.5,365.0,33.3333333333
NETBOOK ULTRABOOK DELL LATITUDE E6220 4GO 250GO 12,199.0,199.0,0.0
"Dell E6420 - Core i5 - 2,5GHZ - 8Go - 240Go SSD",310.0,310.0,0.0
DELL LATITUDE E5420 CORE I5 2520M 8GO 120SSD,460.0,299.0,35.0
PC PORTABLE LENOVO THINKPAD E330 CORE I5 8GO RAM 3,399.0,269.0,32.5814536341
HP EliteBook Folio 9470m - Ultrabook - Core i5 34…,290.0,290.0,0.0
HP EliteBook 8470p - Core i5 3320M / 2.6 GHz - Wi…,250.0,250.0,0.0
"Dell Latitude E6410 - Core i5 2,4GHz - 8Go - 750Go",449.0,283.99,36.7505567929
Dell Latitude E6420 Core i5,268.99,268.99,0.0
HP EliteBook Folio 9470m,290.0,290.0,0.0
Dell Latitude E5430 -Core i5-3320M -8Go -240Go SSD,395.0,395.0,0.0
HP ELITEBOOK 8440P INTEL CORE I5,209.0,209.0,0.0
Dell Latitude E5420 Intel Core i5 4Go 250Go 14....,299.0,259.0,13.3779264214
Dell Latitude E6420 - Core i7 - 8Go - 240Go SSD,599.0,499.0,16.694490818
"HP Probook 6470b Ordinateur portable 14"" Intel Cor",269.99,269.99,0.0
"HP PC Portable 15-ay017nf- Noir - 15,6""- 4Go - Win",399.0,299.99,24.8145363409
"LENOVO PC Portable - Ideapad 110-15ACL - 15,6'' HD",369.99,269.99,27.027757507
"Dell Latitude E6410 - Intel Core i5 @ 2,40Ghz -...",200.0,200.0,0.0
ORDINATEUR PORTABLE HP ELITEBOOK 8570W INTEL CORE ,1599.0,599.0,62.5390869293
HP EliteBook 8470p - Intel Core i5 3230M,270.0,270.0,0.0
HP EliteBook 8460p - Core i5 2520M / 2.5 GHz - Wi…,299.0,210.0,29.7658862876
"ASUS PC Portable X541UA-XX264T blanc 15.6"" - 4Go d",649.0,479.99,26.0416024653
Dell Latitude E6410 - Core i5 - 8Go - 240Go SSD,399.0,299.0,25.0626566416
NETBOOK ULTRABOOK DELL LATITUDE E6220 4GO 250GO 12,299.0,199.0,33.4448160535
Dell Latitude D505 14.1 - Ordinateur Portable PC,119.0,119.0,0.0
Dell Latitude D630 - Ordinateur Portable PC,149.0,149.0,0.0
Dell Latitude D610 - Ordinateur Portable PC,168.0,168.0,0.0
Dell Latitude E5410 - Ordinateur Portable PC,275.0,175.0,36.3636363636
PC Portable Dell  - Windows 7 - i5 4GB 160GB - 14.,229.0,229.0,0.0
ORDINATEUR PORTABLE NETBOOK DELL  2120 2GO RAM 250,279.0,149.0,46.5949820789
PC portable DELL Vostro 3559-Y1KVM,545.54,545.54,0.0
Ordinateur portable Dell Latitude E6220 I7 Disque ,532.5,355.0,33.3333333333
Ordinateur portable Dell Latitude E6220 Core I7 - ,487.5,325.0,33.3333333333
