specialite,zone_inscription,effectifs
Ensemble des specialites d'exercice,Ain,1203
Specialistes,Ain,509
Anatomie et cytologie pathologiques,Ain,3
Anesthesie-reanimation,Ain,33
Biologie medicale,Ain,9
Cardiologie et maladies vasculaires,Ain,23
Chirurgie generale,Ain,10
Chirurgie maxillo-faciale et stomatologie,Ain,4
Chirurgie orthopedique et traumatologie,Ain,13
Chirurgie infantile,Ain,0
Chirurgie plastique reconstructrice et esthetique,Ain,1
Chirurgie thoracique et cardio-vasculaire,Ain,0
Chirurgie urologique,Ain,5
Chirurgie vasculaire,Ain,4
Chirurgie viscerale et digestive,Ain,3
Dermatologie et venereologie,Ain,15
Endocrinologie et metabolisme,Ain,7
Genetique medicale,Ain,0
Geriatrie,Ain,13
Gynecologie medicale,Ain,17
Gynecologie-obstetrique,Ain,15
Hematologie,Ain,2
Gastro-enterologie et hepatologie,Ain,13
Medecine du travail,Ain,51
Medecine interne,Ain,8
Medecine nucleaire,Ain,0
Medecine physique et readaptation,Ain,17
Nephrologie,Ain,6
Neuro-chirurgie,Ain,0
Neurologie,Ain,10
O.R.L et chirurgie cervico faciale,Ain,15
Oncologie option medicale,Ain,2
Ophtalmologie,Ain,29
Pediatrie,Ain,32
Pneumologie,Ain,13
Psychiatrie,Ain,69
Radio-diagnostic et imagerie medicale,Ain,45
Radio-therapie,Ain,3
Reanimation medicale,Ain,1
Recherche medicale,Ain,0
Rhumatologie,Ain,13
Sante publique et medecine sociale,Ain,5
Generalistes,Ain,694
Medecine generale,Ain,694
Ensemble des specialites d'exercice,Ain,1198
Specialistes,Ain,516
Anatomie et cytologie pathologiques,Ain,3
Anesthesie-reanimation,Ain,33
Biologie medicale,Ain,8
Cardiologie et maladies vasculaires,Ain,22
Chirurgie generale,Ain,9
Chirurgie maxillo-faciale et stomatologie,Ain,4
Chirurgie orthopedique et traumatologie,Ain,12
Chirurgie infantile,Ain,0
Chirurgie plastique reconstructrice et esthetique,Ain,1
Chirurgie thoracique et cardio-vasculaire,Ain,0
Chirurgie urologique,Ain,3
Chirurgie vasculaire,Ain,3
Chirurgie viscerale et digestive,Ain,3
Dermatologie et venereologie,Ain,16
Endocrinologie et metabolisme,Ain,7
Genetique medicale,Ain,0
Geriatrie,Ain,9
Gynecologie medicale,Ain,18
Gynecologie-obstetrique,Ain,15
Hematologie,Ain,2
Gastro-enterologie et hepatologie,Ain,16
Medecine du travail,Ain,54
Medecine interne,Ain,8
Medecine nucleaire,Ain,0
Medecine physique et readaptation,Ain,17
Nephrologie,Ain,6
Neuro-chirurgie,Ain,0
Neurologie,Ain,10
O.R.L et chirurgie cervico faciale,Ain,19
Oncologie option medicale,Ain,2
Ophtalmologie,Ain,30
Pediatrie,Ain,33
Pneumologie,Ain,13
Psychiatrie,Ain,76
Radio-diagnostic et imagerie medicale,Ain,42
Radio-therapie,Ain,3
Reanimation medicale,Ain,1
Recherche medicale,Ain,0
Rhumatologie,Ain,13
Sante publique et medecine sociale,Ain,5
Generalistes,Ain,682
Medecine generale,Ain,682
Ensemble des specialites d'exercice,Aisne,1235
Specialistes,Aisne,609
Anatomie et cytologie pathologiques,Aisne,4
Anesthesie-reanimation,Aisne,39
Biologie medicale,Aisne,10
Cardiologie et maladies vasculaires,Aisne,35
Chirurgie generale,Aisne,18
Chirurgie maxillo-faciale et stomatologie,Aisne,4
Chirurgie orthopedique et traumatologie,Aisne,25
Chirurgie infantile,Aisne,0
Chirurgie plastique reconstructrice et esthetique,Aisne,1
Chirurgie thoracique et cardio-vasculaire,Aisne,0
Chirurgie urologique,Aisne,6
Chirurgie vasculaire,Aisne,2
Chirurgie viscerale et digestive,Aisne,6
Dermatologie et venereologie,Aisne,16
Endocrinologie et metabolisme,Aisne,10
Genetique medicale,Aisne,0
Geriatrie,Aisne,17
Gynecologie medicale,Aisne,16
Gynecologie-obstetrique,Aisne,33
Hematologie,Aisne,2
Gastro-enterologie et hepatologie,Aisne,25
Medecine du travail,Aisne,31
Medecine interne,Aisne,18
Medecine nucleaire,Aisne,3
Medecine physique et readaptation,Aisne,9
Nephrologie,Aisne,10
Neuro-chirurgie,Aisne,0
Neurologie,Aisne,11
O.R.L et chirurgie cervico faciale,Aisne,16
Oncologie option medicale,Aisne,2
Ophtalmologie,Aisne,30
Pediatrie,Aisne,49
Pneumologie,Aisne,23
Psychiatrie,Aisne,66
Radio-diagnostic et imagerie medicale,Aisne,42
Radio-therapie,Aisne,5
Reanimation medicale,Aisne,2
Recherche medicale,Aisne,0
Rhumatologie,Aisne,15
Sante publique et medecine sociale,Aisne,8
Generalistes,Aisne,626
Medecine generale,Aisne,626
Ensemble des specialites d'exercice,Aisne,1245
Specialistes,Aisne,609
Anatomie et cytologie pathologiques,Aisne,4
Anesthesie-reanimation,Aisne,39
Biologie medicale,Aisne,13
Cardiologie et maladies vasculaires,Aisne,34
Chirurgie generale,Aisne,21
