SPECIALISTES,DEPARTEMENT,DEPASSEMENTS (euros)
Anesthesie-reanimation chirurgicale,Ain,1879396.0
Anesthesie-reanimation chirurgicale,Aisne,191421.0
Anesthesie-reanimation chirurgicale,Allier,416466.0
Anesthesie-reanimation chirurgicale,Alpes-Maritimes,9266410.0
Anesthesie-reanimation chirurgicale,Ardeche,682624.0
Anesthesie-reanimation chirurgicale,Ariege,0.0
Anesthesie-reanimation chirurgicale,Aube,19997.0
Anesthesie-reanimation chirurgicale,Aude,266839.0
Anesthesie-reanimation chirurgicale,Bouches-du-Rhone,1891894.0
Anesthesie-reanimation chirurgicale,Calvados,68933.0
Anesthesie-reanimation chirurgicale,Charente,948419.0
Anesthesie-reanimation chirurgicale,Charente-Maritime,851288.0
Anesthesie-reanimation chirurgicale,Cote-d,1809486.0
Anesthesie-reanimation chirurgicale,Cotes-d,91088.0
Anesthesie-reanimation chirurgicale,Dordogne,148281.0
Anesthesie-reanimation chirurgicale,Doubs,27099.0
Anesthesie-reanimation chirurgicale,Drome,776714.0
Anesthesie-reanimation chirurgicale,Eure,587645.0
Anesthesie-reanimation chirurgicale,Finistere,101395.0
Anesthesie-reanimation chirurgicale,Gard,1581159.0
Anesthesie-reanimation chirurgicale,Haute-Garonne,316719.0
Anesthesie-reanimation chirurgicale,Gironde,11861246.0
Anesthesie-reanimation chirurgicale,Herault,3323071.0
Anesthesie-reanimation chirurgicale,Ille-et-Vilaine,111244.0
Anesthesie-reanimation chirurgicale,Indre-et-Loire,786211.0
Anesthesie-reanimation chirurgicale,Isere,4825854.0
Anesthesie-reanimation chirurgicale,Landes,989683.0
Anesthesie-reanimation chirurgicale,Loir-et-Cher,530.0
Anesthesie-reanimation chirurgicale,Loire,1673299.0
Anesthesie-reanimation chirurgicale,Loire-Atlantique,726552.0
Anesthesie-reanimation chirurgicale,Loiret,3723476.0
Anesthesie-reanimation chirurgicale,Lot-et-Garonne,52120.0
Anesthesie-reanimation chirurgicale,Maine-et-Loire,1503041.0
Anesthesie-reanimation chirurgicale,Manche,95059.0
Anesthesie-reanimation chirurgicale,Marne,1814992.0
Anesthesie-reanimation chirurgicale,Meurthe-et-Moselle,1761707.0
Anesthesie-reanimation chirurgicale,Morbihan,83332.0
Anesthesie-reanimation chirurgicale,Moselle,23769.0
Anesthesie-reanimation chirurgicale,Nord,13317199.0
Anesthesie-reanimation chirurgicale,Oise,358211.0
Anesthesie-reanimation chirurgicale,Pas-de-Calais,3344503.0
Anesthesie-reanimation chirurgicale,Puy-de-Dome,18005.0
Anesthesie-reanimation chirurgicale,Pyrenees-Atlantiques,3055783.0
Anesthesie-reanimation chirurgicale,Hautes-Pyrenees,104157.0
Anesthesie-reanimation chirurgicale,Pyrenees-Orientales,556771.0
Anesthesie-reanimation chirurgicale,Bas-Rhin,7967444.0
Anesthesie-reanimation chirurgicale,Haut-Rhin,3592853.0
Anesthesie-reanimation chirurgicale,Rhone,36698222.0
Anesthesie-reanimation chirurgicale,Saone-et-Loire,1189918.0
Anesthesie-reanimation chirurgicale,Sarthe,103254.0
Anesthesie-reanimation chirurgicale,Savoie,1247549.0
Anesthesie-reanimation chirurgicale,Haute-Savoie,3525181.0
Anesthesie-reanimation chirurgicale,Paris ,33629092.0
Anesthesie-reanimation chirurgicale,Seine-Maritime,1683224.0
Anesthesie-reanimation chirurgicale,Seine-et-Marne,2467712.0
Anesthesie-reanimation chirurgicale,Yvelines,5498474.0
Anesthesie-reanimation chirurgicale,Deux-Sevres,320165.0
Anesthesie-reanimation chirurgicale,Somme,1602399.0
Anesthesie-reanimation chirurgicale,Tarn,5009.0
Anesthesie-reanimation chirurgicale,Tarn-et-Garonne,99848.0
Anesthesie-reanimation chirurgicale,Var,1891787.0
Anesthesie-reanimation chirurgicale,Vaucluse,433843.0
Anesthesie-reanimation chirurgicale,Vendee,13468.0
Anesthesie-reanimation chirurgicale,Vienne,781983.0
Anesthesie-reanimation chirurgicale,Haute-Vienne,1250397.0
Anesthesie-reanimation chirurgicale,Vosges,26417.0
Anesthesie-reanimation chirurgicale,Essonne,2766907.0
Anesthesie-reanimation chirurgicale,Hauts-de-Seine,18402919.0
Anesthesie-reanimation chirurgicale,Seine-St-Denis,2680416.0
Anesthesie-reanimation chirurgicale,Val-de-Marne,4174782.0
Anesthesie-reanimation chirurgicale,Val-d,3525611.0
Anesthesie-reanimation chirurgicale,Guadeloupe,39049.0
Anesthesie-reanimation chirurgicale,Martinique,1058034.0
Anesthesie-reanimation chirurgicale,Reunion,91104.0
Anesthesie-reanimation chirurgicale,Mayotte,0.0
Reanimation medicale,Ain,0.0
Reanimation medicale,Aisne,0.0
Reanimation medicale,Allier,0.0
Reanimation medicale,Alpes-Hte-Provence,0.0
Reanimation medicale,Hautes-Alpes,0.0
Reanimation medicale,Alpes-Maritimes,0.0
Reanimation medicale,Ardeche,0.0
Reanimation medicale,Ardennes,0.0
Reanimation medicale,Ariege,0.0
Reanimation medicale,Aube,0.0
Reanimation medicale,Aude,0.0
Reanimation medicale,Aveyron,0.0
Reanimation medicale,Calvados,0.0
Reanimation medicale,Charente,0.0
Reanimation medicale,Charente-Maritime,0.0
Reanimation medicale,Cher,0.0
Reanimation medicale,Correze,0.0
