,Ville,Annee,A1,B1,C1,D1,A2,B2,C2,D2
0,PARIS,2011.0,2546.0,2327.0,1264.0,1268.0,2546.0,2327.0,1264.0,1268.0
0,PARIS,2012.0,2311.0,2135.0,1085.0,1058.0,2311.0,2135.0,1085.0,1058.0
0,PARIS,2013.0,2308.0,2235.0,1157.0,1048.0,2308.0,2235.0,1157.0,1048.0
0,PARIS,2014.0,2365.0,2294.0,1066.0,1048.0,2365.0,2294.0,1066.0,1048.0
0,PARIS,2015.0,2322.0,2354.0,914.0,788.0,2322.0,2354.0,914.0,788.0
0,ANTONY,2011.0,1405.0,1158.0,881.0,956.0,1467.0,1344.0,576.0,584.0
0,ANTONY,2012.0,1342.0,1140.0,889.0,805.0,1491.0,1370.0,618.0,584.0
0,ANTONY,2013.0,1370.0,1150.0,1125.0,1223.0,1510.0,1400.0,575.0,603.0
0,ANTONY,2014.0,1442.0,1236.0,816.0,869.0,1554.0,1461.0,564.0,543.0
0,ANTONY,2015.0,1381.0,1218.0,923.0,785.0,1580.0,1470.0,535.0,515.0
0,ASNIERES-SUR-SEINE,2011.0,1517.0,1373.0,408.0,338.0,2047.0,1866.0,900.0,899.0
0,ASNIERES-SUR-SEINE,2012.0,1531.0,1417.0,335.0,437.0,2043.0,1886.0,898.0,896.0
0,ASNIERES-SUR-SEINE,2013.0,1675.0,1534.0,636.0,655.0,2117.0,1954.0,1102.0,1115.0
0,ASNIERES-SUR-SEINE,2014.0,1485.0,1425.0,405.0,367.0,1804.0,1712.0,655.0,649.0
0,ASNIERES-SUR-SEINE,2015.0,2144.0,2071.0,1716.0,1716.0,1883.0,1717.0,895.0,970.0
0,BAGNEUX,2011.0,1564.0,1449.0,916.0,982.0,1431.0,1290.0,504.0,507.0
0,BAGNEUX,2012.0,1712.0,1630.0,840.0,748.0,1437.0,1307.0,556.0,538.0
0,BAGNEUX,2013.0,1604.0,1505.0,900.0,989.0,1471.0,1350.0,516.0,548.0
0,BAGNEUX,2014.0,1684.0,1612.0,744.0,960.0,1469.0,1369.0,514.0,492.0
0,BAGNEUX,2015.0,1677.0,1561.0,349.0,419.0,1481.0,1358.0,492.0,460.0
0,BOIS-COLOMBES,2011.0,1719.0,1589.0,594.0,467.0,1684.0,1501.0,563.0,552.0
0,BOIS-COLOMBES,2012.0,1738.0,1597.0,559.0,858.0,1743.0,1581.0,562.0,568.0
0,BOIS-COLOMBES,2013.0,1813.0,1768.0,565.0,589.0,1754.0,1590.0,639.0,645.0
0,BOIS-COLOMBES,2014.0,1669.0,1634.0,546.0,579.0,1703.0,1575.0,661.0,668.0
0,BOIS-COLOMBES,2015.0,1937.0,1861.0,929.0,868.0,1782.0,1617.0,611.0,566.0
0,BOULOGNE-BILLANCOURT,2011.0,1607.0,1505.0,724.0,758.0,1383.0,1258.0,507.0,526.0
0,BOULOGNE-BILLANCOURT,2012.0,1855.0,1729.0,733.0,543.0,1419.0,1296.0,583.0,583.0
0,BOULOGNE-BILLANCOURT,2013.0,1577.0,1507.0,286.0,536.0,1434.0,1330.0,595.0,600.0
0,BOULOGNE-BILLANCOURT,2014.0,1561.0,1502.0,598.0,619.0,1427.0,1343.0,565.0,541.0
0,BOULOGNE-BILLANCOURT,2015.0,1556.0,1497.0,778.0,655.0,1460.0,1351.0,522.0,513.0
0,BOURG-LA-REINE,2011.0,1166.0,1070.0,684.0,687.0,1431.0,1290.0,504.0,507.0
0,BOURG-LA-REINE,2012.0,1175.0,1097.0,695.0,593.0,1437.0,1307.0,556.0,538.0
0,BOURG-LA-REINE,2013.0,1204.0,1170.0,504.0,589.0,1471.0,1350.0,516.0,548.0
0,BOURG-LA-REINE,2014.0,1332.0,1294.0,625.0,633.0,1469.0,1369.0,514.0,492.0
0,BOURG-LA-REINE,2015.0,1405.0,1274.0,610.0,639.0,1481.0,1358.0,492.0,460.0
0,CHATENAY-MALABRY,2011.0,1340.0,1369.0,564.0,560.0,1431.0,1290.0,504.0,507.0
0,CHATENAY-MALABRY,2012.0,1295.0,1275.0,797.0,506.0,1437.0,1307.0,556.0,538.0
0,CHATENAY-MALABRY,2013.0,1370.0,1360.0,590.0,771.0,1471.0,1350.0,516.0,548.0
0,CHATENAY-MALABRY,2014.0,1478.0,1487.0,813.0,850.0,1469.0,1369.0,514.0,492.0
0,CHATENAY-MALABRY,2015.0,1645.0,1623.0,1374.0,1175.0,1481.0,1358.0,492.0,460.0
0,CHATILLON,2011.0,1859.0,1547.0,514.0,748.0,1412.0,1237.0,534.0,515.0
0,CHATILLON,2012.0,1708.0,1657.0,668.0,365.0,1531.0,1387.0,583.0,508.0
0,CHATILLON,2013.0,1733.0,1740.0,320.0,287.0,1544.0,1408.0,428.0,459.0
0,CHATILLON,2014.0,1622.0,1750.0,359.0,338.0,1550.0,1448.0,513.0,538.0
0,CHATILLON,2015.0,1857.0,1787.0,1002.0,879.0,1603.0,1457.0,610.0,512.0
0,CHAVILLE,2011.0,1883.0,1729.0,1242.0,1213.0,1313.0,1160.0,473.0,477.0
0,CHAVILLE,2012.0,2322.0,2279.0,1341.0,813.0,1323.0,1179.0,495.0,483.0
0,CHAVILLE,2013.0,1317.0,1255.0,269.0,583.0,1337.0,1204.0,497.0,518.0
0,CHAVILLE,2014.0,1278.0,1272.0,449.0,715.0,1337.0,1224.0,483.0,457.0
0,CHAVILLE,2015.0,1213.0,1170.0,513.0,515.0,1355.0,1223.0,451.0,427.0
0,CLAMART,2011.0,1259.0,1069.0,462.0,643.0,1467.0,1344.0,576.0,584.0
0,CLAMART,2012.0,1416.0,1296.0,1055.0,821.0,1491.0,1370.0,618.0,584.0
0,CLAMART,2013.0,1167.0,1080.0,764.0,811.0,1510.0,1400.0,575.0,603.0
0,CLAMART,2014.0,1177.0,1142.0,549.0,752.0,1554.0,1461.0,564.0,543.0
0,CLAMART,2015.0,1216.0,1106.0,906.0,799.0,1580.0,1470.0,535.0,515.0
0,CLICHY,2011.0,2223.0,2152.0,627.0,589.0,2047.0,1866.0,900.0,899.0
0,CLICHY,2012.0,2177.0,2131.0,551.0,537.0,2043.0,1886.0,898.0,896.0
