M‚nages fiscaux et revenu disponible en 2013 : comparaisons d‚partementales;;;;;;
M;France m‚tropolitaine;26 738 826;58,2;20 184;10 640;37 290
Champ : France m‚tropolitaine;;;;;;
Source : Insee-DGFiP-Cnaf-Cnav-Ccmsa, Fichier localis‚ social et fiscal;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
D‚partement;D‚partement;M‚nages fiscaux;M‚nages fiscaux;Revenu disponible par unit‚ de consommation (niveau de vie) (en euros);Revenu disponible par unit‚ de consommation (niveau de vie) (en euros);Revenu disponible par unit‚ de consommation (niveau de vie) (en euros)
dpt;l_dpt;nb_menages;part_imposes;rev_median;rev_dec1;rev_dec9
01;Ain;245 638;60,2;21 490;11 882;40 696
02;Aisne;222 055;50,7;18 300;9 874;31 594
03;Allier;157 993;51,4;18 966;10 630;32 419
04;Alpes-de-Haute-Provence;71 306;53,0;19 003;10 155;33 417
05;Hautes-Alpes;62 507;55,3;19 199;10 848;33 051
06;Alpes-Maritimes;511 512;60,2;20 309;10 163;38 871
07;ArdŠche;138 729;51,9;19 154;10 581;32 347
08;Ardennes;118 154;49,3;18 171;9 723;31 123
09;AriŠge;67 189;47,5;18 523;9 810;31 805
10;Aube;130 892;55,1;19 121;10 453;33 958
11;Aude;159 568;45,8;17 653;9 214;31 001
12;Aveyron;122 157;50,9;19 134;10 642;32 644
13;Bouches-du-Rh“ne;832 890;57,1;19 784;9 539;37 015
14;Calvados;289 248;56,8;19 850;11 213;34 308
15;Cantal;66 447;49,2;18 711;10 716;31 840
16;Charente;154 494;52,1;19 265;10 609;33 187
17;Charente-Maritime;287 543;54,2;19 631;11 029;34 809
18;Cher;138 617;54,8;19 441;10 725;33 094
19;CorrŠze;108 403;53,7;19 346;10 995;32 869
2A;Corse-du-Sud;56 961;55,9;19 490;9 843;36 149
2B;Haute-Corse;64 766;48,2;17 993;8 920;33 621
21;C“te-d'Or;223 907;61,9;20 855;11 721;36 280
22;C“tes-d'Armor;263 924;54,0;19 844;11 586;33 560
23;Creuse;55 917;46,1;17 746;9 766;30 354
24;Dordogne;184 494;49,4;18 756;10 290;32 301
25;Doubs;225 600;60,1;20 644;11 286;36 634
26;Dr“me;212 457;54,0;19 391;10 534;34 107
27;Eure;240 673;59,1;20 288;11 267;34 172
28;Eure-et-Loir;177 755;61,6;20 716;11 581;35 072
29;FinistŠre;399 909;55,9;20 267;12 020;34 113
30;Gard;312 646;49,8;18 420;9 317;33 039
31;Haute-Garonne;545 131;61,8;21 792;11 233;39 412
32;Gers;82 779;51,3;19 487;10 635;34 042
33;Gironde;645 178;58,8;20 800;11 296;37 189
34;H‚rault;475 687;51,9;18 765;9 405;34 780
35;Ille-et-Vilaine;419 197;58,1;20 688;12 080;35 578
36;Indre;103 524;51,0;18 927;10 857;31 527
37;Indre-et-Loire;257 369;58,2;20 403;11 528;35 609
38;IsŠre;504 191;61,5;21 213;11 716;36 788
39;Jura;113 046;56,9;19 920;11 397;33 916
40;Landes;174 120;55,6;20 025;11 510;33 832
41;Loir-et-Cher;144 410;57,6;19 991;11 277;34 013
42;Loire;320 336;53,0;19 317;10 839;32 720
43;Haute-Loire;97 883;49,9;19 208;11 226;31 762
44;Loire-Atlantique;560 014;59,4;20 797;12 125;35 426
45;Loiret;279 093;61,9;20 678;11 209;35 767
46;Lot;78 362;51,6;19 262;10 406;33 861
47;Lot-et-Garonne;144 100;48,9;18 618;10 232;32 415
48;LozŠre;32 611;51,6;18 788;10 483;31 344
49;Maine-et-Loire;325 991;53,1;19 480;11 627;32 270
50;Manche;216 781;52,6;19 249;11 306;32 154
51;Marne;236 536;60,1;20 153;10 878;37 217
52;Haute-Marne;79 402;52,4;18 718;10 592;30 895
53;Mayenne;127 002;53,0;19 295;11 655;31 016
54;Meurthe-et-Moselle;302 725;54,4;20 206;10 714;35 584
55;Meuse;80 644;51,6;19 151;10 609;31 917
56;Morbihan;324 617;55,8;20 118;11 735;34 289
57;Moselle;427 601;51,3;20 149;10 752;36 418
58;NiŠvre;98 826;53,1;18 971;10 441;31 758
59;Nord;1 027 576;52,0;18 575;9 810;33 540
60;Oise;317 276;61,4;20 633;11 139;35 559
61;Orne;124 366;51,5;18 684;10 519;30 875
62;Pas-de-Calais;590 160;47,4;17 706;9 771;30 507
63;Puy-de-D“me;282 088;57,7;20 491;11 213;35 942
64;Pyr‚n‚es-Atlantiques;291 954;57,4;20 510;11 487;36 893
65;Hautes-Pyr‚n‚es;102 984;52,3;19 359;10 794;32 739
66;Pyr‚n‚es-Orientales;208 655;48,2;17 907;9 321;32 050
67;Bas-Rhin;446 800;61,8;21 495;11 403;38 121
68;Haut-Rhin;311 517;62,4;21 803;11 226;40 989
69;Rh“ne;736 887;63,1;21 267;10 909;39 962
70;Haute-Sa“ne;101 836;52,0;18 994;10 923;30 819
71;Sa“ne-et-Loire;244 739;54,5;19 363;11 239;32 661
72;Sarthe;240 135;55,6;19 587;11 162;32 042
73;Savoie;182 042;63,1;21 195;12 041;36 684
74;Haute-Savoie;322 891;62,9;24 022;12 395;50 337
75;Paris;1 038 789;72,2;25 981;9 652;63 417
76;Seine-Maritime;523 139;56,9;19 811;10 830;34 450
77;Seine-et-Marne;518 419;68,0;22 006;11 559;37 446
78;Yvelines;552 709;75,1;25 421;12 445;48 692
79;Deux-SŠvres;159 663;52,2;19 335;11 380;32 475
80;Somme;231 991;53,4;18 879;10 211;32 983
81;Tarn;165 205;49,5;19 144;10 564;33 205
82;Tarn-et-Garonne;105 015;48,4;18 689;10 142;32 059
83;Var;466 634;57,2;19 933;10 232;36 161
84;Vaucluse;234 906;51,5;18 380;9 325;33 304
85;Vend‚e;282 715;54,5;19 633;12 129;31 617
86;Vienne;182 762;54,0;19 654;11 013;33 784
87;Haute-Vienne;165 980;54,3;19 492;10 404;33 612
88;Vosges;163 568;51,2;18 946;10 526;31 676
89;Yonne;148 396;56,7;19 526;10 904;33 354
90;Territoire de Belfort;59 279;58,2;20 072;10 532;35 019
91;Essonne;483 453;71,0;22 819;11 186;40 584
92;Hauts-de-Seine;673 637;74,0;25 787;11 241;55 323
93;Seine-Saint-Denis;566 884;54,0;16 745;8 124;32 268
94;Val-de-Marne;541 062;67,8;21 526;10 117;42 298
95;Val-d'Oise;441 207;65,9;20 778;9 998;37 740
