l_pre_spe,rec_mon,dep_mon,taux
01-TOTAL Omnipraticiens,71455755.82000533,3948447.7899994873,0.05525723917812158
02-TOTAL Anesthésie-réanimation chirurgicale,8358662.650000345,1437517.0500000063,0.17197931178619189
03-Pathologie cardio-vasculaire,9514188.870000592,934863.2700000051,0.09825990242297418
04-TOTAL Chirurgie,19953027.729999088,3291512.1099999947,0.16496303992257044
05-Dermatologie et vénérologie,8261184.790000174,1579739.9399999839,0.19122438005650164
06-TOTAL Radiologie,12940862.02999843,1377552.3300000057,0.10644981198367455
07-TOTAL Gynécologie,13384588.639998907,2708315.1999998842,0.20234579282521045
08-Gastro-entérologie et hépatologie,7128027.1700005,861601.2400000029,0.12087513409407255
09-TOTAL Médecine Interne,5187981.019999885,428658.0400000004,0.08262521361344724
11-Oto-rhino laryngologie,8358865.059999885,1588658.1099999833,0.19005667618709055
12-TOTAL Pédiatrie,7420600.7400001995,565808.3100000047,0.07624831598202783
13-Pneumologie,7332889.840000086,309584.4599999985,0.04221861595564278
14-Rhumatologie,8523735.220000515,1066185.980000032,0.12508436178288135
15-Ophtalmologie,12501343.200001067,2772069.870000033,0.22174176211719368
17-TOTAL Psychiatrie,8037426.030000283,884267.2300000075,0.11001870831525107
18-TOTAL Stomatologie,3800631.7399998247,1488817.27,0.39172889452322174
19-TOTAL Chirurgie dentaire,9052211.889999915,2690325.739999959,0.2972009242262649
21-Sages-femmes,3387069.1099997493,89397.73999999974,0.02639383404846037
24-Infirmier,1206161.9700000081,1453.1800000000005,0.0012047967322332263
26-Masseur-kinésithérapeute,452967.14999999816,0.0,0.0
31-Médecine physique et de réanimation,3641423.8899998795,482645.90000000084,0.1325431794209536
32-Neurologie,5810662.43999991,448406.5700000036,0.0771696126956586
34-Gériatrie,664086.3500000053,48281.23,0.07270324107700696
35-Néphrologie,2828826.2499999986,30652.639999999858,0.01083581573806446
36-Chirurgie dentaire spécialistes,2077015.440000013,1070411.2100000016,0.5153602565419518
37-Anatomie-cytologie-pathologique,1817500.9100000453,271549.91000000114,0.14940840387254298
38-Médecin biologiste,497540.910000009,1023.8299999999999,0.002057780535071943
42-Endocrinologie,5378599.659999785,572997.8100000061,0.10653289819306407
80-Santé publique et Médecine Sociale,2994.7400000000002,6317.080000000002,2.109391800289842
99-Spécialité Inconnue,57202828.649997175,1160736.9100000768,0.020291599863045132
