id,sku,old_price,price,brand,title
0,DEL5397063636921,744.0,744.0,dell,DELL- Latitude 3550/Core i5
1,DEL3700868410924,249.0,159.0,dell,Ordinateur portable Dell Latitude E6400
2,DEL0600740959479,349.99,299.0,dell,DELL LATITUDE E5420 CORE I5 2520M 8GO 250GO
3,DEL0002567924898,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 I7 Disque
4,AUC5397063636952,577.81,577.81,dell,DELL- Latitude 3550/Core i3
5,DEL5397063639304,605.0,605.0,dell,DELL- Vostro 3558/Core i5
6,5397063780143PRO,874.8,874.8,dell,DELL- Latitude E5450/Core i5
7,AUC5397063637508,618.3,618.3,dell,DELL- Latitude 3340
8,AUC5397063636587,1049.63,886.8,dell,DELL- Latitude E5250/Core i3
9,5397063773558PRO,529.99,529.99,dell,DELL- Chromebook 7310/Celeron
10,AUC5397063636891,1100.0,850.0,dell,DELL- Latitude E7450/Core i5
11,DEL3663369017675,779.9,604.9,dell,Dell Latitude E6420 - Core i7 - 8Go - 240Go SSD
12,DEL0616469233882,229.0,229.0,dell,PC Portable Dell  - Windows 7 - i5 4GB 160GB - 14.
13,DEL0616469230959,250.8,250.8,dell,Dell Latitude E6400 - Ordinateur Portable PC
14,DEL7296667697469,279.0,149.0,dell,ORDINATEUR PORTABLE NETBOOK DELL  2120 2GO RAM 250
15,DEL0002567924676,532.5,355.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 Di
16,DEL0642968355015,149.0,149.0,dell,MINI PC PORTABLE DELL 10 POUCE
17,DEL0642968354544,149.0,149.0,dell,PC PORTABLE ULTRABOOK DELL LATITUDE E4300 2GO RAM
18,DEL0642968354841,189.0,189.0,dell,ORDINATEUR PORTABLE ULTRABOOK DELL E4300 4GO RAM 1
19,AUC5397063873791,952.73,952.73,dell,Dell Inspiron 5759 PC portable 17.3 Full HD (Intel
20,DEL3546119507773,245.0,245.0,dell,ORDINATEUR PORTABLE DELL VOSTRO CORE I3 4GO RAM 32
21,DEL0002567924775,547.5,365.0,dell,Ordinateur portable Dell Latitude E6220 Core I7 -
22,DEL3700868415189,420.0,320.0,dell,Ordinateur portable - Dell Latitude E6320 8Go 320G
23,DEL3700868410870,259.0,259.0,dell,Ordinateur portable Dell Latitude E5430
24,DEL7296667696981,149.0,149.0,dell,ORDINATEUR PORTABLE NETBOOK DELL 2110 2GO RAM 160G
25,DEL4050983042043,399.0,139.0,dell,PC portable DELL Latitude D510
26,DEL0003330145236,149.0,149.0,dell,PC Portable Dell E5400 Windows Vista
