owner,all_stars,repos,mean_of_stars_by_repo
torvalds,38690,3,12896.666666666666
mrdoob,35167,30,1172.2333333333333
donnemartin,23636,24,984.8333333333334
JakeWharton,26611,30,887.0333333333333
johnpapa,23492,30,783.0666666666667
zenorocha,23038,30,767.9333333333333
prakhar1989,18097,30,603.2333333333333
FezVrasta,16905,30,563.5
josephmisiti,16567,30,552.2333333333333
chjj,16389,30,546.3
gorhill,10539,20,526.95
afollestad,12616,24,525.6666666666666
SamyPesse,14277,30,475.9
steipete,14108,30,470.26666666666665
ChenYilong,13587,30,452.9
kripken,13389,30,446.3
mdo,12672,30,422.4
jessesquires,12098,30,403.26666666666665
pedrovgs,12058,30,401.93333333333334
addyosmani,11644,30,388.1333333333333
toddmotto,11613,30,387.1
fzaninotto,11423,30,380.76666666666665
CamDavidsonPilon,11377,30,379.23333333333335
rasbt,9975,30,332.5
jakiestfu,9829,30,327.6333333333333
jverkoey,9501,30,316.7
tj,9363,30,312.1
Shougo,8932,30,297.73333333333335
ericelliott,8720,30,290.6666666666667
tomchristie,8693,30,289.76666666666665
mrmrs,7569,30,252.3
mgechev,7289,30,242.96666666666667
paulmillr,7228,30,240.93333333333334
drakeet,7210,30,240.33333333333334
lihaoyi,6979,30,232.63333333333333
samuelclay,4612,21,219.61904761904762
nixzhu,6329,30,210.96666666666667
maxogden,6208,30,206.93333333333334
mikepenz,6037,30,201.23333333333332
angusshire,1384,7,197.71428571428572
chrisjenx,5912,30,197.06666666666666
davidsonfellipe,5796,30,193.2
wbond,5704,30,190.13333333333333
jgm,5472,30,182.4
sebastianbergmann,5448,30,181.6
josevalim,4872,27,180.44444444444446
hueniverse,3584,20,179.2
Unknwon,5241,30,174.7
walkor,5203,30,173.43333333333334
ai,5166,30,172.2
bkeepers,4990,30,166.33333333333334
mitchellh,4969,30,165.63333333333333
nzakas,4935,30,164.5
schwa,4764,30,158.8
thomasdavis,4344,30,144.8
ebidel,4328,30,144.26666666666668
DataTables,4248,30,141.6
una,4186,30,139.53333333333333
JedWatson,4166,30,138.86666666666667
willianjusten,4081,30,136.03333333333333
apotonick,4031,30,134.36666666666667
overtrue,4027,30,134.23333333333332
nicolasgramlich,3998,30,133.26666666666668
phodal,3913,30,130.43333333333334
indragiek,3859,30,128.63333333333333
Urigo,3858,30,128.6
kishikawakatsumi,3644,30,121.46666666666667
liu21st,562,5,112.4
ankane,3162,30,105.4
jamztang,3127,30,104.23333333333333
kartik-v,3118,30,103.93333333333334
GrahamCampbell,2317,23,100.73913043478261
muan,3018,30,100.6
soumith,2743,30,91.43333333333334
evanw,2580,30,86.0
gitster,514,6,85.66666666666667
bbatsov,2535,30,84.5
HugoGiraudel,2507,30,83.56666666666666
willdurand,2501,30,83.36666666666666
jnunemaker,2474,30,82.46666666666667
technoweenie,2431,30,81.03333333333333
zcbenz,2121,27,78.55555555555556
marijnh,2317,30,77.23333333333333
feross,2144,30,71.46666666666667
yihui,2143,30,71.43333333333334
fabpot,764,11,69.45454545454545
passy,1993,30,66.43333333333334
joshaber,1979,30,65.96666666666667
notwaldorf,1933,30,64.43333333333334
dcramer,1894,30,63.13333333333333
tqchen,814,13,62.61538461538461
josh,1844,30,61.46666666666667
fnando,1802,30,60.06666666666667
taylorotwell,60,1,60.0
kylef,1688,30,56.266666666666666
jedisct1,1632,30,54.4
orta,1608,30,53.6
hadley,1602,30,53.4
weavejester,1515,30,50.5
rdegges,1440,30,48.0
barretlee,1419,30,47.3
rauchg,1389,30,46.3
paulirish,1386,30,46.2
be5invis,1352,30,45.06666666666667
mitsuhiko,1313,30,43.766666666666666
tmcw,1304,30,43.46666666666667
domenic,1292,30,43.06666666666667
azat-co,1291,30,43.03333333333333
geerlingguy,1291,30,43.03333333333333
dlew,1203,30,40.1
soffes,1170,30,39.0
gaearon,1128,30,37.6
mafintosh,1098,30,36.6
webmozart,1036,30,34.53333333333333
atmos,1028,30,34.266666666666666
indutny,1004,30,33.46666666666667
ashfurrow,980,30,32.666666666666664
rstacruz,945,30,31.5
rkh,906,30,30.2
agentzh,904,30,30.133333333333333
markstory,894,30,29.8
Caged,888,30,29.6
remy,874,30,29.133333333333333
macournoyer,859,30,28.633333333333333
AdamBien,812,30,27.066666666666666
tmm1,779,30,25.966666666666665
bevacqua,777,30,25.9
ericholscher,775,30,25.833333333333332
mourner,766,30,25.533333333333335
numbbbbb,719,30,23.966666666666665
mbostock,690,30,23.0
ericdouglas,687,30,22.9
substack,684,30,22.8
yiminghe,680,30,22.666666666666668
kohsuke,668,30,22.266666666666666
ibdknox,649,30,21.633333333333333
leebyron,626,30,20.866666666666667
mcollina,621,30,20.7
EisenbergEffect,41,2,20.5
grp,554,28,19.785714285714285
jonathanong,569,30,18.966666666666665
kevva,568,30,18.933333333333334
SamSaffron,564,30,18.8
jdalton,186,10,18.6
kytrinyx,545,30,18.166666666666668
leafo,535,30,17.833333333333332
shiffman,535,30,17.833333333333332
tekkub,391,22,17.772727272727273
eduardolundgren,532,30,17.733333333333334
ekmett,511,30,17.033333333333335
pkrumins,498,30,16.6
simurai,493,30,16.433333333333334
Haacked,490,30,16.333333333333332
michaelklishin,469,30,15.633333333333333
sferik,466,30,15.533333333333333
hemanth,463,30,15.433333333333334
swannodette,446,30,14.866666666666667
mattn,442,30,14.733333333333333
alloy,442,30,14.733333333333333
cvrebert,437,30,14.566666666666666
davidfowl,435,30,14.5
jskeet,319,22,14.5
mjackson,424,30,14.133333333333333
kentcdodds,419,30,13.966666666666667
robdodson,415,30,13.833333333333334
drnic,405,30,13.5
robrix,385,30,12.833333333333334
cheeaun,356,30,11.866666666666667
benjamn,349,30,11.633333333333333
jlord,348,30,11.6
kriskowal,334,30,11.133333333333333
springmeyer,323,30,10.766666666666667
benbalter,322,30,10.733333333333333
StephenGrider,314,30,10.466666666666667
creationix,305,30,10.166666666666666
olivergierke,288,30,9.6
madskristensen,271,30,9.033333333333333
ornicar,271,30,9.033333333333333
balupton,269,30,8.966666666666667
juliangruber,264,30,8.8
mattdesl,263,30,8.766666666666667
amueller,261,30,8.7
jamesmontemagno,242,30,8.066666666666666
AllenDowney,237,30,7.9
suissa,234,30,7.8
Raynos,230,30,7.666666666666667
jennschiffer,225,30,7.5
ddollar,219,30,7.3
parkr,217,30,7.233333333333333
josegonzalez,216,30,7.2
cyanogen,114,16,7.125
kazuho,207,30,6.9
nvie,207,30,6.9
tokuhirom,206,30,6.866666666666666
ammeep,181,27,6.703703703703703
pippinsplugins,195,30,6.5
mathiasbynens,193,30,6.433333333333334
akrabat,193,30,6.433333333333334
radar,191,30,6.366666666666666
kevinsawicki,190,30,6.333333333333333
chenglou,183,30,6.1
dougwilson,176,29,6.068965517241379
staltz,175,30,5.833333333333333
davecheney,171,30,5.7
zilongshanren,170,30,5.666666666666667
soyjavi,168,30,5.6
weierophinney,166,30,5.533333333333333
c9s,165,30,5.5
tylermcginnis,165,30,5.5
steveklabnik,163,30,5.433333333333334
michalbe,162,30,5.4
yyx990803,157,30,5.233333333333333
paulcbetts,155,30,5.166666666666667
KrauseFx,155,30,5.166666666666667
aaronpk,150,30,5.0
purcell,149,30,4.966666666666667
samdark,148,30,4.933333333333334
swankjesse,29,6,4.833333333333333
QuincyLarson,119,25,4.76
dominictarr,141,30,4.7
frsyuki,137,30,4.566666666666666
Ocramius,130,30,4.333333333333333
alex,130,30,4.333333333333333
andrew,128,30,4.266666666666667
brianleroux,127,30,4.233333333333333
arunoda,112,30,3.7333333333333334
Seldaek,110,30,3.6666666666666665
ashleygwilliams,106,30,3.533333333333333
JaviSoto,94,30,3.1333333333333333
thejameskyle,90,30,3.0
mariotaku,87,30,2.9
sahat,83,30,2.7666666666666666
mjhea0,79,30,2.6333333333333333
vladikoff,78,30,2.6
afc163,77,30,2.566666666666667
brentvatne,61,30,2.033333333333333
jeremy,59,30,1.9666666666666666
kittens,58,30,1.9333333333333333
mikermcneil,54,30,1.8
jamesward,54,30,1.8
curran,48,30,1.6
mli,30,19,1.5789473684210527
zpao,45,30,1.5
appleboy,34,30,1.1333333333333333
gdi2290,33,30,1.1
dsyer,32,30,1.0666666666666667
stof,30,30,1.0
rwaldron,30,30,1.0
stefanpenner,29,30,0.9666666666666667
rafaelfranca,25,30,0.8333333333333334
weaverryan,20,30,0.6666666666666666
jiyinyiyong,17,30,0.5666666666666667
amasad,17,30,0.5666666666666667
samccone,15,30,0.5
vhf,8,30,0.26666666666666666
