,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,0,775147,465838,679426,932197,385174,491901,747845,584539,219312
Marseille,774927,0,313685,402891,199463,985435,798380,170370,645148,999852
Lyon,466053,314190,0,537075,471240,685234,487680,304554,555681,690978
Toulouse,678904,403446,537518,0,560496,584963,968785,242511,244676,894415
Nice,932341,204861,471099,560305,0,1142850,784866,327784,802563,1157266
Nantes,384542,985868,685084,585999,1142918,0,865808,824934,346929,600053
Strasbourg,490232,799552,492813,970962,784275,865652,0,789916,968927,524658
Montpellier,747998,169037,303110,242383,326087,824928,787805,0,484641,963510
Bordeaux,590492,645494,555983,245625,802545,353408,968338,484560,0,806003
Lille,225194,1000932,691624,894913,1157982,600661,525123,963331,800025,0
