,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,1 min,7 hours 4 mins,4 hours 19 mins,6 hours 18 mins,8 hours 29 mins,3 hours 42 mins,4 hours 29 mins,6 hours 50 mins,5 hours 26 mins,2 hours 21 mins
Marseille,7 hours 3 mins,1 min,2 hours 58 mins,3 hours 54 mins,2 hours 9 mins,8 hours 44 mins,7 hours 13 mins,1 hour 57 mins,5 hours 56 mins,8 hours 44 mins
Lyon,4 hours 19 mins,2 hours 59 mins,1 min,4 hours 58 mins,4 hours 24 mins,6 hours 13 mins,4 hours 27 mins,3 hours 2 mins,5 hours 13 mins,6 hours 0 mins
Toulouse,6 hours 18 mins,3 hours 52 mins,4 hours 55 mins,1 min,5 hours 16 mins,5 hours 13 mins,9 hours 8 mins,2 hours 29 mins,2 hours 25 mins,8 hours 13 mins
Nice,8 hours 30 mins,2 hours 14 mins,4 hours 25 mins,5 hours 21 mins,1 min,10 hours 11 mins,8 hours 14 mins,3 hours 24 mins,7 hours 23 mins,10 hours 11 mins
Nantes,3 hours 41 mins,8 hours 41 mins,6 hours 10 mins,5 hours 12 mins,10 hours 6 mins,1 min,7 hours 42 mins,7 hours 18 mins,3 hours 15 mins,5 hours 36 mins
Strasbourg,4 hours 25 mins,7 hours 13 mins,4 hours 31 mins,9 hours 6 mins,8 hours 9 mins,7 hours 41 mins,1 min,7 hours 15 mins,9 hours 5 mins,4 hours 53 mins
Montpellier,6 hours 52 mins,1 hour 55 mins,2 hours 59 mins,2 hours 27 mins,3 hours 20 mins,7 hours 17 mins,7 hours 14 mins,1 min,4 hours 29 mins,8 hours 47 mins
Bordeaux,5 hours 25 mins,5 hours 53 mins,5 hours 10 mins,2 hours 23 mins,7 hours 17 mins,3 hours 16 mins,9 hours 5 mins,4 hours 30 mins,1 min,7 hours 20 mins
Lille,2 hours 19 mins,8 hours 48 mins,6 hours 2 mins,8 hours 13 mins,10 hours 12 mins,5 hours 37 mins,4 hours 53 mins,8 hours 45 mins,7 hours 21 mins,1 min
