,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,0,25463,15537,22668,30521,13310,16114,24604,19574,8435
Marseille,25381,0,10659,14017,7757,31437,25996,7045,21372,31452
Lyon,15519,10753,0,17867,15811,22354,16037,10895,18768,21589
Toulouse,22688,13891,17704,0,18949,18794,32895,8923,8729,29589
Nice,30597,8010,15875,19233,0,36653,29668,12261,26588,36667
Nantes,13262,31273,22218,18692,36331,0,27696,26305,11696,20163
Strasbourg,15907,25967,16276,32784,29325,27670,0,26109,32726,17574
Montpellier,24723,6914,10727,8799,11972,26219,26064,0,16155,31625
Bordeaux,19513,21174,18611,8593,26232,11769,32717,16206,0,26414
Lille,8368,31665,21739,29562,36723,20203,17558,31497,26468,0
