population,name
2229621,Paris
855393,Marseille
500715,Lyon
458298,Toulouse
342295,Nice
292718,Nantes
275718,Strasbourg
272084,Montpellier
243626,Bordeaux
231491,Lille
211373,Rennes
182592,Reims
172074,Le Havre
172023,Saint-Étienne
163760,Toulon
160215,Grenoble
153003,Dijon
150564,Nîmes
150125,Angers
147192,Villeurbanne
144244,Le Mans
142442,Saint-Denis (La Réunion)
141545,Aix-en-Provence
141463,Clermont-Ferrand
139386,Brest
135098,Limoges
134803,Tours
132699,Amiens
120959,Perpignan
118634,Metz
116952,Besançon
116794,Boulogne-Billancourt
114375,Orléans
112063,Mulhouse
110755,Rouen
109343,Saint-Denis
107229,Caen
106817,Argenteuil
104332,Saint-Paul (La Réunion)
104139,Montreuil
104072,Nancy
95866,Roubaix
93974,Tourcoing
92227,Nanterre
90305,Avignon
90075,Vitry-sur-Seine
89989,Créteil
89882,Dunkerque
87427,Poitiers
86020,Asnières-sur-Seine
85523,Courbevoie
85272,Versailles
84577,Colombes
84174,Fort-de-France
82634,Aulnay-sous-Bois
81415,Saint-Pierre (La Réunion)
79762,Rueil-Malmaison
77575,Pau
77452,Aubervilliers
76090,Le Tampon
75961,Champigny-sur-Marne
75456,Antibes
74811,Béziers
74344,La Rochelle
74133,Saint-Maur-des-Fossés
73325,Cannes
72520,Calais
68513,Saint-Nazaire
68386,Mérignac
68241,Drancy
67956,Colmar
67507,Ajaccio
67189,Bourges
65662,Issy-les-Moulineaux
65264,Levallois-Perret
