quantity,description,name,unity
DOLIPRANE,mg,"DOLIPRANE 100 mg, poudre pour solution buvable en sachet-dose",100
DOLIPRANE,mg,"DOLIPRANE 100 mg, suppositoire sécable",100
DOLIPRANE,mg,"DOLIPRANE 1000 mg, comprimé",1000
DOLIPRANE,mg,"DOLIPRANE 1000 mg, comprimé effervescent sécable",1000
DOLIPRANE,mg,"DOLIPRANE 1000 mg, gélule",1000
DOLIPRANE,mg,"DOLIPRANE 1000 mg, poudre pour solution buvable en sachet-dose",1000
DOLIPRANE,mg,"DOLIPRANE 150 mg, poudre pour solution buvable en sachet-dose",150
DOLIPRANE,mg,"DOLIPRANE 150 mg, suppositoire",150
DOLIPRANE,mg,"DOLIPRANE 200 mg, poudre pour solution buvable en sachet-dose",200
DOLIPRANE,mg,"DOLIPRANE 200 mg, suppositoire",200
DOLIPRANE,mg,"DOLIPRANE 300 mg, poudre pour solution buvable en sachet-dose",300
DOLIPRANE,mg,"DOLIPRANE 300 mg, suppositoire",300
DOLIPRANE,mg,"DOLIPRANE 500 mg, comprimé",500
DOLIPRANE,mg,"DOLIPRANE 500 mg, comprimé effervescent",500
DOLIPRANE,mg,"DOLIPRANE 500 mg, gélule",500
DOLIPRANE,mg,"DOLIPRANE 500 mg, poudre pour solution buvable en sachet-dose",500
ADULTES,mg,"ADULTES 1000 mg, suppositoire",1000
DOLIPRANECAPS,mg,"DOLIPRANECAPS 1000 mg, gélule",1000
