,User,Contribs,Location,Average note
149,torvalds (Linus Torvalds),2259,"Portland, OR",12931.666666666666
121,mrdoob (Mr.doob),2492,"London, England",1174.3
53,donnemartin (Donne Martin),4092,"Washington, D.C.",987.375
57,JakeWharton (Jake Wharton),3957,"Pittsburgh, PA, USA",889.6666666666666
252,johnpapa (John Papa),1398,"Orlando, FL",780.8
75,zenorocha (Zeno Rocha),3390,California,769.4
169,prakhar1989 (Prakhar Srivastav),1973,"Cambridge, MA",604.3666666666667
107,FezVrasta (Fez Vrasta),2766,"Milan, Italy",564.1666666666666
44,josephmisiti (Joseph Misiti),4450,New York City,553.8
156,chjj (Christopher Jeffrey (JJ)),2139,San Francisco,547.2333333333333
177,gorhill (Raymond Hill),1946,Canada / Québec,528.05
16,afollestad (Aidan Follestad),6917,"Minneapolis, Minnesota",506.48
5,SamyPesse (Samy Pessé),8074,"Lyon, France / Mountain View, CA",476.8666666666667
12,steipete (Peter Steinberger),7129,"Vienna, Austria",470.73333333333335
182,ChenYilong (微博@iOS程序犭袁),1892,Beijing China.,454.0
62,kripken (Alon Zakai),3780,,446.96666666666664
35,mdo (Mark Otto),5157,"San Francisco, CA",422.8
155,jessesquires (Jesse Squires),2153,"San Francisco, CA",403.6666666666667
123,pedrovgs (Pedro Vicente Gómez Sánchez),2481,Madrid,402.3333333333333
236,addyosmani (Addy Osmani),1483,"London, England",388.4
243,toddmotto (Todd Motto),1454,"England, UK",387.8333333333333
109,fzaninotto (Francois Zaninotto),2662,"Nancy, France",381.3333333333333
101,CamDavidsonPilon (Cameron Davidson-Pilon),2839,"Ottawa, Canada",379.9
237,rasbt (Sebastian Raschka),1481,"East Lansing, Michigan",333.96666666666664
135,jakiestfu (Jacob Kelley),2355,Los Angeles,327.76666666666665
58,jverkoey (Jeff Verkoeyen),3951,"New York, NY",316.7
251,tj (TJ Holowaychuk),1408,"Victoria, BC, Canada",312.8
115,Shougo (Shougo),2577,Vim,298.46666666666664
183,ericelliott (Eric Elliott),1887,"San Francisco, California",291.56666666666666
118,tomchristie (Tom Christie),2526,"Brighton, UK",290.8
27,mrmrs (Adam Morse),5867,London,252.66666666666666
55,mgechev (Minko Gechev),3992,Bulgaria,243.66666666666666
73,paulmillr (Paul Miller),3433,United States & EU,241.3
207,drakeet (drakeet),1669,"Hangzhou, China",241.2
192,lihaoyi (Li Haoyi),1772,,232.73333333333332
200,samuelclay (Samuel Clay),1712,San Francisco,219.57142857142858
61,nixzhu,3785,,211.3
201,maxogden (=^._.^=),1706,Oregon,207.23333333333332
125,mikepenz (Mike Penz),2468,"Linz, Austria",201.63333333333333
170,angusshire (Angus H.),1970,"Berkeley, CA",198.14285714285714
193,chrisjenx (Christopher Jenkins),1768,London,197.33333333333334
80,davidsonfellipe (Davidson Fellipe),3258,"New York, NY",193.3
208,wbond (Will Bond),1666,"Newbury, MA",190.3
133,jgm (John MacFarlane),2398,"Berkeley, CA",182.5
