,molecule,qte,unite,galenique
0,IBUPROFENE,400,mg,comprimé
1,IBUPROFENE,200,mg,comprimé
2,IBUPROFENE,400,mg,comprimé
3,IBUPROFENE,200,mg,comprimé
4,IBUPROFENE,400,mg,comprimé
5,IBUPROFENE,400,mg,comprimé
6,IBUPROFENE,200,mg,comprimé
7,IBUPROFENE,400,mg,comprimé
8,IBUPROFENE,200,mg,comprimé
9,IBUPROFENE,400,mg,comprimé
10,IBUPROFENE,200,mg,comprimé
11,IBUPROFENE,200,mg,comprimé
12,IBUPROFENE,400,mg,comprimé
13,IBUPROFENE,200,mg,comprimé
14,IBUPROFENE,400,mg,comprimé
15,IBUPROFENE,400,mg,comprimé
16,IBUPROFENE,200,mg,comprimé
17,IBUPROFENE,200,mg,comprimé
18,IBUPROFENE,400,mg,comprimé
19,IBUPROFENE,400,mg,comprimé
20,IBUPROFENE,400,mg,comprimé
21,IBUPROFENE,200,mg,comprimé
22,IBUPROFENE,400,mg,comprimé
23,IBUPROFENE,400,mg,comprimé
24,IBUPROFENE,200,mg,comprimé
25,IBUPROFENE,200,mg,comprimé
26,IBUPROFENE,400,mg,comprimé
27,IBUPROFENE,200,mg,comprimé
28,IBUPROFENE,200,mg,comprimé
29,IBUPROFENE,400,mg,comprimé
30,IBUPROFENE,200,mg,comprimé
31,IBUPROFENE,400,mg,comprimé
32,IBUPROFENE,400,mg,comprimé
33,IBUPROFENE,200,mg,comprimé
34,IBUPROFENE,400,mg,comprimé
35,IBUPROFENE,200,mg,comprimé
36,IBUPROFENE,400,mg,comprimé
37,IBUPROFENE,200,mg,comprimé
38,IBUPROFENE,400,mg,comprimé
39,IBUPROFENE,400,mg,comprimé
40,IBUPROFENE,400,mg,comprimé
41,IBUPROFENE,200,mg,comprimé
42,IBUPROFENE,400,mg,comprimé
43,IBUPROFENE,200,mg,comprimé
44,IBUPROFENE,400,mg,comprimé
45,LEVOTHYROX,100,microgrammes,comprimé
46,LEVOTHYROX,125,microgrammes,comprimé
47,LEVOTHYROX,150,microgrammes,comprimé
48,LEVOTHYROX,175,microgrammes,comprimé
49,LEVOTHYROX,200,microgrammes,comprimé
50,LEVOTHYROX,25,microgrammes,comprimé
51,LEVOTHYROX,50,microgrammes,comprimé
52,LEVOTHYROX,75,microgrammes,comprimé
53,LEVOTHYROX,100,microgrammes,comprimé
54,LEVOTHYROX,125,microgrammes,comprimé
55,LEVOTHYROX,150,microgrammes,comprimé
56,LEVOTHYROX,175,microgrammes,comprimé
57,LEVOTHYROX,200,microgrammes,comprimé
58,LEVOTHYROX,25,microgrammes,comprimé
59,LEVOTHYROX,50,microgrammes,comprimé
60,LEVOTHYROX,75,microgrammes,comprimé
61,DOLIPRANE,100,mg,poudre
62,DOLIPRANE,100,mg,suppositoire
63,DOLIPRANE,1000,mg,comprimé
64,DOLIPRANE,1000,mg,comprimé
65,DOLIPRANE,1000,mg,gélule
66,DOLIPRANE,1000,mg,poudre
67,DOLIPRANE,150,mg,poudre
68,DOLIPRANE,150,mg,suppositoire
69,DOLIPRANE,200,mg,poudre
70,DOLIPRANE,200,mg,suppositoire
71,DOLIPRANE,300,mg,poudre
72,DOLIPRANE,300,mg,suppositoire
73,DOLIPRANE,500,mg,comprimé
74,DOLIPRANE,500,mg,comprimé
75,DOLIPRANE,500,mg,gélule
76,DOLIPRANE,500,mg,poudre
77,DOLIPRANE,1000,mg,suppositoire
78,DOLIPRANE,1000,mg,gélule
79,DOLIPRANE,500,mg,comprimé
80,DOLIPRANE,1000,mg,comprimé
81,DOLIPRANE,500,mg,comprimé
