SPECIALITE,INSCRIPT,FRANCE ENTIERE,FRANCE M�tropolitaine,DOM-COM,Alsace-Champagne-Ardenne-Lorraine,Aquitaine-Limousin-Poitou-Charentes,Auvergne-Rh�ne-Alpes,Bourgogne-Franche-Comt�,Bretagne,Centre-Val de Loire,Corse,Guadeloupe,Guyane,Ile-de-France,La R�union,Languedoc-Roussillon-Midi-Pyr�n�es,Martinique,Mayotte,Nord-Pas-de-Calais-Picardie,Normandie,Pays de la Loire,Provence-Alpes-C�te d�Azur,01 - Ain,02 - Aisne,03 - Allier,04 - Alpes-de-Haute-Provence,05 - Hautes-Alpes,06 - Alpes-Maritimes,07 - Ard�che,08 - Ardennes,09 - Ari�ge,10 - Aube,11 - Aude,12 - Aveyron,13 - Bouches-du-Rh�ne,14 - Calvados,15 - Cantal,16 - Charente,17 - Charente-Maritime,18 - Cher,19 - Corr�ze,2A - Corse-du-Sud,2B - Haute-Corse,21 - C�te-d�Or,22 - C�tes-d�Armor,23 - Creuse,24 - Dordogne,25 - Doubs,26 - Dr�me,27 - Eure,28 - Eure-et-Loir,29 - Finist�re,30 - Gard,31 - Haute-Garonne,32 - Gers,33 - Gironde,34 - H�rault,35 - Ille-et-Vilaine,36 - Indre,37 - Indre-et-Loire,38 - Is�re,39 - Jura,40 - Landes,41 - Loir-et-Cher,42 - Loire,43 - Haute-Loire,44 - Loire-Atlantique,45 - Loiret,46 - Lot,47 - Lot-et-Garonne,48 - Loz�re,49 - Maine-et-Loire,50 - Manche,51 - Marne,52 - Haute-Marne,53 - Mayenne,54 - Meurthe-et-Moselle,55 - Meuse,56 - Morbihan,57 - Moselle,58 - Ni�vre,59 - Nord,60 - Oise,61 - Orne,62 - Nord-Pas-de-Calais,63 - Puy-de-D�me,64 - Pyr�n�es-Atlantiques,65 - Hautes-Pyr�n�es,66 - Pyr�n�es-Orientales,67 - Bas-Rhin,68 - Haut-Rhin,69 - Rh�ne,70 - Haute-Sa�ne,71 - Sa�ne-et-Loire,72 - Sarthe,73 - Savoie,74 - Haute-Savoie,75 - Paris,76 - Seine-Maritime,77 - Seine-et-Marne,78 - Yvelines,79 - Deux-S�vres,80 - Somme,81 - Tarn,82 - Tarn-et-Garonne,83 - Var,84 - Vaucluse,85 - Vend�e,86 - Vienne,87 - Haute-Vienne,88 - Vosges,89 - Yonne,90 - Territoire de Belfort,91 - Essonne,92 - Hauts-de-Seine,93 - Seine-Saint-Denis,94 - Val-de-Marne,95 - Val-d�Oise,971 - Guadeloupe,972 - Martinique,973 - Guyane,974 - La R�union,976 - Mayotte
Ensemble des sp�cialit�s d'exercice,Ensemble des modes d'exercice,223571,218018,5553,17789,19745,26533,8310,10400,6922,975,1071,578,48089,2683,20593,1034,187,18016,9671,10629,20346,1192,1237,955,498,598,4901,792,647,437,744,1081,756,8900,2527,424,925,1999,663,701,479,496,2031,1604,300,992,1968,1532,1068,945,3062,2299,5640,480,6399,4902,3536,479,2300,4253,644,1118,811,2549,491,4630,1724,499,860,184,2567,1283,1968,468,610,2976,426,2198,2832,504,9202,1852,695,3758,2358,2519,807,1650,4475,2289,8090,556,1417,1355,1517,2380,18439,4098,3093,4189,898,1967,1167,691,3582,1867,1467,1515,1519,964,773,417,3288,6457,4247,5207,3169,1071,1034,578,2683,187
Ensemble des sp�cialit�s d'exercice,Lib�raux exclusifs,105872,103182,2690,8327,10289,12304,3604,5016,3334,577,507,175,19288,1505,11127,469,34,8399,4468,5362,11087,585,514,444,264,243,2731,430,329,187,361,566,343,4626,1055,193,490,1087,319,319,278,299,791,782,115,542,875,746,574,414,1434,1195,3141,257,3565,2574,1721,233,1144,1999,304,640,419,1082,242,2399,805,248,447,75,1235,610,890,193,282,1253,183,1079,1345,252,4312,886,277,1846,1032,1481,436,1033,2212,1110,3509,271,580,728,798,1244,6320,1952,1488,2130,369,841,641,431,2233,990,718,622,612,451,347,184,1661,2826,1680,1754,1429,507,469,175,1505,34
Ensemble des sp�cialit�s d'exercice,Mixtes,24134,23824,310,2183,1890,2892,1072,939,683,79,84,29,6034,97,1942,97,3,1836,1022,919,2333,159,231,129,80,68,607,72,60,58,92,112,86,1123,324,44,80,146,100,122,40,39,300,151,47,90,208,107,90,121,277,244,479,45,544,578,297,58,140,492,66,94,82,305,69,349,182,34,84,34,250,86,191,79,81,357,77,214,376,67,774,167,92,427,202,198,36,104,558,273,957,50,223,85,127,229,2736,430,412,487,131,237,103,29,226,229,154,160,194,120,117,41,320,596,428,643,412,84,97,29,97,3
Ensemble des sp�cialit�s d'exercice,Salari�s hospitaliers,66596,64561,2035,5317,5323,8164,2647,3243,2143,232,370,302,15623,856,5215,380,127,5565,3166,3112,4811,298,367,287,99,216,1098,214,173,146,186,277,240,2190,899,145,240,553,162,187,114,118,683,501,100,236,684,453,291,314,1025,593,1394,123,1563,1249,1059,139,792,1272,208,271,219,854,127,1317,517,158,213,42,821,439,673,140,186,999,122,658,799,126,2823,602,250,1069,815,558,237,306,1270,660,2594,175,431,370,434,671,6529,1287,860,1059,276,704,285,165,759,449,418,572,554,295,212,128,899,1811,1343,2182,940,370,380,302,856,127
Ensemble des sp�cialit�s d'exercice,Autres salari�s,26969,26451,518,1962,2243,3173,987,1202,762,87,110,72,7144,225,2309,88,23,2216,1015,1236,2115,150,125,95,55,71,465,76,85,46,105,126,87,961,249,42,115,213,82,73,47,40,257,170,38,124,201,226,113,96,326,267,626,55,727,501,459,49,224,490,66,113,91,308,53,565,220,59,116,33,261,148,214,56,61,367,44,247,312,59,1293,197,76,416,309,282,98,207,435,246,1030,60,183,172,158,236,2854,429,333,513,122,185,138,66,364,199,177,161,159,98,97,64,408,1224,796,628,388,110,88,72,225,23
Sp�cialistes,Ensemble des modes d'exercice,121272,118616,2656,9426,9966,14192,4200,5213,3635,467,538,220,30038,1297,10861,533,68,9060,4906,5308,11344,514,621,466,194,266,2890,379,280,175,359,519,345,5180,1367,178,428,913,319,329,233,234,1171,740,119,414,1061,767,440,481,1540,1172,3295,193,3631,2816,1886,204,1316,2259,256,463,387,1319,178,2404,928,216,413,74,1342,584,1081,206,263,1700,163,1047,1436,245,4874,874,307,1700,1333,1292,359,786,2561,1218,4902,209,700,666,709,1188,13010,2208,1616,2375,377,991,580,331,1843,971,633,810,777,422,345,213,1751,3883,2325,3341,1737,538,533,220,1297,68
Sp�cialistes,Lib�raux exclusifs,44570,43600,970,3154,4205,5037,1279,1784,1390,268,214,57,9876,515,4824,176,8,2810,1600,2013,5360,168,148,165,75,78,1408,151,86,43,147,225,101,2283,382,59,187,369,111,113,134,134,313,248,31,194,320,276,152,151,502,491,1557,68,1689,1210,663,80,516,827,83,207,165,379,55,962,367,65,178,25,457,202,347,65,87,502,49,371,482,111,1547,291,76,571,423,715,160,418,924,426,1743,58,202,296,293,498,3865,788,597,1025,117,253,272,189,1049,467,211,216,189,126,125,67,763,1579,683,786,578,214,176,57,515,8
Sp�cialistes,Mixtes,16933,16743,190,1558,1209,1991,685,652,426,42,52,10,4675,67,1234,60,1,1300,666,601,1704,101,167,82,52,41,474,44,42,32,50,63,58,830,223,30,62,100,73,67,24,18,193,111,15,42,145,81,56,84,191,149,336,24,410,373,209,27,94,317,42,58,49,208,39,227,99,22,54,14,152,51,131,36,47,246,44,141,272,33,541,126,55,290,134,127,25,62,437,215,712,30,136,66,86,157,2282,281,277,363,70,176,61,15,161,146,109,97,107,85,74,32,231,425,307,481,309,52,60,10,67,1
Sp�cialistes,Salari�s hospitaliers,48345,47048,1297,3898,3646,5849,1856,2286,1520,126,234,134,12247,613,3771,262,54,4014,2250,2222,3363,178,261,188,45,121,802,146,106,88,127,176,157,1641,667,80,142,364,98,119,58,68,548,327,57,126,513,312,187,210,703,418,1082,82,1203,1001,813,83,611,930,114,154,142,607,70,1000,376,108,135,21,631,272,525,84,106,788,57,443,574,77,2151,391,149,699,636,334,128,208,990,462,1997,95,292,236,270,435,5404,975,590,775,160,512,198,104,478,276,249,432,420,185,122,95,592,1379,1023,1791,693,234,262,134,613,54
Sp�cialistes,Autres salari�s,11424,11225,199,816,906,1315,380,491,299,31,38,19,3240,102,1032,35,5,936,390,472,917,67,45,31,22,26,206,38,46,12,35,55,29,426,95,9,37,80,37,30,17,14,117,54,16,52,83,98,45,36,144,114,320,19,329,232,201,14,95,185,17,44,31,125,14,215,86,21,46,14,102,59,78,21,23,164,13,92,108,24,635,66,27,140,140,116,46,98,210,115,450,26,70,68,60,98,1459,164,152,212,30,50,49,23,155,82,64,65,61,26,24,19,165,500,312,283,157,38,35,19,102,5
