,title,price,location,année,kilométrage,tel,vendeur,Description,prix,+/-,année
0,Renault Zoe Intens,23512.0,Fresnes 94260,2016.0,2500.0,0183799570,pro,"['intens', 'gamme', '2017']",14989.0,+,2016.0
1,Renault Zoe Zen type 2,16890.0,Fresnes 94260,2016.0,100.0,0183799570,pro,"['zen', 'type', '2']",14207.0,+,2016.0
2,Renault Zoe LIFE CHARGE RAPIDE,10990.0,Courbevoie 92400,2015.0,11494.0,0174704406,pro,"['life', 'charge', 'rapide']",12424.0,-,2015.0
3,Renault Zoe ZEN CHARGE RAPIDE,10190.0,Valenton 94460,2014.0,17791.0,0176455461,pro,"['zen', 'charge', 'rapide']",11591.0,-,2014.0
4,Renault Zoe INTENS CHARGE RAPIDE TYPE 2,17100.0,Les Pavillons-sous-Bois 93320,2016.0,1000.0,0805805802,pro,"['intens', 'charge', 'rapide', 'type', '2']",14564.0,+,2016.0
5,Renault Zoe Life Type 2,21490.0,Villemomble 93250,2016.0,2000.0,0805805802,pro,"['life', 'type', '2']",13731.0,+,2016.0
6,Renault Zoe LIFE,11290.0,Paris 75015,2015.0,7569.0,0175448159,pro,['life'],12258.0,-,2015.0
7,Renault Zoe INTENS CHARGE RAPIDE TYPE 2,17100.0,Les Pavillons-sous-Bois 93320,2016.0,1000.0,0805805802,pro,"['intens', 'charge', 'rapide', 'type', '2']",14564.0,+,2016.0
8,Renault Zoe Life Type 2,21490.0,Villemomble 93250,2016.0,2000.0,0805805802,pro,"['life', 'type', '2']",13731.0,+,2016.0
9,Renault Zoe Life Type 2,13490.0,Paris 75012,2016.0,10.0,0182714652,pro,"['life', 'type', '2']",13731.0,-,2016.0
10,Renault Zoe Intens charge rapide Type 2,15490.0,Vitry-sur-Seine 94400,2016.0,3000.0,0805805802,pro,"['intens', 'charge', 'rapide', 'type', '2']",14564.0,+,2016.0
11,Renault Zoe ZEN,8990.0,Courbevoie 92400,2013.0,27689.0,0174704406,pro,"['zen', 'charge', 'rapide']",10456.0,-,2013.0
12,Renault Zoe Intens,9790.0,Orgeval 78630,2013.0,53800.0,0139754280,pro,"['intens', 'charge', 'rapide']",10639.0,-,2013.0
13,Renault Zoe LIFE CHARGE RAPIDE,11720.0,Versailles 78000,2015.0,11480.0,0175448151,pro,"['life', 'charge', 'rapide']",12424.0,-,2015.0
14,Renault Zoe Zen,16500.0,Trappes 78190,2016.0,6000.0,0184040214,pro,"['zen', 'gamme', '2017']",14708.0,+,2016.0
15,Renault Zoe Zen,13990.0,Brie-Comte-Robert 77170,2016.0,1.0,0160625056,pro,"['zen', 'gamme', '2017']",14708.0,-,2016.0
16,Renault Zoe ZEN MB 8,20000.0,Paris 75015,2016.0,100.0,0184030570,pro,"['zen', 'gamme', '2017']",14708.0,+,2016.0
