,Description,Marque,Prix_apres_resise,Remise,pct_remise
"Acer PC Portable - Aspire One AO1-131-C3UJ - 11,6""",,acer,230.0,0.0,0.0
"Acer PC Portable - Aspire ES1-731-C17K - 17,3"" HD+",,acer,349.0,250.0,41.736227045075125
"ACER PC Portable - Aspire ES1-522-234P - 15.6"" HD ",,acer,299.0,100.0,25.062656641604008
"Acer PC Portable 11,6"" Aspire One 1-131-C0A6 + 1 a",,acer,217.0,0.0,0.0
"Acer PC Portable - Aspire ES1-521-2682 - 15.6"" HD ",,acer,299.0,100.0,25.062656641604008
"Acer PC Portable - ES1-520-38FJ - 15,6'' HD - 4Go ",,acer,289.0,110.0,27.56892230576441
"Acer PC Portable Tactile 11,6"" Aspire R3-131T-C8J8",,acer,349.0,150.0,30.060120240480963
Acer PC de bureau Aspire TC-215,,acer,427.0,0.0,0.0
"ACER PC Portable - Aspire E5-523G-907K - 15.6"" HD ",,acer,499.0,50.0,9.107468123861565
"ACER PC Portable - Aspire ES1-522-20BF - 15,6'' HD",,acer,299.0,100.0,25.062656641604008
ACER PC Portable Aspire ES1-522-20BF + Office 365 ,,acer,299.0,0.0,0.0
Acer PC Portable + Office 365 Personnel - ES1-520-,,acer,319.0,149.0,31.837606837606835
Acer PC Portable Gamer - Aspire V Nitro - V5-591G-,,acer,749.0,150.0,16.68520578420467
"ACER PC Portable - Aspire V3-372-570P - 13.3"" HD -",,acer,649.0,50.0,7.1530758226037205
Acer PC Portable Gamer - Aspire VN7-792G-55UA - 17,,acer,924.0,0.0,0.0
"ACER PC Portable - Aspire ES1-571-52MF - 15.6"" HD ",,acer,499.0,100.0,16.69449081803005
"Acer PC Portable Gamer - VN7-592G-76XK - 15,6'' Fu",,acer,999.0,300.0,23.094688221709006
Acer PC Portable Aspire ES1-331-C8A1,,acer,413.0,192.25,31.763733994217265
Acer PC Portable Gamer - Aspire V Nitro VN7-792G-7,,acer,1099.0,200.0,15.396458814472672
"Acer PC Portable Gris - Aspire E5-773G-71CJ - 17,3",,acer,749.0,250.0,25.025025025025027
"Acer PC Portable - E5-772G-3429 - 17,3'' HD+ - 8Go",,acer,579.0,120.0,17.167381974248926
Acer PC Portable Gamer - Aspire VN7-592G-54TY - 15,,acer,899.0,100.0,10.01001001001001
ACER PC Portable - Aspire S5-371-565N - 13.3'' Ful,,acer,799.0,100.0,11.123470522803114
ACER Ordinateur portable 15.6 I3 4Go 1To GT820M Wi,,acer,499.0,0.0,0.0
"Acer PC Portable 13,3"" Aspire ES1-331-C6SR",,acer,337.0,0.0,0.0
"Acer PC Portable - Aspire E5-772-34BM - 17,3"" HD+ ",,acer,566.0,0.0,0.0
PC portable Acer Aspire ES1-331-C0P4,,acer,333.0,0.0,0.0
"Acer PC Portable - F5-571G-32FW - 15,6'' HD - 4Go ",,acer,499.0,150.0,23.112480739599384
"Acer PC Portable - E5-573G-35DM -  15,6'' HD - 4Go",,acer,499.0,100.0,16.69449081803005
"ACER PC Portable - Aspire ES1-571-39GE - 15.6"" HD ",,acer,399.0,100.0,20.04008016032064
Acer PC Portable Blanc/Noir - Aspire E5-772G-50RW ,,acer,796.0,239.67000000000007,23.14154122452133
Acer PC Portable Gamer - Aspire VN7-572G-567Z - 15,,acer,804.0,0.0,0.0
"ACER PC Portable - Aspire ES1-571-32FN - 15.6"" HD ",,acer,399.0,100.0,20.04008016032064
5.5x1.7mm DC Power Chargeur Plug Câble Connecteur ,,acer,2.0,4.0,66.66666666666666
Universal Auto-Chargeur pour Ordinateur Portable P,,acer,16.0,9.0,36.0
PC Portable Acer Emachine E525 Windows ,,acer,190.0,0.0,0.0
"PC ACER 14 "" Led Lcd (ES1-431-C0A5)  Intel Celeron",,acer,247.0,52.0,17.391304347826086
Ordinateur portable Acer Aspire ES1-521-27SE,,acer,267.0,0.0,0.0
"Acer PC Portable Aspire ES1-520-33WH - 15,6"" HD - ",,acer,266.0,0.0,0.0
PC portable Acer Aspire ES1-520-311F,,acer,288.0,0.0,0.0
PC portable Acer Aspire ES1-520-36B4,,acer,299.0,0.0,0.0
PC portable Acer Aspire Switch 10 rose,,acer,344.0,0.0,0.0
PC ACER 14 W LED Lcd  Intel Celeron 3050- 2 GB - 5,,acer,327.0,0.0,0.0
"PC Portable -  ES1-520 Acer 15.6 ""TFT LCD 8 Go DDR",,acer,429.0,0.0,0.0
"PC Portable - Acer Extensa 2511G 15.6""",,acer,442.0,0.0,0.0
Ordinateur portable hybride ACER Aspire Switch SW5,,acer,470.0,0.0,0.0
PC portable Acer Aspire VN7-572G-53B2,,acer,846.0,0.0,0.0
Acer PC Portable Gamer Aspire VN7-592G-54TY + Mane,,acer,926.0,0.0,0.0
Acer PC Portable Gamer - Aspire V Nitro VN7-592G-5,,acer,1029.0,270.0,20.785219399538107
ACER PC Portable Gamer Aspire VN7-791G-576F black,,acer,1243.0,0.0,0.0
Ordinateur portable - Acer Aspire VN7-792G-78M1,,acer,1335.0,0.0,0.0
PC portable gamer ACER Predator G9-791-559P,,acer,1568.0,0.0,0.0
Ordinateur portable ACER Aspire V Nitro VN7-791G-7,,acer,1574.0,0.0,0.0
PC portable gamer ACER Predator G9-591-50D1,,acer,1792.0,7.0,0.38910505836575876
PC portable gamer ACER Predator G9-792-710S,,acer,2001.0,0.0,0.0
Ordinateur portable ACER W10 Predator G9-791-73P8,,acer,2249.0,0.0,0.0
PC portable gamer ACER Predator G9-791-730K,,acer,2542.0,0.0,0.0
Alimentation d'ordinateur acer pc-ap7900,,acer,44.0,0.0,0.0
Alimentation d'ordinateur acer pc-ab7810,,acer,44.0,0.0,0.0
Alimentation d'ordinateur acer pc-ap7200,,acer,44.0,0.0,0.0
Acer PC de Bureau - Aspire TC-220 - 8Go de RAM - W,,acer,499.0,150.0,23.112480739599384
Acer PC de Bureau - Aspire XC-710 - 4Go RAM - Wind,,acer,479.0,120.0,20.03338898163606
Acer PC Portable Convertible Blanc - Switch SW3-01,,acer,277.0,0.0,0.0
"Acer PC 2 en 1 - Switch S1002-122P - 10,1"" HD IPS ",,acer,231.0,58.04000000000002,20.08026570716856
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 2Go DD,,acer,249.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 2Go DD,,acer,259.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 4Go DD,,acer,269.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 2Go DD,,acer,269.0,0.0,0.0
Acer PC Portable Convertible Bleu Océan - Switch S,,acer,268.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 4Go DD,,acer,279.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 4Go DD,,acer,289.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 2Go DD,,acer,289.0,0.0,0.0
Lot PC ACER M410 Tour Athlon X2 4400 2.2Ghz 4Go DD,,acer,309.0,0.0,0.0
Acer PC Portable Convertible Bleu Océan - Switch S,,acer,338.0,0.0,0.0
Ecran PC pro ACER CB241HYK,,acer,397.0,2.0,0.5012531328320802
Ordinateur tout en un ACER Aspire Z3-605,,acer,441.0,411.0,48.23943661971831
Ordinateur tout en un ACER W10 Z1-623-005,,acer,459.0,0.0,0.0
Ecran PC gamer ACER Predator Z271 Curved,,acer,566.0,33.0,5.509181969949917
Ordinateur tout en un ACER Z3-711-006,,acer,691.0,8.0,1.144492131616595
PC Tout-en-un Acer Aspire U5-710-002,,acer,699.0,0.0,0.0
Ordinateur tout en un ACER Z3-710-006,,acer,788.0,11.0,1.376720901126408
PC/TABLETTE convertible ACER 10.1 Led  - Atom  2GB,,acer,878.0,0.0,0.0
"Pack ACER PC de Bureau Aspire XC-704 + Ecran 21,5""",,acer,430.0,0.0,0.0
"Pack ACER PC de Bureau Aspire TC-220 + Ecran 21,5""",,acer,599.0,0.0,0.0
Acer PC Gamer - Aspire T3-715 - 8Go de RAM - Windo,,acer,749.0,250.0,25.025025025025027
"Pack ACER PC de Bureau Aspire XC-710 + Ecran 21,5""",,acer,549.0,0.0,0.0
Acer PC de Bureau - Aspire XC-710 - 6Go de RAM - W,,acer,549.0,100.0,15.408320493066254
Acer PC de Bureau - Aspire T3-710 - 4Go de RAM - W,,acer,649.0,150.0,18.773466833541928
"Pack ACER PC de Bureau Aspire XC-710 + Ecran 21,5""",,acer,600.0,0.0,0.0
"Pack ACER PC de Bureau Aspire T3-710 + Ecran 21,5""",,acer,750.0,0.0,0.0
Acer PC de Bureau - Aspire TC-710 - 4Go de RAM - W,,acer,549.0,150.0,21.45922746781116
Acer PC de Bureau - Aspire XC-217 - 4Go de RAM - W,,acer,289.0,110.0,27.56892230576441
PC ACER Veriton M421G Tour Athlon X2 4850B 2.5Ghz ,,acer,209.0,0.0,0.0
Marchelec 12V1A Adaptateur Tablet PC Chargeur pour,,acer,8.0,0.0,0.0
Ralink Rt5390 150 Mbps Half Mini Pcie Pci - Expres,,acer,16.0,15.989999999999998,49.98437011566114
2ème 2.5'' HDD SSD Adaptateur de Caddy Disque dur ,,acer,9.0,0.0,0.0
PC ACER Veriton M421G Tour Athlon X2 4850B 2.5Ghz ,,acer,249.0,0.0,0.0
"LENOVO PC Gamer H50-50 + Ecran ACER 21,5"" Full HD ",,acer,599.0,0.0,0.0
"Pack ACER PC de Bureau Aspire XC-217 + Ecran 21,5""",,acer,350.0,0.0,0.0
PC ACER Veriton M421G Tour Athlon X2 4850B 2.5Ghz ,,acer,279.0,0.0,0.0
Ordinateur ACER Revo Build M1-601-001,,acer,223.0,0.0,0.0
PC ACER Veriton M421G Tour Athlon X2 4850B 2.5Ghz ,,acer,169.0,0.0,0.0
PC ACER Veriton M420 Tour Athlon X2 4850B 2.5Ghz 2,,acer,129.0,40.900000000000006,24.072984108299003
"Dalle Ecran 15.6"" LED pour ordinateur portable ACE",,acer,56.0,0.0,0.0
BALTAZAR ACCESS  ADAPTATEUR AUDIO JACK CASQUE ECOU,,acer,3.0,16.99,84.99249624812406
Câble De Synchronisation Et Chargement USB Pour Ac,,acer,4.0,0.0,0.0
"Micro HDMI mâle 1,5M plaqué or vers Pour Acer 8.1'",,acer,6.0,0.0,0.0
Casque rouge-noir pour PC Acer Aspire E3-112-C9WF,,acer,16.0,0.0,0.0
Casque gris-noir pour PC Acer Aspire E3-112-C9WF,,acer,16.0,0.0,0.0
Ordinateur Portable Ventilateur De Refroidissement,,acer,17.0,11.170000000000002,39.65211217607384
 Processeur D'Ordinateur Portable Ventilateur Pour,,acer,17.0,9.96,36.94362017804155
100%  Ventilateur D'Ordinateur Portable Pour Acer ,,acer,18.0,9.39,34.28258488499453
