,Description,Marque,Prix_apres_resise,Remise,pct_remise
"ASUS PC Portable F554LJ-XX1376T blanc 15.6"" - Wind",,asus,619.0,80.0,11.444921316165951
"ASUS PC Portable L200HA-FD0072T blanc 11.6"" - 2Go ",,asus,209.0,40.0,16.06425702811245
ASUS X540SA-XX096T ,,asus,409.0,0.0,0.0
"ASUS PC Portable F751LAV-TY596T blanc 17.3"" - 4Go ",,asus,429.0,120.0,21.85792349726776
"ASUS PC Tout-en-Un ET2032IUK-BC018X 19.5"" Full HD ",,asus,399.0,100.0,20.04008016032064
"ASUS PC Portable X555LA-XX3000T 15.6"" - 4Go RAM - ",,asus,399.0,100.0,20.04008016032064
"ASUS PC Portable L200HA-FD0022TS 11.6"" - 2Go RAM -",,asus,199.0,50.0,20.080321285140563
"ASUS PC Portable F751SA-TY119T 17.3"" - 4Go de RAM ",,asus,399.0,100.0,20.04008016032064
ASUS EeeBook PC Portable F205TA-FD0063TS 11.6 - 2G,,asus,499.0,0.0,0.0
"ASUS PC Portable E202SA-FD0016T blanc 11.6"" - 4Go ",,asus,390.0,0.0,0.0
ASUS EeeBook PC Portable L402SA-WX070T + Office 36,,asus,299.0,0.0,0.0
"ASUS ROG PC GAMER GL552VW-DM141T 15.6"" - 8Go de RA",,asus,999.0,50.0,4.7664442326024785
"ASUS PC Portable F751SA-TY122T 17.3"" - 4Go de RAM ",,asus,459.0,0.0,0.0
"ASUS PC Portable EeeBook E402SA-WX216T blanc 14"" -",,asus,399.0,100.0,20.04008016032064
"ASUS PC Portable R301LJ-FN105T 13.3"" - 4Go de RAM ",,asus,549.0,100.0,15.408320493066254
"ASUS PC Portable X206HA-FD0020TS blanc 11.6"" - 2Go",,asus,219.0,10.0,4.366812227074235
"ASUS PC Portable UX501VW-FY102T 15.6"" - 16Go de RA",,asus,1499.0,200.0,11.771630370806356
"ASUS ROG PC Portable GAMER GL742VW-T4411T 17,3"" - ",,asus,999.0,150.0,13.054830287206268
"ASUS PC Portable Gamer R753UW-T4002T 17.3"" - 8Go d",,asus,999.0,200.0,16.680567139282733
"ASUS ROG PC Portable Gamer GL742VW-T4127T 17,3' - ",,asus,899.0,168.8900000000001,15.81529932858254
"ASUS PC Portable Gamer FX550VX-DM255T 15.6"" - 6Go ",,asus,699.0,100.0,12.51564455569462
Asus ZenBook PC Portable UX305CA-DQ060T tactile 13,,asus,799.0,100.0,11.123470522803114
"ASUS PC Portable K501UX-DM140T 15.6"" - 8Go de RAM ",,asus,891.0,158.0,15.061963775023832
