,Marque,Modele de PC,Promo en €
0,HP,"HP PC Portable 15-ay017nf- Noir - 15;6""- 4Go - Win",99.0
1,HP,ORDINATEUR PORTABLE HP ELITEBOOK 8570W INTEL CORE ,1091.0
2,HP,"HP PC Portable 17-x004nf - Argent - 17;3""- 4Go-Win",129.0
3,HP,"HP PC Portable 17-x035nf -Blanc - 17;3""- 4Go- Wind",69.0
4,HP,"HP PC Portable - 15-ay008nf - Blanc - 15;6"" - 4Go ",149.0
5,HP,"HP PC Portable 14-am023nf- Noir-14"" - 4Go de RAM -",130.0
6,HP,"HP Portable Pavilion 17-g189nf - 17;3""- RAM 12Go -",259.0
7,HP,"HP Ordinateur portable 14-am023nf  - 14"" - 4Go de ",99.0
8,HP,"HP PC Portable 17-x035nf -Blanc - 17;3""- 4Go- Wind",98.0
9,HP,Hp Compaq 6910p - Windows XP - C2D 2GB 80GB - 15.4,100.0
10,HP,PC HP Ordinateur Portable HP 8440P Intel Core i5 2,110.0
11,HP,HP Compaq 6550b -  Windows 7 - i5 4GB 250 GB - 15.,81.0
12,HP,"Hp Compaq Nc6120 - Windows XP - PM 1GB 40GB - 14"" ",0.0
13,HP,Hp Compaq Nc6320 - Windows XP - U1400 1GB 60GB - 1,0.0
14,HP,HP EliteBook 8440p - Ordinateur Pc Portable Occ...,70.0
15,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
16,HP,PC HP Ordinateur Portable HP 8440P Intel Core i5 2,0.0
17,HP,Hp EliteBook 2560p - Windows 7 - i5 4GB 320GB - 12,168.0
18,HP,Hp EliteBook 2570p - Windows 7 - i5 4GB 160GB - 12,224.0
19,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
20,HP,Hp EliteBook 2560p - Windows 7 - i7 4GB 320GB - 12,224.0
21,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
22,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
23,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
24,HP,"HP PC Portable 15-ay017nf- Noir - 15;6""- 4Go - Win",99.0
25,HP,ORDINATEUR PORTABLE HP ELITEBOOK 8570W INTEL CORE ,1091.0
26,HP,"HP PC Portable 17-x004nf - Argent - 17;3""- 4Go-Win",129.0
27,HP,"HP PC Portable 17-x035nf -Blanc - 17;3""- 4Go- Wind",69.0
28,HP,"HP PC Portable - 15-ay008nf - Blanc - 15;6"" - 4Go ",149.0
29,HP,"HP PC Portable 14-am023nf- Noir-14"" - 4Go de RAM -",130.0
30,HP,"HP Portable Pavilion 17-g189nf - 17;3""- RAM 12Go -",259.0
31,HP,"HP Ordinateur portable 14-am023nf  - 14"" - 4Go de ",99.0
32,HP,"HP PC Portable 17-x035nf -Blanc - 17;3""- 4Go- Wind",98.0
33,HP,Hp Compaq 6910p - Windows XP - C2D 2GB 80GB - 15.4,100.0
34,HP,PC HP Ordinateur Portable HP 8440P Intel Core i5 2,110.0
35,HP,HP Compaq 6550b -  Windows 7 - i5 4GB 250 GB - 15.,81.0
36,HP,"Hp Compaq Nc6120 - Windows XP - PM 1GB 40GB - 14"" ",0.0
37,HP,Hp Compaq Nc6320 - Windows XP - U1400 1GB 60GB - 1,0.0
38,HP,HP EliteBook 8440p - Ordinateur Pc Portable Occ...,70.0
39,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
40,HP,PC HP Ordinateur Portable HP 8440P Intel Core i5 2,0.0
41,HP,Hp EliteBook 2560p - Windows 7 - i5 4GB 320GB - 12,168.0
42,HP,Hp EliteBook 2570p - Windows 7 - i5 4GB 160GB - 12,224.0
43,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
44,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
45,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
46,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
47,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
48,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB - 14,0.0
49,HP,Hp EliteBook 2560p - Windows 7 - i7 4GB 320GB - 12,224.0
50,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 320GB - 14,0.0
51,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 120GB SSD ,0.0
52,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 320GB - 14,0.0
53,HP,Hp EliteBook 2560p - Windows 7 - i7 4GB 320GB - 12,0.0
54,HP,Hp EliteBook 2540p - Windows 7 - i5 4GB 250GB - 12,43.0
55,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 500GB - 14,0.0
56,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 250GB SSD ,0.0
57,HP,HP EliteBook 8440p - Windows 7 - i5 4GB 500GB - 14,0.0
58,HP,HP Compaq 6550b Windows 7 - Ordinateur Portable PC,0.0
59,HP,Hp EliteBook 2560p - Windows 7 - i7 4GB 320GB - 12,0.0
60,HP,HP Compaq 6550b -  Windows 7 - i5 4GB 500GB - 15.6,0.0
61,HP,HP EliteBook 8560p - Windows 7 - i5 4GB 250GB - HD,281.0
62,HP,Hp EliteBook 2540p - Windows 7 - i5 8GB 250GB - 12,49.0
63,HP,HP EliteBook 8560p - Windows 7 - i5 4GB 320GB - HD,281.0
64,HP,HP EliteBook 8560p - Windows 7 - i5 4GB 500GB - HD,281.0
65,HP,Hp EliteBook Workstation 8570w - Windows 7 - i7 32,224.0
66,HP,Hp EliteBook Workstation 8570w - Windows 7 - i7 32,224.0
67,HP,HP EliteBook 8560p - Windows 7 - i5 4GB 500GB - HD,72.0
68,HP,Hp EliteBook 2570p - Windows 7 - i5 8GB 256GB SSD ,0.0
69,HP,HP ELITEBOOK 755 G2 NOTEBOOK PC ORDINATEUR PORT…,590.0
70,HP,HP Ordinateur portable 17-x008nf- 17.3-4Go de RAM ,149.0
71,HP,"Pc portable HP 255 G5 - 15.6"" - série E2 7110 - 4 ",0.0
72,HP,HP PC Portable - Notebook - 11r006nf - Bleu - RAM ,99.0
73,HP,HP Ordinateur portable 17-x045nf- 17.3-8Go de RAM ,99.0
74,HP,'HP PC Portable Pavilion - 17-g146nf - 17'''' HD+ - 4',139.0
75,HP,HP Ordinateur portable 17-x055nf- 17.3-4Go de RAM ,129.0
76,HP,"HP Ordinateur portable 12-b101nf x2- 12"" - 4Go de ",199.0
77,HP,"HP PC Portable - Notebook  15ac135nf -  15;6"" - RA",116.0
78,HP,HP PC Portable - 11r008nf - RAM 2Go - Windows 10 -,69.0
