,user name,number of repositories,number of stars,mean stars per repo
0,GrahamCampbell,24,2416,100.66666666666667
1,fabpot,42,3196,76.0952380952381
2,weierophinney,72,3360,46.666666666666664
3,rkh,102,4267,41.833333333333336
4,josh,132,6116,46.333333333333336
5,SamyPesse,162,22304,137.679012345679
6,rstacruz,192,23245,121.06770833333333
7,tmm1,222,24026,108.22522522522523
8,michalbe,252,24188,95.98412698412699
9,andrew,282,24315,86.22340425531915
10,Ocramius,312,24446,78.3525641025641
11,c9s,342,24612,71.96491228070175
12,steipete,372,38927,104.64247311827957
13,feross,402,41140,102.33830845771145
14,afc163,432,41217,95.40972222222223
15,ornicar,462,41495,89.81601731601732
16,afollestad,484,55255,114.16322314049587
17,KrauseFx,514,55450,107.87937743190662
18,tmcw,544,56784,104.38235294117646
19,bevacqua,574,57578,100.31010452961672
20,mikermcneil,604,57632,95.41721854304636
21,taylorotwell,605,57700,95.37190082644628
22,phodal,635,61863,97.42204724409449
23,gdi2290,665,61896,93.07669172932331
24,benbalter,695,62222,89.52805755395683
25,dcramer,725,64130,88.45517241379311
26,HugoGiraudel,755,66581,88.18675496688742
27,mrmrs,785,74326,94.6828025477707
28,hadley,815,75966,93.20981595092024
29,alex,845,76099,90.05798816568047
30,mbostock,875,76830,87.80571428571429
31,atmos,905,77874,86.04861878453039
32,DataTables,935,82245,87.96256684491979
33,yyx990803,965,82419,85.40829015544041
34,kevinsawicki,995,82611,83.02613065326634
35,mdo,1025,95446,93.11804878048781
36,jonathanong,1055,96025,91.01895734597156
37,nvie,1085,96237,88.69769585253457
38,JedWatson,1115,100729,90.33991031390134
39,michaelklishin,1145,101202,88.38602620087336
40,orta,1175,102839,87.52255319148937
41,frsyuki,1205,102976,85.45726141078838
42,steveklabnik,1235,103145,83.51821862348179
43,josegonzalez,1265,103372,81.71699604743083
44,josephmisiti,1295,121097,93.5111969111969
45,nicolasgramlich,1325,125110,94.42264150943396
46,zcbenz,1352,127262,94.12869822485207
47,pippinsplugins,1382,127452,92.22286541244573
48,robrix,1412,127841,90.53895184135978
49,parkr,1442,128062,88.80859916782246
50,paulcbetts,1472,128217,87.1039402173913
51,jdalton,1486,128410,86.41318977119785
52,markstory,1516,129405,85.35949868073878
53,donnemartin,1540,154755,100.49025974025975
54,dsyer,1570,154789,98.59171974522293
55,mgechev,1600,162540,101.5875
56,radar,1630,165346,101.43926380368099
57,JakeWharton,1660,193003,116.26686746987951
58,jverkoey,1690,202567,119.8621301775148
59,josevalim,1720,207404,120.58372093023256
60,gaearon,1750,208570,119.18285714285715
61,nixzhu,1780,214977,120.77359550561798
62,kripken,1810,228651,126.32651933701658
63,joshaber,1840,230632,125.34347826086956
64,suissa,1870,230837,123.44224598930481
65,geerlingguy,1900,232197,122.20894736842105
66,stefanpenner,1930,232226,120.32435233160622
67,springmeyer,1960,232550,118.64795918367346
68,dlew,1990,233769,117.4718592964824
69,EisenbergEffect,1993,233810,117.31560461615655
70,numbbbbb,2023,234541,115.93722194760257
71,vladikoff,2053,234620,114.28153921091086
72,rafaelfranca,2083,234644,112.64714354296687
73,paulmillr,2113,242115,114.58353052531945
74,Raynos,2143,242347,113.08772748483435
75,zenorocha,2173,266699,122.7330878969167
76,Urigo,2203,270887,122.96277802995915
77,remy,2233,271722,121.6847290640394
78,overtrue,2263,276060,121.98851082633672
79,eduardolundgren,2293,276601,120.6284343654601
80,davidsonfellipe,2323,282455,121.59061558329746
81,notwaldorf,2353,284555,120.93285167870803
82,JaviSoto,2383,284650,119.45027276542174
83,dominictarr,2413,284791,118.02362204724409
84,substack,2443,285480,116.85632419156775
85,ashfurrow,2473,286482,115.84391427416094
86,kylef,2503,288227,115.15261685976827
87,yiminghe,2533,288982,114.08685353335966
88,soffes,2563,290157,113.2099102614124
89,mattdesl,2593,290437,112.00809872734284
90,willdurand,2623,292995,111.702249332825
91,jedisct1,2653,294833,111.13192612137203
92,cvrebert,2683,295270,110.05218039508013
93,soyjavi,2713,295438,108.8971618134906
94,technoweenie,2743,297875,108.59460444768501
95,brianleroux,2773,298005,107.46664262531554
96,Seldaek,2803,298118,106.35676061362825
97,barretlee,2833,299637,105.76667843275679
98,rauchg,2863,301077,105.16136919315403
99,mitsuhiko,2893,302402,104.52886277220878
100,indutny,2923,303428,103.807047553883
101,CamDavidsonPilon,2953,315069,106.69454791737216
102,sahat,2983,315164,105.6533690915186
103,mafintosh,3013,316280,104.97178891470296
104,kytrinyx,3043,316703,104.07591192901742
105,staltz,3073,317194,103.21965506020176
106,jeremy,3103,317252,102.24041250402836
107,FezVrasta,3133,334502,106.76731567187998
108,yihui,3163,336663,106.43787543471387
109,fzaninotto,3193,348392,109.11118070779831
110,ai,3223,353747,109.75705864101768
111,jnunemaker,3253,356246,109.5130648632032
112,liu21st,3258,356825,109.52271332105586
113,zilongshanren,3288,356998,108.57603406326034
114,Shougo,3318,366323,110.4047619047619
115,soumith,3348,369266,110.29450418160096
116,dougwilson,3377,369444,109.40005922416346
117,tomchristie,3407,378494,111.09304373348988
118,arunoda,3437,378607,110.1562409077684
119,madskristensen,3467,378888,109.28410729737526
120,mrdoob,3497,415362,118.77666571346869
121,ericholscher,3527,415806,117.89225971080238
122,pedrovgs,3557,428289,120.40736575766095
123,kentcdodds,3587,428770,119.53442988569836
124,mikepenz,3617,435161,120.30992535250208
125,ashleygwilliams,3647,435277,119.35207019468056
126,mathiasbynens,3677,435485,118.43486537938537
127,bbatsov,3707,438065,118.1723765848395
128,muan,3737,440431,117.85683703505485
129,brentvatne,3767,440500,116.93655428723122
130,mitchellh,3797,445637,117.36555175138267
131,weaverryan,3827,445657,116.45074470864907
132,jgm,3857,451224,116.98833290121857
133,ddollar,3887,451444,116.14201183431953
134,jakiestfu,3917,461336,117.77789124329844
135,pkrumins,3947,461839,117.01013427919939
136,mattn,3977,462292,116.24138798089012
137,Unknwon,4007,467850,116.75817319690542
138,ebidel,4037,471736,116.85310874411692
139,samdark,4067,471898,116.03098106712565
140,alloy,4097,472340,115.28923602636075
141,jamesward,4127,472393,114.46401744608674
142,indragiek,4157,476333,114.58575896078904
143,tokuhirom,4187,476539,113.81394793408168
144,schwa,4217,481386,114.15366374199668
145,thomasdavis,4247,485732,114.37061455144809
146,curran,4277,485779,113.57937806873977
147,amasad,4307,485796,112.79219874622707
148,torvalds,4310,526239,122.09721577726218
149,drnic,4340,526646,121.34700460829492
150,leafo,4370,527171,120.63409610983982
151,rwaldron,4400,527200,119.81818181818181
152,benjamn,4430,527566,119.08939051918736
153,Caged,4460,528476,118.49237668161435
154,jessesquires,4490,540899,120.46748329621381
155,chjj,4520,557892,123.42743362831858
156,mcollina,4550,558529,122.75362637362637
157,mjackson,4580,558956,122.04279475982533
158,swannodette,4610,559404,121.34577006507593
159,tqchen,4624,560319,121.17625432525952
160,simurai,4654,560950,120.53072625698324
161,jlord,4684,561318,119.83731853116994
162,domenic,4714,562659,119.35914297836233
163,marijnh,4744,565011,119.10012647554807
164,appleboy,4774,565046,118.35902806870548
165,vhf,4804,565054,117.62156536219817
166,sferik,4834,565526,116.98924286305338
167,QuincyLarson,4860,565650,116.38888888888889
168,prakhar1989,4890,584380,119.50511247443762
169,angusshire,4897,585788,119.62180927098224
170,nzakas,4927,590799,119.91049320073067
171,kittens,4957,590857,119.19648981238653
172,StephenGrider,4987,591296,118.56747543613395
173,thejameskyle,5017,591386,117.87642017141718
174,kriskowal,5047,591739,117.24569050921339
175,kevva,5077,592325,116.66830805593855
176,gorhill,5097,603505,118.40396311555817
177,creationix,5127,603811,117.7708211429686
178,hemanth,5157,604347,117.18964514252472
179,ibdknox,5187,604995,116.63678426836321
180,chenglou,5217,605159,115.99750814644432
181,ChenYilong,5247,619622,118.09071850581284
182,ericelliott,5277,628683,119.13644115974986
183,Haacked,5307,629179,118.55643489730545
184,ekmett,5337,629703,117.98819561551433
185,davecheney,5367,629878,117.36128190795603
186,kazuho,5397,630092,116.7485640170465
187,rdegges,5427,631535,116.36908052330938
188,shiffman,5457,632116,115.83580722008429
189,tylermcginnis,5487,632282,115.2327319117915
190,apotonick,5517,636355,115.34439006706543
191,lihaoyi,5547,643312,115.9747611321435
192,chrisjenx,5577,649529,116.46566254258562
193,aaronpk,5607,649679,115.86927055466381
194,evanw,5637,652351,115.72662763881497
195,purcell,5667,652503,115.14081524616199
196,leebyron,5697,653208,114.6582411795682
197,agentzh,5727,654160,114.22385192945696
198,jskeet,5749,654489,113.84397286484607
199,samuelclay,5771,659147,114.21712008317449
200,maxogden,5801,665495,114.72073780382692
201,samccone,5831,665510,114.13308180415024
202,swankjesse,5837,665546,114.02192907315401
203,jamesmontemagno,5867,665801,113.48235895687745
204,jiyinyiyong,5897,665818,112.90791928099033
205,mourner,5927,666576,112.4643158427535
206,drakeet,5957,670909,112.62531475574954
207,wbond,5987,676729,113.03307165525305
208,jennschiffer,6017,676948,112.50589995014127
209,willianjusten,6047,681155,112.6434595667273
210,tekkub,6068,681552,112.31905075807515
211,kohsuke,6098,682241,111.87946867825517
212,passy,6128,684264,111.66187989556136
213,gitster,6134,684779,111.63661558526248
214,stof,6164,684808,111.0979883192732
215,ankane,6194,688136,111.09719082983533
216,ericdouglas,6224,688852,110.676735218509
217,hueniverse,6244,692512,110.90839205637413
218,olivergierke,6274,692814,110.42620337902454
219,kishikawakatsumi,6304,696640,110.50761421319797
220,balupton,6334,696908,110.0265235238396
221,jamztang,6364,700030,109.99842866121936
222,be5invis,6394,701527,109.71645292461683
223,grp,6423,702083,109.30764440292698
224,mjhea0,6453,702163,108.8118704478537
225,ammeep,6480,702344,108.38641975308641
226,kartik-v,6510,705578,108.38371735791091
227,SamSaffron,6540,706148,107.9737003058104
228,weavejester,6570,707684,107.7144596651446
229,cyanogen,6586,707798,107.47008806559369
230,AllenDowney,6616,708057,107.02191656590085
231,mariotaku,6646,708198,106.56003611194704
232,webmozart,6676,709273,106.24221090473337
233,cheeaun,6706,709641,105.82180137190575
234,sebastianbergmann,6736,715201,106.17592042755345
235,addyosmani,6766,726891,107.43289979308307
236,rasbt,6796,737579,108.53134196586227
237,azat-co,6826,738926,108.25168473483738
238,davidfowl,6856,739397,107.84670361726954
239,fnando,6886,741252,107.64623874528029
240,macournoyer,6916,742149,107.308993637941
241,robdodson,6946,742573,106.9065649294558
242,toddmotto,6976,754514,108.15854357798165
243,paulirish,7006,755922,107.8963745361119
244,juliangruber,7036,756193,107.47484366117112
245,bkeepers,7066,761086,107.7110104726861
246,mli,7085,761116,107.42639378969655
247,walkor,7115,766718,107.76078706957132
248,zpao,7145,766763,107.3146256123163
249,una,7175,771081,107.46773519163763
250,tj,7205,780858,108.37723802914643
251,johnpapa,7235,804850,111.24395300621977
252,amueller,7265,805142,110.82477632484515
253,AdamBien,7295,805967,110.48211103495545
254,akrabat,7325,806157,110.05556313993173
