Lieu	N° région, département	Série	Unité	1999	2007	2012
AIN	01	LO02Nombre total de résidences principales (p)	Nombre	199063.0	231163.0	251298.0
AIN	01	LO02Résidences principales type maison (p)	Nombre	130409.0	150316.0	163991.0
AIN	01	LO02Résidences principales type appartement (p)	Nombre	63397.0	79146.0	85944.0
AIN	01	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	5257.0	1700.0	1363.0
AIN	01	LO02Résidences principales de 1 pièce (p)	Nombre	6897.0	6265.0	6898.0
AIN	01	LO02Résidences principales de 2 pièces (p)	Nombre	19234.0	20215.0	22502.0
AIN	01	LO02Résidences principales de 3 pièces (p)	Nombre	38287.0	40674.0	43672.0
AIN	01	LO02Résidences principales de 4 pièces (p)	Nombre	58186.0	62719.0	67622.0
AIN	01	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	76459.0	101290.0	110603.0
AIN	01	LO02Nombre de pièces des résidences principales (p)	Nombre	828161.0	1004671.0	1093983.0
AIN	01	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	611654.0	747685.0	820900.0
AIN	01	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	200279.0	253596.0	270394.0
AIN	01	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	116035.0	142721.0	156761.0
AIN	01	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	74878.0	83080.0	89456.0
AIN	01	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	32476.0	33652.0	35617.0
AIN	01	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	8150.0	5362.0	5081.0
AIN	01	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	63947.0	ND
AIN	01	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	50692.0	ND
AIN	01	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	58865.0	ND
AIN	01	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	47611.0	ND
AIN	01	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	221114.0	ND
AIN	01	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	59193.0
AIN	01	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	115092.0
AIN	01	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	67481.0
AIN	01	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	241765.0
AISNE	02	LO02Nombre total de résidences principales (p)	Nombre	205942.0	219876.0	227203.0
AISNE	02	LO02Résidences principales type maison (p)	Nombre	157018.0	168415.0	173544.0
AISNE	02	LO02Résidences principales type appartement (p)	Nombre	43405.0	50159.0	52671.0
AISNE	02	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	5519.0	1302.0	987.0
AISNE	02	LO02Résidences principales de 1 pièce (p)	Nombre	5280.0	4944.0	5177.0
AISNE	02	LO02Résidences principales de 2 pièces (p)	Nombre	17458.0	16959.0	17135.0
AISNE	02	LO02Résidences principales de 3 pièces (p)	Nombre	41700.0	39648.0	40510.0
AISNE	02	LO02Résidences principales de 4 pièces (p)	Nombre	62663.0	62232.0	63350.0
AISNE	02	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	78841.0	96092.0	101031.0
AISNE	02	LO02Nombre de pièces des résidences principales (p)	Nombre	865964.0	964310.0	1001157.0
AISNE	02	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	712918.0	804722.0	836498.0
AISNE	02	LO02Nombre de pièces des résidences principales type appartement (p)	Nombre	135234.0	157185.0	162616.0
AISNE	02	LO02Nombre de résidences principales occupées par propriétaires (p)	Nombre	125847.0	137583.0	141060.0
AISNE	02	LO02Nombre de résidences principales occupées par locataires (p)	Nombre	72269.0	77183.0	81681.0
AISNE	02	LO02Nombre de résidences principales HLM louées vides (p)	Nombre	34435.0	35434.0	36250.0
AISNE	02	LO02Nombre de résidences principales occupées gratuitement (p)	Nombre	7826.0	5110.0	4462.0
AISNE	02	LO02Nombre de résidences principales construites avant 1949 (p)	Nombre	ND	102012.0	ND
AISNE	02	LO02Nombre de résidences principales construites de 1949 à 1974 (p)	Nombre	ND	56754.0	ND
AISNE	02	LO02Nombre de résidences principales construites de 1975 à 1989 (p)	Nombre	ND	39117.0	ND
AISNE	02	LO02Nombre de résidences principales construites de 1990 à 2004 (p)	Nombre	ND	17874.0	ND
AISNE	02	LO02Nombre de résidences principales construites avant 2005 (p)	Nombre	ND	215758.0	ND
AISNE	02	LO02Nombre de résidences principales construites avant 1946 (p)	Nombre	ND	ND	91788.0
AISNE	02	LO02Nombre de résidences principales construites de 1946 à 1990 (p)	Nombre	ND	ND	104583.0
AISNE	02	LO02Nombre de résidences principales construites de 1991 à 2009 (p)	Nombre	ND	ND	27079.0
AISNE	02	LO02Nombre de résidences principales construites avant 2010 (p)	Nombre	ND	ND	223451.0
ALLIER	03	LO02Nombre total de résidences principales (p)	Nombre	151173.0	158381.0	161133.0
ALLIER	03	LO02Résidences principales type maison (p)	Nombre	106501.0	114267.0	117956.0
ALLIER	03	LO02Résidences principales type appartement (p)	Nombre	40910.0	43409.0	42289.0
ALLIER	03	LO02Résidences principales autres types (foyer logements, habitations de fortune,) (p)	Nombre	3762.0	706.0	888.0
ALLIER	03	LO02Résidences principales de 1 pièce (p)	Nombre	5481.0	4909.0	4986.0
ALLIER	03	LO02Résidences principales de 2 pièces (p)	Nombre	15934.0	15188.0	15208.0
ALLIER	03	LO02Résidences principales de 3 pièces (p)	Nombre	37585.0	35938.0	35933.0
ALLIER	03	LO02Résidences principales de 4 pièces (p)	Nombre	46279.0	46697.0	47094.0
ALLIER	03	LO02Résidences principales de 5 pièces ou plus (p)	Nombre	45894.0	55649.0	57913.0
ALLIER	03	LO02Nombre de pièces des résidences principales (p)	Nombre	598008.0	652306.0	666581.0
ALLIER	03	LO02Nombre de pièces des résidences principales type maison (p)	Nombre	464058.0	522092.0	541283.0
