;moyenne;nom
149;12916.0;torvalds
121;1173.5666666666666;mrdoob
53;986.4166666666666;donnemartin
57;889.1333333333333;JakeWharton
252;779.6333333333333;johnpapa
75;768.7666666666667;zenorocha
169;603.8333333333334;prakhar1989
107;563.8333333333334;FezVrasta
44;553.2333333333333;josephmisiti
156;546.6333333333333;chjj
177;527.4;gorhill
16;505.56;afollestad
5;476.2;SamyPesse
12;470.3666666666667;steipete
182;453.5;ChenYilong
62;446.56666666666666;kripken
35;422.6333333333333;mdo
155;403.5;jessesquires
123;402.1333333333333;pedrovgs
236;388.3;addyosmani
243;387.4;toddmotto
109;380.9;fzaninotto
101;379.6;CamDavidsonPilon
237;333.3666666666667;rasbt
135;327.6333333333333;jakiestfu
58;316.6666666666667;jverkoey
251;312.26666666666665;tj
115;298.03333333333336;Shougo
183;291.2;ericelliott
118;290.3666666666667;tomchristie
27;252.6;mrmrs
55;243.26666666666668;mgechev
73;241.13333333333333;paulmillr
207;240.8;drakeet
192;232.66666666666666;lihaoyi
200;219.61904761904762;samuelclay
61;211.1;nixzhu
201;207.13333333333333;maxogden
125;201.43333333333334;mikepenz
170;197.71428571428572;angusshire
193;197.26666666666668;chrisjenx
80;193.26666666666668;davidsonfellipe
208;190.23333333333332;wbond
133;182.43333333333334;jgm
235;181.7;sebastianbergmann
59;180.44444444444446;josevalim
218;179.35;hueniverse
138;175.13333333333333;Unknwon
248;173.76666666666668;walkor
110;172.4;ai
246;166.46666666666667;bkeepers
131;165.63333333333333;mitchellh
171;164.53333333333333;nzakas
145;158.86666666666667;schwa
146;144.76666666666668;thomasdavis
139;144.3;ebidel
32;141.83333333333334;DataTables
250;140.13333333333333;una
38;139.3;JedWatson
210;136.1;willianjusten
78;134.7;overtrue
191;134.43333333333334;apotonick
45;133.33333333333334;nicolasgramlich
22;130.66666666666666;phodal
76;128.9;Urigo
143;128.73333333333332;indragiek
220;122.1;kishikawakatsumi
113;112.4;liu21st
216;105.6;ankane
222;104.2;jamztang
227;104.06666666666666;kartik-v
0;100.78260869565217;GrahamCampbell
116;91.7;soumith
195;86.23333333333333;evanw
214;85.83333333333333;gitster
128;84.56666666666666;bbatsov
26;83.5;HugoGiraudel
90;83.4;willdurand
111;82.5;jnunemaker
94;81.03333333333333;technoweenie
46;78.5925925925926;zcbenz
164;77.23333333333333;marijnh
129;76.83333333333333;muan
108;71.5;yihui
13;71.5;feross
1;69.45454545454545;fabpot
213;66.56666666666666;passy
63;66.06666666666666;joshaber
81;64.43333333333334;notwaldorf
25;63.13333333333333;dcramer
160;62.92307692307692;tqchen
4;61.46666666666667;josh
240;60.06666666666667;fnando
21;60.0;taylorotwell
86;56.233333333333334;kylef
91;54.43333333333333;jedisct1
40;53.6;orta
28;53.4;hadley
229;50.53333333333333;weavejester
188;48.0;rdegges
97;47.3;barretlee
98;46.333333333333336;rauchg
244;46.266666666666666;paulirish
223;45.1;be5invis
99;43.733333333333334;mitsuhiko
18;43.5;tmcw
65;43.13333333333333;geerlingguy
238;43.06666666666667;azat-co
163;43.06666666666667;domenic
68;40.06666666666667;dlew
88;39.0;soffes
60;37.63333333333333;gaearon
103;36.6;mafintosh
233;34.56666666666667;webmozart
31;34.3;atmos
100;33.46666666666667;indutny
85;32.666666666666664;ashfurrow
6;31.466666666666665;rstacruz
3;30.2;rkh
198;30.166666666666668;agentzh
52;29.8;markstory
154;29.6;Caged
77;29.2;remy
241;28.633333333333333;macournoyer
254;27.066666666666666;AdamBien
7;25.966666666666665;tmm1
19;25.933333333333334;bevacqua
122;25.833333333333332;ericholscher
206;25.566666666666666;mourner
70;24.033333333333335;numbbbbb
30;23.0;mbostock
217;22.933333333333334;ericdouglas
84;22.8;substack
87;22.766666666666666;yiminghe
212;22.266666666666666;kohsuke
180;21.633333333333333;ibdknox
197;20.9;leebyron
157;20.7;mcollina
69;20.5;EisenbergEffect
224;19.785714285714285;grp
176;18.933333333333334;kevva
228;18.833333333333332;SamSaffron
36;18.833333333333332;jonathanong
51;18.7;jdalton
104;18.0;kytrinyx
189;17.866666666666667;shiffman
151;17.833333333333332;leafo
211;17.772727272727273;tekkub
79;17.733333333333334;eduardolundgren
185;17.066666666666666;ekmett
136;16.6;pkrumins
161;16.433333333333334;simurai
184;16.333333333333332;Haacked
39;15.633333333333333;michaelklishin
167;15.533333333333333;sferik
179;15.533333333333333;hemanth
159;14.866666666666667;swannodette
137;14.766666666666667;mattn
141;14.733333333333333;alloy
92;14.566666666666666;cvrebert
239;14.533333333333333;davidfowl
199;14.5;jskeet
158;14.133333333333333;mjackson
124;14.0;kentcdodds
242;13.833333333333334;robdodson
150;13.5;drnic
48;12.833333333333334;robrix
234;11.9;cheeaun
162;11.666666666666666;jlord
153;11.633333333333333;benjamn
175;11.133333333333333;kriskowal
67;10.766666666666667;springmeyer
24;10.733333333333333;benbalter
173;10.466666666666667;StephenGrider
178;10.166666666666666;creationix
219;9.6;olivergierke
120;9.033333333333333;madskristensen
15;9.033333333333333;ornicar
221;8.966666666666667;balupton
253;8.866666666666667;amueller
245;8.8;juliangruber
89;8.766666666666667;mattdesl
204;7.9;jamesmontemagno
231;7.9;AllenDowney
64;7.8;suissa
74;7.666666666666667;Raynos
209;7.5;jennschiffer
43;7.433333333333334;josegonzalez
49;7.3;parkr
134;7.3;ddollar
230;7.125;cyanogen
187;6.9;kazuho
37;6.9;nvie
144;6.866666666666666;tokuhirom
226;6.703703703703703;ammeep
47;6.5;pippinsplugins
255;6.433333333333334;akrabat
127;6.433333333333334;mathiasbynens
56;6.366666666666666;radar
34;6.333333333333333;kevinsawicki
181;6.1;chenglou
117;6.068965517241379;dougwilson
105;5.933333333333334;staltz
186;5.7;davecheney
114;5.666666666666667;zilongshanren
93;5.6;soyjavi
2;5.533333333333333;weierophinney
11;5.5;c9s
190;5.5;tylermcginnis
42;5.433333333333334;steveklabnik
8;5.4;michalbe
33;5.233333333333333;yyx990803
17;5.166666666666667;KrauseFx
50;5.166666666666667;paulcbetts
194;5.0;aaronpk
196;4.966666666666667;purcell
140;4.933333333333334;samdark
203;4.833333333333333;swankjesse
168;4.76;QuincyLarson
83;4.7;dominictarr
41;4.566666666666666;frsyuki
29;4.333333333333333;alex
10;4.333333333333333;Ocramius
9;4.266666666666667;andrew
95;4.233333333333333;brianleroux
119;3.7333333333333334;arunoda
96;3.6666666666666665;Seldaek
126;3.566666666666667;ashleygwilliams
82;3.1333333333333333;JaviSoto
174;3.0;thejameskyle
232;2.9;mariotaku
102;2.7666666666666666;sahat
225;2.6333333333333333;mjhea0
71;2.6;vladikoff
14;2.566666666666667;afc163
130;2.033333333333333;brentvatne
106;1.9666666666666666;jeremy
172;1.9333333333333333;kittens
142;1.8;jamesward
20;1.8;mikermcneil
147;1.6;curran
247;1.5789473684210527;mli
249;1.5;zpao
165;1.1333333333333333;appleboy
23;1.1;gdi2290
54;1.0666666666666667;dsyer
215;1.0;stof
152;1.0;rwaldron
66;0.9666666666666667;stefanpenner
72;0.8333333333333334;rafaelfranca
132;0.6666666666666666;weaverryan
148;0.5666666666666667;amasad
205;0.5666666666666667;jiyinyiyong
202;0.5;samccone
166;0.26666666666666666;vhf
112;;jfrazelle
