,annee,isPro,kilo,phoneNumber,price,type,version,cote,affaire
0,2015,0,19500,none,12000,1,zen,10459,+
1,2016,1,2500,0183799570,23512,1,intens,10642,+
2,2013,0,30000,none,9600,1,intens,10642,-
3,2016,1,100,0183799570,16890,2,zen,10512,+
4,2015,1,11494,0174704406,10990,2,life,10167,+
5,2014,1,17791,0176455461,10190,1,zen,10459,-
6,2016,1,1000,0805805802,17100,2,intens,10694,+
7,2016,1,2000,0805805802,21490,2,life,10167,+
8,2015,1,7569,0175448159,11290,1,life,10113,+
9,2016,1,1000,0805805802,17100,2,intens,10694,+
10,2016,1,2000,0805805802,21490,2,life,10167,+
11,2016,1,10,0182714652,13490,2,life,10167,+
12,2016,1,3000,0805805802,15490,2,intens,10694,+
13,2013,1,27689,0174704406,8990,1,zen,10459,-
14,2013,1,53800,0139754280,9790,1,intens,10642,-
15,2015,1,24600,0160625056,10980,1,life,10113,+
16,2015,1,11480,0175448151,11720,1,life,10113,+
17,2016,1,6000,0184040214,16500,1,zen,10459,+
18,2015,0,22000,none,10800,1,life,10113,+
19,2016,1,1,0160625056,13990,1,zen,10459,+
20,2016,1,100,0184030570,20000,1,zen,10459,+
21,2015,1,2350,0175448643,20900,1,intens,10642,+
22,2016,1,100,0184030570,19700,2,life,10167,+
23,2015,1,17979,0175448151,12500,1,intens,10642,+
24,2013,1,21500,0171025422,9990,1,zen,10459,-
25,2013,1,24973,0170176498,10490,1,zen,10459,+
26,2016,1,100,0184030570,14800,1,zen,10459,+
27,2015,1,13195,0174704406,10990,1,life,10113,+
28,2013,1,62434,0669103000,8400,1,zen,10459,-
29,2013,1,7700,0623550699,11490,1,intens,10642,+
30,2014,1,7297,0178769520,9970,1,life,10113,-
31,2016,1,10,0143240835,12820,1,life,10113,+
32,2014,1,17885,0175448151,11900,1,intens,10642,+
33,2016,1,10,0143240835,14464,1,intens,10642,+
34,2013,0,15400,none,10950,1,intens,10642,+
35,2016,1,200,0143240835,14464,1,intens,10642,+
36,2016,1,200,0148763773,13290,2,life,10167,+
37,2016,1,100,0184030570,15600,1,zen,10459,+
38,2015,1,7975,0174730257,12990,2,zen,10512,+
39,2014,1,37240,0139754280,9480,1,zen,10459,-
40,2015,1,8214,0174704406,12590,1,zen,10459,+
41,2014,1,100,0184030570,20000,1,intens,10642,+
42,2016,0,6000,none,14000,2,life,10167,+
43,2014,0,24000,none,9490,1,life,10113,-
44,2015,1,12905,0531081450,11990,1,life,10113,+
45,2016,1,1073,0776041488,13700,2,life,10167,+
46,2016,1,2000,0516066013,13200,2,life,10167,+
47,2016,1,1500,0516066014,18900,2,life,10167,+
48,2014,1,24000,none,8990,1,life,10113,-
49,2016,1,2000,0516066011,14500,2,life,10167,+
50,2015,1,10139,0531081450,12490,2,life,10167,+
51,2016,1,2000,0524449110,18900,2,life,10167,+
52,2016,1,2500,0516066011,14700,2,zen,10512,+
53,2015,1,8000,0484320215,12900,1,intens,10642,+
54,2016,1,10,0422170122,15590,1,intens,10642,+
55,2014,1,7628,0805805802,10850,1,life,10113,+
56,2014,1,7628,0805805802,10850,1,life,10113,+
57,2014,0,3500,none,12500,1,intens,10642,+
58,2013,0,20000,none,10000,1,intens,10642,-
59,2014,1,13243,0618402010,12490,1,intens,10642,+
60,2015,1,8000,0484320215,12500,1,zen,10459,+
61,2016,1,10,0673895460,13490,2,life,10167,+
62,2013,1,46145,0490789523,8990,1,zen,10459,-
63,2014,1,11269,0422170108,11990,1,intens,10642,+
64,2013,1,32154,0494110548,9900,1,intens,10642,-
65,2015,1,7090,0422170122,11990,1,life,10113,+
