,brand,dose,unit,type
0,ACTAVIS,400,mg, comprimé pelliculé
1,ALMUS,200,mg, comprimé pelliculé
2,ALMUS,400,mg, comprimé pelliculé
3,ARROW,200,mg, comprimé enrobé
4,ARROW,400,mg, comprimé pelliculé
5,ARROW,5,%, gel
6,ARROW CONSEIL,400,mg, comprimé pelliculé
7,BIOGARAN,200,mg, comprimé pelliculé
8,BIOGARAN,400,mg, comprimé pelliculé
9,BIOGARAN CONSEIL,200,mg, comprimé pelliculé
10,BIOGARAN CONSEIL,400,mg, comprimé pelliculé
11,CHEMINEAU,5,%, solution pour application cutanée
12,CHEMINEAU,5,%, solution pour application cutanée en flacon pressurisé
13,CRISTERS,200,mg, comprimé enrobé
14,CRISTERS,200,mg, comprimé pelliculé
15,CRISTERS,400,mg, comprimé pelliculé
16,DU SAINT BERNARD,5,%, gel pour application locale
17,EG,200,mg, comprimé pelliculé
18,EG,400,mg, comprimé pelliculé
19,EVOLUGEN,400,mg, comprimé pelliculé
20,ISOMED,200,mg, comprimé enrobé
21,MYLAN,200,mg, comprimé enrobé
22,MYLAN,400,mg, comprimé effervescent
23,MYLAN,400,mg, comprimé pelliculé
24,MYLAN CONSEIL,400,mg, comprimé pelliculé
25,NEPENTHES,200,mg, comprimé pelliculé
26,NEPENTHES,400,mg, comprimé pelliculé
27,PHR LAB,400,mg, comprimé pelliculé
28,QUALIMED,200,mg, comprimé enrobé
29,RANBAXY MEDICATION OFFICINALE,200,mg, comprimé pelliculé
30,RANBAXY MEDICATION OFFICINALE,400,mg, comprimé pelliculé
31,RATIOPHARM,200,mg, comprimé enrobé
32,RATIOPHARM CONSEIL,200,mg, comprimé enrobé
33,RPG,400,mg, comprimé pelliculé
34,SANDOZ,200,mg, comprimé enrobé
35,SANDOZ,400,mg, comprimé enrobé
36,SANDOZ,400,mg, comprimé pelliculé
37,SANDOZ CONSEIL,200,mg, comprimé enrobé
38,SANDOZ CONSEIL,400,mg, comprimé pelliculé
39,TEVA,200,mg, comprimé enrobé
40,TEVA,400,mg, comprimé pelliculé
41,TEVA CONSEIL,200,mg, comprimé enrobé
42,TEVA CONSEIL,400,mg, comprimé pelliculé
43,TEVA SANTE,400,mg, comprimé pelliculé
44,URGO,5,%, gel
45,ZF,400,mg, comprimé pelliculé
46,ZYDUS,200,mg, comprimé enrobé
47,ZYDUS,400,mg, comprimé pelliculé
48,ZYDUS FRANCE,200,mg, comprimé pelliculé
49,ZYDUS FRANCE,400,mg, comprimé pelliculé
