,brand,dose,unit,type
0,BIOGARAN,100,microgrammes, comprimé sécable
1,BIOGARAN,125,microgrammes, comprimé sécable
2,BIOGARAN,150,microgrammes, comprimé sécable
3,BIOGARAN,175,microgrammes, comprimé sécable
4,BIOGARAN,200,microgrammes, comprimé sécable
5,BIOGARAN,25,microgrammes, comprimé sécable
6,BIOGARAN,50,microgrammes, comprimé sécable
7,BIOGARAN,75,microgrammes, comprimé sécable
8,RATIOPHARM,100,µg, comprimé sécable
9,RATIOPHARM,125,µg, comprimé sécable
10,RATIOPHARM,150,µg, comprimé sécable
11,RATIOPHARM,175,µg, comprimé sécable
12,RATIOPHARM,200,µg, comprimé sécable
13,RATIOPHARM,25,µg, comprimé sécable
14,RATIOPHARM,50,µg, comprimé sécable
15,RATIOPHARM,75,µg, comprimé sécable
