,price,prix_argus,km,year,type_zoe,type_owner
http://www.leboncoin.fr/voitures/1001259838.htm?ca=12_s,10990,10113,13195,2015,life,pro
http://www.leboncoin.fr/voitures/1002044191.htm?ca=12_s,10490,10459,24973,2013,zen,pro
http://www.leboncoin.fr/voitures/1002404906.htm?ca=12_s,9990,10459,21500,2013,zen,pro
http://www.leboncoin.fr/voitures/1003980024.htm?ca=12_s,20900,10642,2350,2015,intens,pro
http://www.leboncoin.fr/voitures/1006229113.htm?ca=12_s,13490,10113,10,2016,life,pro
http://www.leboncoin.fr/voitures/1006593533.htm?ca=12_s,10980,10113,24600,2015,life,pro
http://www.leboncoin.fr/voitures/1021894763.htm?ca=12_s,10190,10459,17791,2014,zen,pro
http://www.leboncoin.fr/voitures/1021932499.htm?ca=12_s,21490,10113,2000,2016,life,pro
http://www.leboncoin.fr/voitures/1021932515.htm?ca=12_s,17100,10642,1000,2016,intens,pro
http://www.leboncoin.fr/voitures/1023692772.htm?ca=12_s,14800,10459,100,2016,zen,pro
http://www.leboncoin.fr/voitures/1024057804.htm?ca=12_s,12990,10113,14,2016,life,pro
http://www.leboncoin.fr/voitures/1025724071.htm?ca=12_s,12700,10459,12800,2015,zen,part
http://www.leboncoin.fr/voitures/1026233921.htm?ca=12_s,19700,10113,100,2016,life,pro
http://www.leboncoin.fr/voitures/1026235016.htm?ca=12_s,12500,10642,17979,2015,intens,pro
http://www.leboncoin.fr/voitures/1027119232.htm?ca=12_s,20000,10459,100,2016,zen,pro
http://www.leboncoin.fr/voitures/1028001099.htm?ca=12_s,8950,10642,25000,2013,intens,part
http://www.leboncoin.fr/voitures/1028687174.htm?ca=12_s,13990,10459,1,2016,zen,pro
http://www.leboncoin.fr/voitures/1029113352.htm?ca=12_s,16500,10459,6000,2016,zen,pro
http://www.leboncoin.fr/voitures/1029606565.htm?ca=12_s,11720,10113,11480,2015,life,pro
http://www.leboncoin.fr/voitures/1030496042.htm?ca=12_s,9790,10642,53800,2013,intens,pro
http://www.leboncoin.fr/voitures/1030748149.htm?ca=12_s,12000,10642,42000,2014,intens,part
http://www.leboncoin.fr/voitures/1031948599.htm?ca=12_s,10490,10459,18679,2013,zen,pro
http://www.leboncoin.fr/voitures/1032393144.htm?ca=12_s,12800,10113,1700,2016,life,part
http://www.leboncoin.fr/voitures/1032643293.htm?ca=12_s,15490,10642,3000,2016,intens,pro
http://www.leboncoin.fr/voitures/1034575248.htm?ca=12_s,9600,10642,30000,2013,intens,part
http://www.leboncoin.fr/voitures/1035061272.htm?ca=12_s,16890,10459,100,2016,zen,pro
http://www.leboncoin.fr/voitures/1035061660.htm?ca=12_s,23512,10642,2500,2016,intens,pro
http://www.leboncoin.fr/voitures/1036491233.htm?ca=12_s,12000,10459,19500,2015,zen,part
http://www.leboncoin.fr/voitures/1036934364.htm?ca=12_s,14000,10113,10064,2016,life,part
http://www.leboncoin.fr/voitures/976192388.htm?ca=12_s,10800,10113,22000,2015,life,part
http://www.leboncoin.fr/voitures/988625609.htm?ca=12_s,8990,10459,27689,2013,zen,pro
http://www.leboncoin.fr/voitures/990328036.htm?ca=12_s,11290,10113,7569,2015,life,pro
http://www.leboncoin.fr/voitures/990711542.htm?ca=12_s,10990,10113,11494,2015,life,pro
http://www.leboncoin.fr/voitures/996062702.htm?ca=12_s,21490,10113,2000,2016,life,pro
http://www.leboncoin.fr/voitures/996062730.htm?ca=12_s,17100,10642,1000,2016,intens,pro
