CODGEO,REG,DEP,ARR,CV,ZE2010,EPCI,LIBGEO,MENFIS10,PMENFIS10,MENIMP10,QUAR1UC10,QUAR2UC10,QUAR3UC10,DEC1UC10,DEC2UC10,DEC3UC10,DEC4UC10,DEC5UC10,DEC6UC10,DEC7UC10,DEC8UC10,DEC9UC10,RDUC10,PTSA10,PPEN10,PBEN10,PAUT10
01001,82,01,012,0110,8213,240100644,L'Abergement-Clemenciat,299,803.5,,,20826,,,,,,20826,,,,,,,,,
01004,82,01,011,0101,8201,240100883,Amberieu-en-Bugey,5780,13197.5,58.7,11923,18324,25416,6736,10391,13287,15796,18324,20779,23658,27378,33930,5.0,65.6,24.2,3.8,6.5
01005,82,01,012,0130,8213,240100735,Amberieux-en-Dombes,589,1581.5,,,21442,,,,,,21442,,,,,,,,,
01002,82,01,011,0101,8201,240100883,L'Abergement-de-Varey,99,241.0,,,20739,,,,,,20739,,,,,,,,,
01006,82,01,011,0104,8216,240100354,Ambleon,48,111.0,,,19406,,,,,,19406,,,,,,,,,
01007,82,01,011,0101,8201,240100883,Ambronay,961,2432.0,63.4,14409,20043.5,26359,9157,12902,15662,17810,20043.5,22527,25167,27969,34113,3.7,67.6,24.8,3.2,4.3
01008,82,01,011,0117,8201,240100883,Ambutrix,296,738.5,,,22125,,,,,,22125,,,,,,,,,
01009,82,01,011,0104,8216,240100354,Andert-et-Condon,138,327.0,,,20269,,,,,,20269,,,,,,,,,
01010,82,01,011,0131,8219,247400823,Anglefort,400,984.5,,,17792,,,,,,17792,,,,,,,,,
01011,82,01,014,0122,8203,240100909,Apremont,143,403.0,,,18980,,,,,,18980,,,,,,,,,
01012,82,01,011,0115,8203,240100578,Aranc,137,318.0,,,20204,,,,,,20204,,,,,,,,,
01013,82,01,011,0128,8201,240100396,Arandas,66,153.5,,,17483,,,,,,17483,,,,,,,,,
01014,82,01,014,0123,8203,240100172,Arbent,1267,3558.0,63.3,11983,17825,24721.5,8095,10751,13345,15488,17825,20489,23164,26287,35617,4.4,66.9,22.0,2.0,9.2
01015,82,01,011,0104,8216,240100354,Arbignieu,204,477.0,,,20567,,,,,,20567,,,,,,,,,
01016,82,01,012,0126,0053,240100685,Arbigny,162,414.5,,,18430,,,,,,18430,,,,,,,,,
01017,82,01,011,0128,8201,240100396,Argis,199,437.0,,,17020,,,,,,17020,,,,,,,,,
01019,82,01,011,0136,8203,240100743,Armix,,,,,,,,,,,,,,,,,,,,
01021,82,01,012,0142,8213,240100735,Ars-sur-Formans,458,1239.5,,,20737,,,,,,20737,,,,,,,,,
01022,82,01,011,0109,8216,240100370,Artemare,533,1176.5,,,17124,,,,,,17124,,,,,,,,,
01023,82,01,012,0102,0053,240100818,Asnieres-sur-Saone,,,,,,,,,,,,,,,,,,,,
01024,82,01,012,0121,8202,240100156,Attignat,1120,2979.0,65.2,14962,19831,26031,10908,13970,16002,18047,19831,21461,24424,27857,35088,3.2,71.8,20.3,4.2,3.7
01025,82,01,012,0102,0053,240100818,Bage-la-Ville,1117,3142.5,61.6,13804,18895,24538,9989,12712,15259,17337,18895,20968,23387,26248,31988,3.2,70.5,17.4,4.7,7.4
01026,82,01,012,0102,0053,240100818,Bage-le-Chatel,328,731.0,,,19416,,,,,,19416,,,,,,,,,
