,Cover_Type,Id
0,1,15121
1,1,15122
2,1,15123
3,1,15124
4,1,15125
5,1,15126
6,1,15127
7,1,15128
8,1,15129
9,1,15130
10,1,15131
11,1,15132
12,1,15133
13,1,15134
14,1,15135
15,1,15136
16,1,15137
17,1,15138
18,1,15139
19,1,15140
20,7,15141
21,7,15142
22,7,15143
23,7,15144
24,2,15145
25,2,15146
26,2,15147
27,2,15148
28,2,15149
29,2,15150
30,2,15151
31,2,15152
32,2,15153
33,2,15154
34,2,15155
35,2,15156
36,2,15157
37,2,15158
38,2,15159
39,1,15160
40,1,15161
41,1,15162
42,1,15163
43,1,15164
44,1,15165
45,1,15166
46,1,15167
47,1,15168
48,1,15169
49,1,15170
50,1,15171
51,1,15172
52,2,15173
53,1,15174
54,1,15175
55,1,15176
56,1,15177
57,1,15178
58,1,15179
59,1,15180
60,1,15181
61,1,15182
62,1,15183
63,1,15184
64,1,15185
65,1,15186
66,1,15187
67,1,15188
68,1,15189
69,1,15190
70,7,15191
71,7,15192
72,7,15193
73,7,15194
74,1,15195
75,1,15196
76,1,15197
77,1,15198
78,1,15199
79,1,15200
80,1,15201
81,1,15202
82,1,15203
83,1,15204
84,1,15205
85,7,15206
86,7,15207
87,7,15208
88,7,15209
89,7,15210
90,7,15211
91,7,15212
92,7,15213
93,7,15214
94,1,15215
95,2,15216
96,2,15217
97,2,15218
98,2,15219
99,2,15220
100,2,15221
101,2,15222
102,2,15223
103,2,15224
104,2,15225
105,2,15226
106,2,15227
107,2,15228
108,2,15229
109,2,15230
110,2,15231
111,2,15232
112,1,15233
113,1,15234
114,1,15235
115,1,15236
116,1,15237
117,1,15238
118,1,15239
119,1,15240
120,2,15241
121,2,15242
122,2,15243
123,2,15244
124,2,15245
125,1,15246
126,1,15247
127,1,15248
128,1,15249
129,1,15250
130,1,15251
131,1,15252
132,1,15253
133,1,15254
134,1,15255
135,2,15256
136,2,15257
137,1,15258
138,7,15259
139,7,15260
140,1,15261
141,1,15262
142,1,15263
143,1,15264
144,1,15265
145,1,15266
146,1,15267
147,1,15268
148,1,15269
149,1,15270
150,1,15271
151,1,15272
152,1,15273
153,1,15274
154,1,15275
155,1,15276
156,1,15277
157,1,15278
158,1,15279
159,1,15280
160,1,15281
161,1,15282
162,1,15283
163,7,15284
164,7,15285
165,2,15286
166,2,15287
167,2,15288
168,2,15289
169,2,15290
170,2,15291
171,2,15292
172,2,15293
173,7,15294
174,7,15295
175,7,15296
176,7,15297
177,2,15298
178,2,15299
179,2,15300
180,7,15301
181,1,15302
182,1,15303
183,1,15304
184,2,15305
185,2,15306
186,1,15307
187,1,15308
188,1,15309
189,1,15310
190,1,15311
191,1,15312
