Medicament,Dose,Unite,Type
IBUPROFENE ACTAVIS ,400,mg,comprimé
IBUPROFENE ALMUS ,200,mg,comprimé
IBUPROFENE ALMUS ,400,mg,comprimé
IBUPROFENE ARROW ,200,mg,comprimé
IBUPROFENE ARROW ,400,mg,comprimé
IBUPROFENE ARROW CONSEIL ,400,mg,comprimé
IBUPROFENE BIOGARAN ,200,mg,comprimé
IBUPROFENE BIOGARAN ,400,mg,comprimé
IBUPROFENE BIOGARAN CONSEIL ,200,mg,comprimé
IBUPROFENE BIOGARAN CONSEIL ,400,mg,comprimé
IBUPROFENE CRISTERS ,200,mg,comprimé
IBUPROFENE CRISTERS ,200,mg,comprimé
IBUPROFENE CRISTERS ,400,mg,comprimé
IBUPROFENE EG ,200,mg,comprimé
IBUPROFENE EG ,400,mg,comprimé
IBUPROFENE EVOLUGEN ,400,mg,comprimé
IBUPROFENE ACTAVIS ,400,mg,comprimé
IBUPROFENE ALMUS ,200,mg,comprimé
IBUPROFENE ALMUS ,400,mg,comprimé
IBUPROFENE ARROW ,200,mg,comprimé
IBUPROFENE ARROW ,400,mg,comprimé
IBUPROFENE ARROW CONSEIL ,400,mg,comprimé
IBUPROFENE BIOGARAN ,200,mg,comprimé
IBUPROFENE BIOGARAN ,400,mg,comprimé
IBUPROFENE BIOGARAN CONSEIL ,200,mg,comprimé
IBUPROFENE BIOGARAN CONSEIL ,400,mg,comprimé
IBUPROFENE CRISTERS ,200,mg,comprimé
IBUPROFENE CRISTERS ,200,mg,comprimé
IBUPROFENE CRISTERS ,400,mg,comprimé
IBUPROFENE EG ,200,mg,comprimé
IBUPROFENE EG ,400,mg,comprimé
IBUPROFENE EVOLUGEN ,400,mg,comprimé
IBUPROFENE ISOMED ,200,mg,comprimé
IBUPROFENE MYLAN /ml ENFANTS ET NOURRISSONS sans sucre,20,mg,suspension
IBUPROFENE MYLAN ,200,mg,comprimé
IBUPROFENE MYLAN ,400,mg,comprimé
IBUPROFENE MYLAN ,400,mg,comprimé
IBUPROFENE MYLAN CONSEIL ,400,mg,comprimé
IBUPROFENE NEPENTHES ,200,mg,comprimé
IBUPROFENE NEPENTHES ,400,mg,comprimé
IBUPROFENE PHR LAB ,400,mg,comprimé
IBUPROFENE QUALIMED ,200,mg,comprimé
IBUPROFENE RANBAXY MEDICATION OFFICINALE ,200,mg,comprimé
IBUPROFENE RANBAXY MEDICATION OFFICINALE ,400,mg,comprimé
IBUPROFENE RATIOPHARM ,200,mg,comprimé
IBUPROFENE RATIOPHARM CONSEIL ,200,mg,comprimé
IBUPROFENE RPG ,400,mg,comprimé
IBUPROFENE SANDOZ ,200,mg,comprimé
IBUPROFENE SANDOZ ,400,mg,comprimé
IBUPROFENE SANDOZ ,400,mg,comprimé
IBUPROFENE SANDOZ CONSEIL ,200,mg,comprimé
