,Users,Avg_stargazers
0,GrahamCampbell,100.91304347826087
1,fabpot,63.666666666666664
2,weierophinney,5.533333333333333
3,rkh,30.2
4,josh,61.46666666666667
5,SamyPesse,476.73333333333335
6,rstacruz,31.5
7,tmm1,25.966666666666665
8,michalbe,5.4
9,andrew,4.266666666666667
10,Ocramius,4.333333333333333
11,c9s,5.533333333333333
12,steipete,470.73333333333335
13,feross,71.56666666666666
14,afc163,2.566666666666667
15,ornicar,9.033333333333333
16,afollestad,506.4
17,KrauseFx,5.166666666666667
18,tmcw,43.5
19,bevacqua,25.933333333333334
20,mikermcneil,1.8
21,taylorotwell,60.0
22,phodal,130.93333333333334
23,gdi2290,1.1
24,benbalter,10.733333333333333
25,dcramer,63.166666666666664
26,HugoGiraudel,83.63333333333334
27,mrmrs,252.66666666666666
28,hadley,53.4
29,alex,4.333333333333333
30,mbostock,23.0
31,atmos,34.3
32,DataTables,141.83333333333334
33,yyx990803,5.266666666666667
34,kevinsawicki,6.333333333333333
35,mdo,422.76666666666665
36,jonathanong,18.833333333333332
37,nvie,6.9
38,JedWatson,139.73333333333332
39,michaelklishin,15.633333333333333
40,orta,53.7
41,frsyuki,4.566666666666666
42,steveklabnik,5.433333333333334
43,josegonzalez,7.433333333333334
44,josephmisiti,553.7666666666667
45,nicolasgramlich,133.36666666666667
46,zcbenz,78.5925925925926
47,pippinsplugins,6.5
48,robrix,12.833333333333334
49,parkr,7.3
50,paulcbetts,5.166666666666667
51,jdalton,17.0
52,markstory,29.8
53,donnemartin,987.2916666666666
54,dsyer,1.0666666666666667
55,mgechev,243.6
56,radar,6.366666666666666
57,JakeWharton,889.6
58,jverkoey,316.73333333333335
59,josevalim,180.4814814814815
60,gaearon,37.63333333333333
61,nixzhu,211.3
62,kripken,446.93333333333334
63,joshaber,66.06666666666666
64,suissa,7.8
65,geerlingguy,43.13333333333333
66,stefanpenner,0.9666666666666667
67,springmeyer,10.766666666666667
68,dlew,40.1
69,EisenbergEffect,20.5
70,numbbbbb,24.066666666666666
71,vladikoff,2.6
72,rafaelfranca,0.8333333333333334
73,paulmillr,241.3
74,Raynos,7.666666666666667
75,zenorocha,769.4
76,Urigo,129.13333333333333
77,remy,29.2
78,overtrue,135.06666666666666
79,eduardolundgren,17.733333333333334
80,davidsonfellipe,193.3
81,notwaldorf,64.43333333333334
82,JaviSoto,3.1333333333333333
83,dominictarr,4.7
84,substack,22.8
85,ashfurrow,32.766666666666666
86,kylef,56.266666666666666
87,yiminghe,22.8
88,soffes,39.0
89,mattdesl,8.8
90,willdurand,83.43333333333334
91,jedisct1,54.53333333333333
92,cvrebert,14.566666666666666
93,soyjavi,5.6
94,technoweenie,81.06666666666666
95,brianleroux,4.233333333333333
96,Seldaek,3.6666666666666665
97,barretlee,47.3
98,rauchg,46.4
99,mitsuhiko,43.733333333333334
100,indutny,33.46666666666667
101,CamDavidsonPilon,379.9
102,sahat,2.7666666666666666
103,mafintosh,36.63333333333333
104,kytrinyx,18.0
105,staltz,6.066666666666666
106,jeremy,1.9666666666666666
107,FezVrasta,564.1666666666666
108,yihui,71.46666666666667
109,fzaninotto,381.2
110,ai,172.53333333333333
111,jnunemaker,82.6
112,jfrazelle,0.0
113,liu21st,112.8
114,zilongshanren,5.7
115,Shougo,298.43333333333334
116,soumith,91.9
117,dougwilson,6.068965517241379
118,tomchristie,290.8
119,arunoda,3.7333333333333334
120,madskristensen,9.066666666666666
121,mrdoob,1174.2666666666667
122,ericholscher,25.833333333333332
123,pedrovgs,402.3333333333333
124,kentcdodds,14.033333333333333
125,mikepenz,201.63333333333333
126,ashleygwilliams,3.566666666666667
127,mathiasbynens,6.433333333333334
128,bbatsov,84.56666666666666
129,muan,76.9
130,brentvatne,2.033333333333333
131,mitchellh,165.73333333333332
132,weaverryan,0.6666666666666666
133,jgm,182.5
134,ddollar,7.3
135,jakiestfu,327.76666666666665
136,pkrumins,16.633333333333333
137,mattn,14.766666666666667
138,Unknwon,175.46666666666667
139,ebidel,144.33333333333334
140,samdark,4.933333333333334
141,alloy,14.733333333333333
142,jamesward,1.8
143,indragiek,128.76666666666668
144,tokuhirom,6.866666666666666
145,schwa,159.13333333333333
146,thomasdavis,144.73333333333332
147,curran,1.6
148,amasad,0.5666666666666667
149,torvalds,12929.666666666666
150,drnic,13.5
151,leafo,17.833333333333332
152,rwaldron,1.0
153,benjamn,11.633333333333333
154,Caged,29.6
155,jessesquires,403.6333333333333
156,chjj,547.2
157,mcollina,20.733333333333334
158,mjackson,14.133333333333333
159,swannodette,14.866666666666667
160,tqchen,63.07692307692308
161,simurai,16.466666666666665
162,jlord,11.666666666666666
163,domenic,43.1
164,marijnh,77.23333333333333
165,appleboy,1.1333333333333333
166,vhf,0.26666666666666666
167,sferik,15.533333333333333
168,QuincyLarson,4.76
169,prakhar1989,604.2666666666667
170,angusshire,198.0
171,nzakas,164.56666666666666
172,kittens,1.9333333333333333
173,StephenGrider,10.533333333333333
174,thejameskyle,3.0
175,kriskowal,11.133333333333333
176,kevva,18.933333333333334
177,gorhill,528.0
178,creationix,10.166666666666666
179,hemanth,15.566666666666666
180,ibdknox,21.6
181,chenglou,6.1
182,ChenYilong,453.96666666666664
183,ericelliott,291.5
184,Haacked,16.333333333333332
185,ekmett,17.066666666666666
186,davecheney,5.7
187,kazuho,6.9
188,rdegges,48.06666666666667
189,shiffman,17.9
190,tylermcginnis,5.5
191,apotonick,134.5
192,lihaoyi,232.7
193,chrisjenx,197.36666666666667
194,aaronpk,5.0
195,evanw,86.36666666666666
196,purcell,4.966666666666667
197,leebyron,20.9
198,agentzh,30.266666666666666
199,jskeet,14.5
200,samuelclay,219.57142857142858
201,maxogden,207.23333333333332
202,samccone,0.5
203,swankjesse,4.833333333333333
204,jamesmontemagno,7.9
205,jiyinyiyong,0.5666666666666667
206,mourner,25.566666666666666
207,drakeet,241.2
208,wbond,190.3
209,jennschiffer,7.5
210,willianjusten,136.36666666666667
211,tekkub,17.772727272727273
212,kohsuke,22.3
213,passy,66.6
214,gitster,85.66666666666667
215,stof,1.0
216,ankane,105.63333333333334
217,ericdouglas,23.0
218,hueniverse,179.4
219,olivergierke,9.7
220,kishikawakatsumi,122.23333333333333
221,balupton,8.966666666666667
222,jamztang,104.2
223,be5invis,45.233333333333334
224,grp,19.103448275862068
225,mjhea0,2.6333333333333333
226,ammeep,6.703703703703703
227,kartik-v,104.26666666666667
