,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille
Paris,0.0,775147.0,465838.0,679426.0,932197.0,385174.0,491901.0,747845.0,584539.0,219312.0
Marseille,774927.0,0.0,313685.0,402891.0,206771.0,985435.0,798380.0,170370.0,645148.0,999852.0
Lyon,466053.0,314190.0,0.0,537075.0,471240.0,685234.0,487680.0,304554.0,555681.0,690978.0
Toulouse,678904.0,403446.0,537519.0,0.0,560496.0,584963.0,968785.0,242511.0,244676.0,894415.0
Nice,932341.0,204861.0,471099.0,560305.0,0.0,1142850.0,784866.0,327784.0,802563.0,1157266.0
Nantes,384542.0,985868.0,685084.0,585999.0,1142918.0,0.0,865808.0,824934.0,346929.0,600053.0
Strasbourg,490232.0,799552.0,492813.0,970962.0,784275.0,865652.0,0.0,789916.0,968927.0,524658.0
Montpellier,747998.0,169037.0,303110.0,242383.0,326087.0,824928.0,787805.0,0.0,484641.0,963510.0
Bordeaux,590492.0,645494.0,555983.0,245625.0,802545.0,353408.0,968338.0,484560.0,0.0,806003.0
Lille,225194.0,1000932.0,691624.0,894913.0,1157982.0,600661.0,525123.0,963331.0,800025.0,0.0
