,Edition,Prix Neuf,Cote Brut,pour KM annuel,Commentaire,Year
0,INTENS CHARGE RAPIDE,24400.0,9599.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
1,INTENS CHARGE RAPIDE TYPE 2,24600.0,9646.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
2,LIFE CHARGE RAPIDE,22400.0,9121.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
3,LIFE CHARGE RAPIDE TYPE 2,22600.0,9170.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
4,ZEN CHARGE RAPIDE,23700.0,9434.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
5,ZEN CHARGE RAPIDE TYPE 2,23900.0,9481.0,6920.0,"Renault, tous les jours un bruit nouveau.",2012
6,INTENS CHARGE RAPIDE,24400.0,10642.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
7,INTENS CHARGE RAPIDE TYPE 2,24600.0,10694.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
8,LIFE CHARGE RAPIDE,22400.0,10113.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
9,LIFE CHARGE RAPIDE TYPE 2,22600.0,10167.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
10,ZEN CHARGE RAPIDE,23700.0,10459.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
11,ZEN CHARGE RAPIDE TYPE 2,23900.0,10512.0,6920.0,"Renault, tous les jours un bruit nouveau.",2013
12,INTENS CHARGE RAPIDE,24400.0,11799.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
13,INTENS CHARGE RAPIDE TYPE 2,24600.0,11857.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
14,LIFE CHARGE RAPIDE,22400.0,11212.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
15,LIFE CHARGE RAPIDE TYPE 2,22600.0,11272.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
16,ZEN CHARGE RAPIDE,23700.0,11596.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
17,ZEN CHARGE RAPIDE TYPE 2,23900.0,11655.0,6920.0,"Renault, tous les jours un bruit nouveau.",2014
18,INTENS,23900.0,12921.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
19,INTENS CHARGE RAPIDE,24400.0,13082.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
20,INTENS CHARGE RAPIDE TYPE 2,24600.0,13146.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
21,INTENS TYPE 2,24100.0,13051.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
22,LIFE,21900.0,12265.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
23,LIFE CHARGE RAPIDE,22400.0,12431.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
24,LIFE CHARGE RAPIDE TYPE 2,22600.0,12497.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
25,LIFE TYPE 2,22100.0,12394.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
26,ZEN,23200.0,12694.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
27,ZEN CHARGE RAPIDE,23700.0,12857.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
28,ZEN CHARGE RAPIDE TYPE 2,23900.0,12921.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
29,ZEN TYPE 2,23400.0,12824.0,6920.0,"Renault, tous les jours un bruit nouveau.",2015
30,EDITION ONE CHARGE RAPIDE GAMME 2017,28500.0,15913.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
31,EDITION ONE GAMME 2017,28000.0,15825.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
32,INTENS CHARGE RAPIDE GAMME 2017,26100.0,15099.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
33,INTENS CHARGE RAPIDE TYPE 2,24600.0,14575.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
34,INTENS GAMME 2017,25600.0,15001.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
35,INTENS TYPE 2,24100.0,14470.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
36,LIFE CHARGE RAPIDE TYPE 2,22600.0,13856.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
37,LIFE TYPE 2,22100.0,13741.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
38,ZEN CHARGE RAPIDE GAMME 2017,25300.0,14821.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
39,ZEN CHARGE RAPIDE TYPE 2,23900.0,14326.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
40,ZEN GAMME 2017,24800.0,14719.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
41,ZEN TYPE 2,23400.0,14218.0,6920.0,"Renault, tous les jours un bruit nouveau.",2016
