,Description ZOE,Kilometrage,Annee,Prix,Pro,Region,Telephone,Argus 6920 KMAn,Argus Ajuste,Argus Appelation
0,BELLE RENAULT ZOE ZEN CHARGE RAPIDE BLANC NACRE,19500,2015,12000,0,ile_de_france,,12921.0,12555,ZEN CHARGE RAPIDE TYPE 2
1,RENAULT ZOE INTENS,2500,2016,23512,1,ile_de_france,0183799570,14470.0,14630,INTENS TYPE 2
2,RENAULT ZOE INTENS CHARGE RAPIDE,30000,2013,9600,0,ile_de_france,,10694.0,10570,INTENS CHARGE RAPIDE TYPE 2
3,RENAULT ZOE ZEN TYPE 2,100,2016,16890,1,ile_de_france,0183799570,14218.0,14460,ZEN TYPE 2
4,RENAULT ZOE ZEN CHARGE RAPIDE,17791,2014,10190,1,ile_de_france,0176455461,11655.0,11742,ZEN CHARGE RAPIDE TYPE 2
5,RENAULT ZOE INTENS CHARGE RAPIDE TYPE 2,1000,2016,17100,1,ile_de_france,0805805802,14575.0,14791,INTENS CHARGE RAPIDE TYPE 2
6,RENAULT ZOE LIFE TYPE 2,2000,2016,21490,1,ile_de_france,0805805802,13741.0,13910,LIFE TYPE 2
7,RENAULT ZOE LIFE TYPE 2,10,2016,13490,1,ile_de_france,0182714652,13741.0,13978,LIFE TYPE 2
8,RENAULT ZOE INTENS CHARGE RAPIDE TYPE 2,3000,2016,15490,1,ile_de_france,0805805802,14575.0,14718,INTENS CHARGE RAPIDE TYPE 2
9,ZOE LIFE NOUVEAU MOTEUR ET AUTONOMIE AUGMENTEE,1700,2016,12800,0,ile_de_france,,13741.0,13920,LIFE TYPE 2
10,ZOE ZEN GPS 18679 KMS GARANTIE 6 MOIS,18679,2013,10490,1,ile_de_france,01.47.80.23.22,10512.0,10749,ZEN CHARGE RAPIDE TYPE 2
11,ZOE INTENS,42000,2014,12000,0,ile_de_france,,11857.0,10598,INTENS CHARGE RAPIDE TYPE 2
12,RENAULT ZOE INTENS,53800,2013,9790,1,ile_de_france,0139754280,10694.0,9297,INTENS CHARGE RAPIDE TYPE 2
13,RENAULT ZOE LIFE,24600,2015,10980,1,ile_de_france,0160625056,12394.0,11727,LIFE TYPE 2
14,RENAULT ZOE LIFE CHARGE RAPIDE,11480,2015,11720,1,ile_de_france,0175448151,12497.0,12571,LIFE CHARGE RAPIDE TYPE 2
15,RENAULT ZOE ZEN,6000,2016,16500,1,ile_de_france,0184040214,14218.0,14251,ZEN TYPE 2
16,RENAULT ZOE ZEN,1,2016,13990,1,ile_de_france,0160625056,14218.0,14464,ZEN TYPE 2
17,RENAULT ZOE INTENS CHARGE RAPIDE,25000,2013,8950,0,ile_de_france,,10694.0,10766,INTENS CHARGE RAPIDE TYPE 2
18,RENAULT ZOE ZEN MB 8,100,2016,20000,1,ile_de_france,0184030570,14218.0,14460,ZEN TYPE 2
19,RENAULT ZOE INTENS,2350,2015,20900,1,ile_de_france,0175448643,13051.0,13426,INTENS TYPE 2
20,RENAULT ZOE LIFE TYPE 2,100,2016,19700,1,ile_de_france,0184030570,13741.0,13975,LIFE TYPE 2
21,RENAULT ZOE INTENS CHARGE RAPIDE,17979,2015,12500,1,ile_de_france,0175448151,13146.0,12874,INTENS CHARGE RAPIDE TYPE 2
22,ZOE CHARGE RAPIDE EN 30 MINUTES - FINITION ZEN,12800,2015,12700,0,ile_de_france,,12921.0,12955,ZEN CHARGE RAPIDE TYPE 2
23,RENAULT ZOE ZEN,21500,2013,9990,1,ile_de_france,0171025422,10512.0,10674,ZEN CHARGE RAPIDE TYPE 2
24,ZOE LIFE TYPE 2,14,2016,12990,1,ile_de_france,01.42.87.07.20,13741.0,13978,LIFE TYPE 2
25,RENAULT ZOE ZEN,24973,2013,10490,1,ile_de_france,0170176498,10512.0,10583,ZEN CHARGE RAPIDE TYPE 2
26,RENAULT ZOE ZEN MB 8,100,2016,14800,1,ile_de_france,0184030570,14218.0,14460,ZEN TYPE 2
27,RENAULT ZOE LIFE CHARGE RAPIDE,13195,2015,10990,1,ile_de_france,0174704406,12497.0,12517,LIFE CHARGE RAPIDE TYPE 2
28,RENAULT ZOE ZEN CHARGE RAPIDE,62434,2013,8400,1,ile_de_france,06.69.10.30.00,10512.0,8685,ZEN CHARGE RAPIDE TYPE 2
29,RENAULT ZOE INTENS CHARGE RAPIDE,7700,2013,11490,1,ile_de_france,0623550699,10694.0,11228,INTENS CHARGE RAPIDE TYPE 2
30,RENAULT ZOE LIFE CHARGE RAPIDE,7297,2014,9970,1,ile_de_france,0178769520,11272.0,11651,LIFE CHARGE RAPIDE TYPE 2
31,RENAULT ZOE LIFE 5P,10,2016,12820,1,ile_de_france,0143240835,13741.0,13978,LIFE TYPE 2
