,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille,Rennes,Reims,Le Havre,Saint-Etienne,Toulon,Grenoble,Dijon,Nimes,Angers,Villeurbanne,Le Mans,Saint-Denis,Aix-en-Provence,Clermont-Ferrand,Brest,Limoges,Tours,Amiens,Perpignan,Metz,Besancon,Boulogne-Billancourt,Orleans
Paris,0,775147,465838,679426,932197,385168,491901,747845,584537,219312,354713,144400,195688,523713,839080,575642,315165,712322,296200,471142,208715,11296,760774,424645,591442,392320,239611,144429,848304,330848,413892,10658,132762
Marseille,774927,0,313685,402891,199463,985435,798380,170370,645148,999852,1051571,798019,965208,332616,66513,305613,504625,121541,905386,317633,891774,787864,33840,473724,1279804,690328,797446,918295,317271,766090,563748,775765,757742
Lyon,466053,314190,0,537075,471240,685227,487680,304554,555681,690978,742444,489145,656334,62757,378123,111391,195751,251365,596259,8594,582647,478990,299817,164597,970677,409926,488319,609421,451455,457216,253048,466891,466072
Toulouse,678904,403446,537518,0,560496,584963,968785,242511,244676,894415,703761,812669,858904,535588,467379,529446,671672,290491,642452,541466,681173,691841,389073,375964,881821,289856,586845,825128,205475,933137,734153,672459,554864
Nice,932341,204861,471099,560305,0,1142850,784866,327784,802563,1157266,1208986,955433,1122623,490031,149787,463027,662040,278955,1062801,475047,1049188,945279,176499,631139,1437219,847743,954860,1075709,474686,923505,721162,933180,915157
Nantes,384542,985868,685084,585999,1142918,0,865808,824934,346928,600053,113063,518307,383924,664242,1049802,793075,638071,872913,90720,690279,184229,397479,971496,535755,294961,326345,215653,505795,787897,704755,736798,378097,333638
Strasbourg,490232,799552,492813,970962,784275,865646,0,789916,968927,524658,835191,350429,698625,548119,863486,575192,329865,736727,776677,482846,689192,496904,785180,630898,1071920,731973,694129,525990,936818,165141,242875,498999,587281
Montpellier,747998,169037,303110,242383,326087,824928,787805,0,484641,963510,917787,787444,927999,322041,232971,295037,494050,56083,771603,307058,757990,760936,154665,332402,1121786,424180,663662,894222,156764,755515,553173,741553,623959
Bordeaux,590492,645494,555983,245625,802545,353408,968338,484560,0,806003,472206,724257,691212,535141,709428,663975,671225,532540,410897,561178,449618,603429,631122,375517,650266,227291,355290,736716,447523,930423,733706,584047,467826
Lille,225194,1000932,691624,894913,1157982,600654,525123,963331,800023,0,570200,206487,316166,749498,1064865,801427,501245,938107,511686,696927,424201,210857,986559,640132,758737,607807,455097,143532,1063791,363854,584622,226215,348249
Rennes,349310,1046616,738598,699146,1203666,106739,830577,912468,460075,564822,0,483075,277417,717756,1110549,846590,617452,983791,126777,743793,153292,362248,1032243,589269,244047,439492,252806,433910,901044,669523,716179,342865,347608
Reims,143303,798628,489319,812975,955678,518717,351821,788992,718086,204607,488262,0,350970,547194,862561,599123,298940,735803,429749,494623,342264,149976,784255,558194,724991,525869,373160,178335,935893,190767,382318,152070,266312
Le Havre,197232,965070,655761,848421,1122120,383833,699995,916840,654474,317932,278768,352357,0,713636,1029003,765565,505088,902245,297726,661065,211324,201173,950697,593640,466560,561315,309547,181569,1017299,538942,603815,192635,301757
Saint-Etienne,523988,331984,62746,536714,489034,664226,547441,322348,534680,748912,721443,547080,731654,0,395917,152447,253686,269159,575258,66694,561646,536925,317611,143596,949676,388925,467318,667355,469249,515151,312809,545209,427614
Toulon,839301,65126,378059,467265,149044,1049809,862754,234744,709522,1064226,1115945,862393,1029582,396990,0,369986,568999,185915,969760,382007,956148,852238,83459,538098,1344178,754702,861820,982669,381645,830464,628122,840139,822116
Grenoble,574835,306221,114319,529106,463271,790766,573274,296585,661219,799760,883818,597927,765117,153586,370155,0,304533,243396,701798,103557,688185,587773,291848,270136,1076216,515465,593858,718203,443486,565999,338642,575674,574854
Dijon,314572,503910,194602,672750,660960,639379,330656,494274,670716,500795,623555,298962,504853,252476,567843,304405,0,441085,550411,199905,477556,327509,489537,332687,860284,433762,421439,474523,641175,267033,96024,315410,314591
Nimes,712916,122674,251674,289961,279724,872505,736369,57440,532218,937841,989560,736008,903198,270606,186607,243602,442614,0,843376,255622,829763,725854,108301,411713,1169363,577398,735435,856284,204341,704080,501737,713755,695732
Angers,296586,905145,597128,636839,1062196,91817,777852,770998,397768,512097,131865,430351,329411,576286,969079,705120,550115,842320,0,602323,96274,309523,890773,447799,377267,349151,127698,417839,838737,616799,648842,290141,245683
Villeurbanne,471226,319769,8036,542654,476819,688484,482232,310133,558938,696151,745701,494318,661507,68336,383703,105751,200924,256944,599516,0,585903,484163,305396,167854,973934,413183,491576,614594,457034,462389,247600,472064,471245
Le Mans,209109,895403,587386,685591,1052454,185861,690375,761256,446520,424620,160439,342874,241894,566544,959337,695378,477251,832578,96893,592581,0,222046,881031,438057,397168,339409,101594,330322,861715,529322,575978,202664,196396
Saint-Denis,12632,788385,479076,692664,945435,398406,503974,761083,597775,211347,367951,156472,199315,536951,852318,588880,328403,725560,309437,484380,221952,0,774012,437883,604680,405558,252849,127725,861542,342920,427130,18761,146000
Aix-en-Provence,759066,31927,297824,387030,179343,969574,782519,154509,629287,983991,1035710,782158,949347,316755,86226,289752,488764,105680,889525,301772,875913,772003,0,457863,1263944,674467,781585,902434,301410,750229,547887,759905,741881
Clermont-Ferrand,423878,474622,166604,378690,631672,536451,634116,332176,376655,639390,593667,557643,603879,145762,538555,274596,337003,411797,447482,171799,433870,436816,460249,0,821901,230901,339542,570102,432635,598468,399484,417433,299838
Brest,591903,1279761,971743,882585,1436811,295285,1073169,1121520,643514,759857,243209,725668,467001,950901,1343694,1079735,860045,1169500,377380,976938,395885,604840,1265388,822414,0,622931,495399,623494,1084483,912116,958772,585458,590201
Limoges,393552,690942,411217,291073,847992,319328,729776,423412,221120,609064,438127,527317,573553,390375,754876,519209,432663,577988,352610,416412,338997,406490,676570,230751,616186,0,244670,539776,492971,733484,495144,387107,269512
Tours,239845,797820,489802,588008,954870,216923,695648,663673,348937,455356,258768,373610,340565,468960,861753,597794,421612,734995,127955,494997,98970,252782,783447,340473,495497,241825,0,386069,764132,579776,520338,233400,117179
Amiens,141144,916896,607588,820025,1073946,505862,526715,888443,725135,144651,435098,179076,180319,665463,980830,717391,473834,854071,416894,612891,330492,135194,902524,565244,622890,532918,380209,0,988903,365661,557212,141983,273361
Perpignan,848614,317555,451627,206757,474605,789302,936322,156620,449015,1064125,908100,935961,1028614,470558,381488,443555,642567,204600,846791,455575,858605,861551,303182,433017,1086159,494195,764278,994838,0,904032,701690,842169,724574
Metz,330786,769464,460155,938304,926514,706200,166749,759827,924426,364916,675745,190984,539179,518030,833397,569959,269776,706639,617232,465459,529747,337459,755091,598240,912475,732209,579500,366545,906729,0,265859,339554,472651
Besancon,410201,561703,254964,733112,718753,735008,243317,552067,731078,578979,719184,377146,600482,310270,625637,337343,92016,498878,646040,244996,573185,423138,547331,393049,955913,494124,517068,552707,698969,263629,0,411039,410220
Boulogne-Billancourt,10568,774757,465449,673095,931807,378836,498840,741513,578205,227040,348382,151339,195912,523323,838690,575252,314775,711932,289868,470752,202383,19023,760384,418314,585111,385988,233279,145712,841972,337787,413502,0,126431
Orleans,132647,757660,465087,555094,914710,335671,588450,623513,462658,348158,307241,266412,312647,428800,821593,574891,314414,694835,246703,470390,193539,145584,743287,300313,543970,267988,117731,278871,723972,472578,413141,126202,0
