;lien;modele;year;km;region;type vendeur;numero;prix;argus;delta prix vs argus
0;https://www.leboncoin.fr/voitures/1057234540.htm?ca=12_s;Renault Zoe Intens;2016;189;ile_de_france;particulier;phone number unknown;22000;22000;0
1;https://www.leboncoin.fr/voitures/1056103779.htm?ca=12_s;Renault Zoe Intens;2014;12790;ile_de_france;pro;0174704406;12490;24400;-11910
2;https://www.leboncoin.fr/voitures/1056119117.htm?ca=12_s;Renault Zoe Intens;2013;39228;ile_de_france;pro;0160625056;8990;24400;-15410
3;https://www.leboncoin.fr/voitures/1055632810.htm?ca=12_s;Renault Zoe Intens;2014;13996;ile_de_france;pro;0175448164;12290;24400;-12110
4;https://www.leboncoin.fr/voitures/1055632922.htm?ca=12_s;Renault Zoe Intens;2014;13996;ile_de_france;pro;0175448166;12290;24400;-12110
5;https://www.leboncoin.fr/voitures/1054786096.htm?ca=12_s;Renault Zoe Life;2014;13731;ile_de_france;pro;0178769522;10480;22400;-11920
6;https://www.leboncoin.fr/voitures/1052929272.htm?ca=12_s;Renault Zoe Life;2013;26241;ile_de_france;pro;0156837400;8490;22400;-13910
7;https://www.leboncoin.fr/voitures/1027119232.htm?ca=12_s;Renault Zoe Zen;2016;100;ile_de_france;pro;0184030570;20000;20000;0
8;https://www.leboncoin.fr/voitures/1003980024.htm?ca=12_s;Renault Zoe Intens;2015;2350;ile_de_france;pro;0175448643;20500;24400;-3900
9;https://www.leboncoin.fr/voitures/996062702.htm?ca=12_s;Renault Zoe Life;2016;2000;ile_de_france;pro;0805805802;20990;20990;0
10;https://www.leboncoin.fr/voitures/1026233921.htm?ca=12_s;Renault Zoe Life;2016;100;ile_de_france;pro;0184030570;19700;19700;0
11;https://www.leboncoin.fr/voitures/1051917724.htm?ca=12_s;Renault Zoe Intens;2016;1490;ile_de_france;pro;0164895656;16990;16990;0
12;https://www.leboncoin.fr/voitures/1051446299.htm?ca=12_s;Renault Zoe Life;2013;96006;ile_de_france;pro;0164572000;7290;22400;-15110
13;https://www.leboncoin.fr/voitures/1049170770.htm?ca=12_s;Renault Zoe Intens;2016;6130;ile_de_france;pro;0170176498;17990;17990;0
14;https://www.leboncoin.fr/voitures/1050487466.htm?ca=12_s;Renault Zoe Zen;2013;71126;ile_de_france;pro;0130982837;7390;23700;-16310
15;https://www.leboncoin.fr/voitures/1023692772.htm?ca=12_s;Renault Zoe Zen;2016;100;ile_de_france;pro;0184030570;14800;14800;0
16;https://www.leboncoin.fr/voitures/1000566875.htm?ca=12_s;Renault Zoe Intens;2013;7700;ile_de_france;pro;0623550699;11490;24400;-12910
17;https://www.leboncoin.fr/voitures/1047097769.htm?ca=12_s;Renault Zoe Zen;2015;3450;ile_de_france;pro;0184030235;13200;23700;-10500
18;https://www.leboncoin.fr/voitures/1046692007.htm?ca=12_s;Renault Zoe Life;2013;46050;ile_de_france;pro;0130982837;7590;22400;-14810
19;https://www.leboncoin.fr/voitures/1046604948.htm?ca=12_s;Renault Zoe Zen;2015;14100;ile_de_france;pro;0178455073;11990;23700;-11710
20;https://www.leboncoin.fr/voitures/1001259838.htm?ca=12_s;Renault Zoe Life;2015;13195;ile_de_france;pro;0174704406;10690;22400;-11710
21;https://www.leboncoin.fr/voitures/990711542.htm?ca=12_s;Renault Zoe Life;2015;11494;ile_de_france;pro;0174704406;10990;22400;-11410
22;https://www.leboncoin.fr/voitures/1044453124.htm?ca=12_s;Renault Zoe Zen;2013;32000;ile_de_france;particulier;phone number unknown;9800;23700;-13900
23;https://www.leboncoin.fr/voitures/1044233333.htm?ca=12_s;Renault Zoe Zen;2015;19800;ile_de_france;particulier;phone number unknown;11500;23700;-12200
24;https://www.leboncoin.fr/voitures/1044032771.htm?ca=12_s;Renault Zoe Intens;2013;47000;ile_de_france;pro;0143240835;8479;24400;-15921
25;https://www.leboncoin.fr/voitures/1018969287.htm?ca=12_s;Renault Zoe Life;2016;10;ile_de_france;pro;0143240835;12820;12820;0
26;https://www.leboncoin.fr/voitures/1019359181.htm?ca=12_s;Renault Zoe Intens;2014;17885;ile_de_france;pro;0175448151;10900;24400;-13500
