;Average Stars;Names
149;13489.666666666666;torvalds
121;1216.5666666666666;mrdoob
53;1056.9166666666667;donnemartin
57;922.6666666666666;JakeWharton
75;812.0666666666667;zenorocha
252;800.3666666666667;johnpapa
16;626.0454545454545;afollestad
169;624.8666666666667;prakhar1989
44;591.8333333333334;josephmisiti
107;575.2333333333333;FezVrasta
156;567.0333333333333;chjj
177;559.7;gorhill
5;539.9333333333333;SamyPesse
182;482.26666666666665;ChenYilong
12;477.1333333333333;steipete
62;456.03333333333336;kripken
35;427.93333333333334;mdo
123;416.26666666666665;pedrovgs
155;414.3;jessesquires
243;398.23333333333335;toddmotto
109;391.1;fzaninotto
236;389.7;addyosmani
101;388.23333333333335;CamDavidsonPilon
237;356.9;rasbt
135;329.73333333333335;jakiestfu
251;326.26666666666665;tj
58;318.8;jverkoey
115;311.6;Shougo
183;302.26666666666665;ericelliott
118;301.6666666666667;tomchristie
55;258.6;mgechev
27;258.1666666666667;mrmrs
73;249.1;paulmillr
192;231.96666666666667;lihaoyi
61;213.66666666666666;nixzhu
125;213.26666666666668;mikepenz
200;211.77272727272728;samuelclay
201;211.73333333333332;maxogden
193;207.46666666666667;chrisjenx
170;201.14285714285714;angusshire
80;195.16666666666666;davidsonfellipe
208;194.0;wbond
248;186.9;walkor
133;185.63333333333333;jgm
138;185.4;Unknwon
235;185.3;sebastianbergmann
218;183.15;hueniverse
110;178.53333333333333;ai
131;171.33333333333334;mitchellh
171;167.03333333333333;nzakas
246;163.16666666666666;bkeepers
145;161.63333333333333;schwa
59;161.23333333333332;josevalim
38;149.9;JedWatson
32;145.7;DataTables
146;144.83333333333334;thomasdavis
78;144.66666666666666;overtrue
207;144.56666666666666;drakeet
250;144.03333333333333;una
210;140.3;willianjusten
76;139.66666666666666;Urigo
22;138.86666666666667;phodal
191;135.83333333333334;apotonick
45;133.8;nicolasgramlich
143;131.4;indragiek
139;129.53333333333333;ebidel
220;127.56666666666666;kishikawakatsumi
113;115.8;liu21st
216;111.1;ankane
227;107.86666666666666;kartik-v
222;104.06666666666666;jamztang
0;100.875;GrahamCampbell
116;98.13333333333334;soumith
56;93.6;radar
195;89.1;evanw
128;86.06666666666666;bbatsov
214;85.83333333333333;gitster
90;85.26666666666667;willdurand
111;83.3;jnunemaker
26;81.76666666666667;HugoGiraudel
94;81.23333333333333;technoweenie
46;79.77777777777777;zcbenz
129;78.83333333333333;muan
164;78.4;marijnh
13;73.9;feross
108;72.03333333333333;yihui
81;70.23333333333333;notwaldorf
21;68.0;taylorotwell
213;67.43333333333334;passy
63;66.03333333333333;joshaber
160;65.42857142857143;tqchen
25;63.56666666666667;dcramer
240;61.833333333333336;fnando
4;61.63333333333333;josh
91;61.4;jedisct1
86;58.233333333333334;kylef
28;54.733333333333334;hadley
40;54.63333333333333;orta
229;51.2;weavejester
97;50.63333333333333;barretlee
223;50.1;be5invis
