,Population municipale,Paris,Marseille,Lyon,Toulouse,Nice,Nantes,Strasbourg,Montpellier,Bordeaux,Lille,Rennes,Reims,Le Havre,Saint-Étienne,Toulon,Grenoble,Dijon,Nîmes,Angers,Villeurbanne,Le Mans,Saint-Denis (La Réunion),Aix-en-Provence,Clermont-Ferrand,Brest,Limoges,Tours,Amiens,Perpignan,Metz,Besançon
Paris,2229621.0,0,810983,478870,808166,965849,425188,492839,795605,587531,238056,356323,166662,213119,487612,864781,591995,314717,737267,322647,484072,215528,0,786549,406371,615862,401719,233517,136362,961351,322400,420064
Marseille,855393.0,808195,0,333214,415122,195909,1039548,833580,170332,671702,1052632,991015,858305,977326,321342,65036,326791,540939,124313,887733,333984,841533,0,30803,479717,1257122,714387,769820,1030445,333551,802334,577417
Lyon,500715.0,476498,339353,0,571291,494219,644233,500069,323974,665825,719122,659318,524795,645629,60264,393150,113348,207429,265636,556036,5154,509836,0,314919,171546,925425,359128,438122,696935,489720,468823,243907
Toulouse,458298.0,802463,413097,560083,0,582148,624695,1060448,250085,256850,1040125,745050,929245,838784,412078,473360,553660,767808,304778,574208,560852,644773,0,395872,369173,939415,299535,571282,923016,211731,1029202,804286
Nice,342295.0,963049,197456,488068,593632,0,1218058,988433,348842,850212,1207486,1145869,1013159,1132180,476196,159834,370688,695793,292879,1042587,488837,996387,0,189214,634571,1411976,736118,924673,1185299,512061,957187,732271
Nantes,292718.0,408899,1041024,642809,627912,1210075,0,870739,878012,365456,617000,121996,580756,346001,651551,1101286,755934,604921,932704,91184,648011,189961,0,1023798,474917,314792,302027,209737,501895,839657,724264,704230
Strasbourg,275718.0,489946,839257,499984,1071195,994123,871663,0,823878,1017841,524786,842380,352684,697218,559785,893054,535115,358457,765540,783465,505186,670926,0,814823,613993,1101919,739899,663670,524823,989624,168731,249988
Montpellier,272084.0,785645,170719,310664,258428,339770,882854,811029,0,515009,1030082,1003209,835755,954776,298792,230982,304241,518389,57929,832367,311433,902932,0,153494,326154,1197574,425882,747269,1007895,176857,779783,554867
Bordeaux,243626.0,587131,673592,666862,260480,842643,367082,1021165,510580,0,824793,487437,713913,623452,505902,733854,814154,659798,565272,388246,672064,429441,0,656366,362925,681802,222497,355950,707683,472225,839190,765003
Lille,231491.0,237198,1063124,723851,1042248,1217989,608129,522913,1047745,821614,0,532417,192907,284086,783652,1116921,821229,501153,989407,510228,729053,419280,0,1038690,641362,773696,635801,466829,112953,1213491,358132,535592
Rennes,211373.0,356780,988697,656584,751973,1143562,121730,846304,1002073,489516,523317,0,521569,270275,665326,1042494,769709,604846,914980,125974,661786,152270,0,964263,524400,251817,394430,220414,416270,963718,677307,709133
Reims,182592.0,162792,870250,530977,934848,1025115,582863,351590,854871,714214,194696,517820,0,323176,590778,924047,628355,308279,796533,484145,536179,377025,0,845816,488434,777359,505417,374870,172509,1020617,182726,342718
Le Havre,172074.0,209883,977982,645869,843798,1132847,345244,698665,962603,623164,287311,267413,336366,0,654611,1031779,758994,520113,904265,280620,651071,197088,0,953548,573369,508692,508422,285862,188299,1055543,528225,629390
Saint-Étienne,172023.0,487629,314554,59610,413309,469419,655365,551715,299175,523361,770767,670449,576440,656761,0,368351,140945,257706,240837,567167,66127,520968,0,290119,143404,936556,315737,449254,622367,464921,520469,295552
Toulon,163760.0,861467,65334,386486,475556,156346,1099982,886852,230767,732137,1105904,1044287,911577,1030599,374614,0,304081,594211,184748,941005,387256,894805,0,79328,532989,1310394,774822,823092,1083717,393986,855606,630689
Grenoble,160215.0,589428,324914,112490,556851,326174,757163,531565,309535,813432,794347,772248,600021,758559,140123,303533,0,320976,251197,668966,113336,622766,0,300479,267595,1038355,472058,551052,772160,475281,544049,297245
Dijon,153003.0,312807,547178,207905,779116,702043,605750,363467,531799,661935,493466,607008,299140,520036,267706,600975,321030,0,473461,517552,213107,429293,0,522744,286179,861915,412084,397757,471279,697545,239865,107304
Nîmes,150564.0,727993,124429,253012,306948,288811,931374,753377,59108,563529,972430,910813,778103,897124,241140,184692,246589,460737,0,807531,253781,761331,0,107204,301954,1246094,461607,689618,950243,225377,722131,497215
Angers,150125.0,307417,887416,555303,578478,1042281,94919,783232,828578,394797,516509,124536,474344,281928,564044,941213,668427,517415,813699,0,560505,94581,0,862982,395665,374329,265695,122231,401404,790224,636758,616724
Villeurbanne,147192.0,480398,340841,5464,572779,495706,648133,500304,325462,669725,719357,663218,525030,649529,65337,394638,112079,207664,267124,559936,0,513736,0,316407,175446,929325,363028,442022,697170,491208,469058,244142
Le Mans,144244.0,216759,842202,510089,646219,997067,183599,671865,896319,425584,422328,155373,381548,196893,518831,895999,623214,430631,768485,89412,515291,0,0,817768,388170,422250,286711,82526,307223,857964,525390,534918
Saint-Denis (La Réunion),142442.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aix-en-Provence,141545.0,782529,30165,307548,398208,186830,1022634,807914,153419,654789,1026966,965349,832639,951660,295676,78598,301125,515273,107400,862067,308318,815867,0,0,454051,1231456,555598,744154,1004779,316638,776668,551751
Clermont-Ferrand,141463.0,403371,419056,172655,367365,573922,477246,616800,331800,380773,640222,530029,485041,572503,143417,472853,273911,283776,324378,400704,177857,385935,0,394622,0,770093,171095,302604,538109,464657,523352,360637
Brest,139386.0,614918,1264782,932669,944955,1419648,317429,1104442,1195055,682498,765687,252351,779707,512645,941411,1318579,1045794,864429,1249747,379840,937871,439428,0,1240348,773031,0,643062,499597,658640,1156700,935445,994090
Limoges,135098.0,400161,719098,361486,305986,734606,303070,743597,421996,232252,637824,394914,505051,508932,316356,633538,474611,410572,458348,265589,366688,289226,0,555306,170703,634978,0,205802,533683,517732,614042,487434
Tours,134803.0,234769,769287,437175,571992,924153,210659,661053,753909,351358,465522,221775,371070,288579,445916,823085,550299,395235,695571,122462,442376,83071,0,744853,305137,491851,207297,0,351785,783738,514578,498595
Amiens,132699.0,133919,1037492,698219,923118,1192358,500435,518832,1022113,702483,115511,418162,167275,187186,621699,1091289,795597,475521,963775,397547,703421,306600,0,1013058,540457,659442,532102,351267,0,1187860,349968,509960
Perpignan,120959.0,957097,335130,482116,214812,504181,839238,982481,178330,471393,1201533,959593,1007207,1053327,470244,395392,475693,689840,226810,788751,482885,859316,0,317904,456525,1153958,514078,785825,1179346,0,951235,726318
Metz,118634.0,320164,816949,477676,1048887,971814,726879,170062,801570,839079,358694,675192,183305,527436,537477,870746,575053,254978,743232,638682,482878,526142,0,792514,540997,934731,613323,518886,355444,967316,0,278204
Besançon,116952.0,422365,587668,248395,819606,742533,706360,249448,572289,766252,539154,710796,344827,636929,308196,641465,297990,106868,513951,618163,253597,533081,0,563234,362404,987552,488309,500249,516967,738035,281159,0
Boulogne-Billancourt,116794.0,10649,817949,485836,795829,972815,415649,500138,802570,575195,246497,346784,175699,208262,494578,871746,598961,321682,744232,313108,491038,205989,0,793515,413336,606323,401563,223978,138006,968316,331437,427030
Orléans,114375.0,123313,722543,390431,680707,877409,328722,542013,707165,460072,372533,326305,252455,258756,399172,776341,503555,290213,648827,240524,395632,139677,0,698109,317931,581212,274260,120729,270839,892452,395539,394500
Mulhouse,112063.0,501535,727476,388203,959414,882342,846169,112754,712097,906060,618323,839532,423997,716098,448004,781273,408286,246676,653759,757971,393405,670362,0,703042,502212,1127360,628118,640058,596136,877843,246048,138207
Rouen,110755.0,127882,930976,598863,846413,1085842,376529,592441,915597,625778,221228,299218,250833,93481,607605,984773,711988,442486,857259,298824,604065,200080,0,906542,526363,540497,461417,280582,106210,1058158,423577,547834
Saint-Denis,109343.0,9517,820583,488471,814568,975449,431395,493286,805205,593933,233581,362529,167109,208412,497212,874381,601595,324317,746867,328854,493672,221735,0,796149,415971,622069,408121,239724,126133,970951,322846,429664
Caen,107229.0,243108,973977,641864,811413,1128842,289883,731890,958598,590778,351746,184901,389509,85504,650606,1027774,754989,537243,900260,225259,647066,157622,0,949543,537634,426180,447419,243234,239121,1023158,561450,641530
Argenteuil,106817.0,15612,826484,494371,805971,981349,425791,502801,811105,585336,233993,356925,176623,199312,503112,880281,607495,330217,752767,323250,499573,216131,0,802050,421871,616465,414666,234120,124384,976851,332361,435565
Saint-Paul (La Réunion),104332.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montreuil,104139.0,9341,810274,478161,813908,965139,434334,478546,794895,593273,254420,365469,161942,219419,486902,864071,591285,314007,736557,331794,483363,224674,0,785840,405661,625008,407461,242664,138773,960641,310220,418051
Nancy,104072.0,329330,750513,411240,982450,905378,711047,156955,735134,818164,410144,681764,199698,536602,471040,804310,508617,202264,676796,622849,416442,510310,0,726078,488852,941303,592407,503054,371837,900880,64472,212959
Roubaix,95866.0,246652,1078058,738785,1051703,1232923,620650,521787,1062679,831068,13632,544938,207841,296607,798586,1131855,836163,516087,1004341,522749,743987,431801,0,1053624,650817,786218,645256,476284,125474,1228425,357006,550526
Tourcoing,93974.0,250401,1081537,742264,1055451,1236402,621431,525266,1066158,834816,14413,545719,211320,297389,802065,1135334,839642,519566,1007820,523530,747466,432583,0,1057103,654565,786999,649004,480032,126256,1231904,360485,554004
Nanterre,92227.0,12069,822908,490795,798524,977774,418344,502340,807529,577890,245625,349479,176163,197282,499537,876705,603920,326641,749191,315804,495997,208684,0,798474,418295,609018,413078,226674,131554,973275,331900,431989
Avignon,90305.0,707854,100556,232873,351732,257841,875590,733239,103089,608313,952291,890674,757964,876985,221001,156773,226450,440598,44751,787392,233643,741192,0,78541,379376,1156781,482255,669479,930104,270162,701993,477076
Vitry-sur-Seine,90075.0,10840,804510,472397,805130,959376,418127,486699,789131,584496,247931,360813,167766,222291,481139,858307,585522,308243,730793,315587,477599,208939,0,780076,399897,620352,398683,226457,146237,954877,340224,413591
Créteil,89989.0,13487,800356,468243,803990,955221,421866,481386,784977,583355,251222,366572,166177,228050,476984,854153,581367,303037,726639,319326,473444,214748,0,775921,395743,626111,397543,244012,149528,950723,334911,408279
Dunkerque,89882.0,286358,1155703,816430,1069085,1310569,602996,620622,1140324,848451,92694,536282,285486,290351,876231,1209500,913808,593732,1081986,529418,821632,452567,0,1131269,691912,777562,678069,497234,145712,1306070,455842,628171
Poitiers,87427.0,341794,781038,448925,465112,935904,182100,803228,715212,244478,579457,274661,468577,389198,457667,834835,562050,441861,769905,145337,454127,195187,0,756604,285076,514726,118777,110614,462347,676858,612085,547065
Asnières-sur-Seine,86020.0,9309,822104,489991,803941,976969,423761,498421,806725,583307,240302,354896,172243,203721,498732,875901,603115,325837,748387,321221,495192,214101,0,797669,417491,614435,409966,232091,128920,972471,327981,431185
Courbevoie,85523.0,9575,820414,488301,801494,975279,421314,498357,805035,580859,243107,352449,172179,201408,497042,874211,601426,324147,746697,318773,493503,211654,0,795980,415801,611988,409038,229643,129859,970781,327917,429495
Versailles,85272.0,20642,818357,486244,785407,973222,405227,510166,802978,564772,256061,336361,185264,197840,494985,872154,599368,326266,744640,302686,491445,195567,0,793922,413744,595901,399961,213556,144604,997152,341001,437059
Colombes,84577.0,12221,825045,492932,804335,979910,424155,501362,809666,583701,240327,355290,175185,200486,501674,878842,606057,328778,751328,321614,498134,214495,0,800611,420432,614829,411684,232484,127355,975412,330922,434126
Fort-de-France,84174.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aulnay-sous-Bois,82634.0,17422,823509,491397,824585,978375,441316,478664,808131,603950,225262,372450,152487,224694,500138,877307,604521,311053,749793,338775,496598,231656,0,799075,418897,631990,418138,249645,128734,973877,308224,441520
Saint-Pierre (La Réunion),81415.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rueil-Malmaison,79762.0,15143,825982,493869,795729,980847,415549,505414,810603,575095,248065,346684,179237,194406,502611,879779,606994,329715,752265,313008,499071,205889,0,801548,421369,606223,410283,223879,133551,976349,334974,435063
Pau,77575.0,787892,603653,750639,192174,772704,542418,1106416,440641,201540,1025555,662773,914675,841434,624328,663915,744216,773391,495333,563582,751408,647423,0,586427,485171,857138,363342,556712,908445,338720,1039952,850253
Aubervilliers,77452.0,7734,816891,484778,812784,971756,431186,488813,801512,592150,230810,362321,162636,212878,493520,870688,597903,320624,743174,328645,489980,221526,0,792457,412278,621860,406337,239515,129430,967258,318373,425972
Le Tampon,76090.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champigny-sur-Marne,75961.0,14803,800462,486717,813379,955327,437603,475667,785083,592745,256689,368738,158445,230216,477091,854259,599842,304839,726745,335063,491919,227943,0,776028,395849,628277,406933,245933,149763,950829,329193,0
Antibes,75456.0,942359,176766,467378,572941,21587,1197367,967743,328152,829522,1186795,1125179,992469,1111490,455506,139144,349998,675102,272189,1021897,468147,975697,0,168523,613880,1391286,715427,903983,1164608,491371,936497,0
Béziers,74811.0,861489,239523,386509,179887,408574,804313,886874,73894,436468,1105926,924668,911600,1018402,374637,299785,380086,594233,131203,753826,387278,824391,0,222297,351738,1119033,479153,750900,1083739,100796,855628,0
La Rochelle,74344.0,470016,889723,590903,476612,1058774,150632,945205,726712,214155,700769,270987,606317,467054,599644,949986,704027,583838,781404,179225,596104,273044,0,872498,386934,465351,217101,235298,587032,688357,749825,0
Saint-Maur-des-Fossés,74133.0,12746,803374,471261,807008,958239,435546,477459,787995,586373,249400,366680,163480,228159,480002,857171,584385,305179,729657,333005,476463,225885,0,778940,398761,626220,400561,247030,147706,953741,330985,0
Cannes,73325.0,931024,165432,456043,561607,31807,1186033,956409,316818,818188,1175461,1113845,981135,1100156,444171,127809,338664,663768,260854,1010562,456813,964363,0,157189,602546,1379951,704093,892649,1153274,480037,925163,0
Calais,72520.0,278747,1166263,826990,1065332,1321128,597137,629972,1150884,844698,106673,515854,296046,269922,766526,1220060,924368,604292,1092546,520091,832192,421347,0,1141829,685285,757133,674316,493482,145069,1316630,465192,0
Saint-Nazaire,68513.0,466233,1098207,706256,685095,1267258,63774,934186,935195,422639,651812,126879,631023,380813,714998,1158469,819381,668368,989888,154631,711458,223107,0,1080981,538364,287925,364611,273184,536707,896841,787711,0
Mérignac,68386.0,594680,680552,674412,267440,849603,360910,1028714,517540,7274,832342,481265,721462,631001,513451,740814,821114,667348,572232,382074,679613,436990,0,663326,370474,675629,230046,363499,715233,479185,846739,0
Drancy,68241.0,13582,818588,486475,819466,973453,437475,484389,803209,598831,228249,368610,158212,218636,495216,872385,599599,315563,744871,334935,491677,227815,0,794154,413975,628149,413019,245805,129942,968955,313949,0
Colmar,67956.0,459505,769574,430301,1001512,924440,888266,71171,754195,948158,593473,811938,348487,666777,490102,823371,479596,288774,695857,800069,435503,640484,0,745140,544310,1169458,670215,682156,520626,919941,237418,0
Ajaccio,67507.0,1161134,350219,686153,760442,301450,1384868,1186518,515653,1017023,1405570,1343954,1211244,1330265,674281,284998,587520,893877,469633,1240672,686922,1194472,0,364214,832655,1610061,1059708,1122758,1383383,678871,1155272,0
Bourges,67189.0,218184,622590,290477,541753,777456,355537,608061,607211,410904,454616,370622,320750,368293,299219,676387,403602,273361,548873,267340,295679,221140,0,598156,184931,636729,189179,149427,352922,772957,427983,0
Issy-les-Moulineaux,65662.0,8888,815501,483388,798023,970366,417843,497689,800122,577388,247321,348977,175157,210456,492130,869298,596513,319234,741784,315302,488590,208182,0,791067,410888,608517,398098,226172,141981,965868,330894,0
Levallois-Perret,65264.0,7243,818082,485969,803995,972948,423815,496025,802703,583360,241453,354950,169847,204057,494711,871879,599094,321815,744365,321274,491171,214155,0,793648,413469,614489,407111,232144,131815,968449,325585,0
